Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
100	0.070799	3	0.547163	0.126854	0.126854	0.547163	0.126854	0.126854	1.029135	0.126854	0.126854	0.126854	0.547163	
200	0.070799	5	0.414856	0.375426	0.142058	1.050734	0.121962	0.121962	1.050734	0.142058	0.121962	0.121962	0.414856	
300	0.070799	6	0.675686	0.260132	0.121962	1.050734	0.121962	0.121962	2.172992	0.260132	0.121962	0.121962	0.453758	
400	0.070799	4	0.687799	0.294731	0.121962	1.788424	0.121962	0.121962	1.788424	0.294731	0.121962	0.121962	0.687799	
500	0.070799	4	0.517643	0.195251	0.121962	1.361703	0.121962	0.121962	1.361703	0.195251	0.121962	0.121962	0.517643	
600	0.070799	4	0.604588	0.195251	0.125303	1.576751	0.125303	0.125303	1.576751	0.195251	0.125303	0.125303	0.604588	
700	0.070799	5	0.790829	0.195251	0.125303	2.406418	0.125303	0.125303	2.406418	0.195251	0.125303	0.125303	0.634010	
800	0.070799	4	0.686711	0.213562	0.213562	2.120827	0.113650	0.113650	2.120827	0.213562	0.113650	0.113650	0.686711	
900	0.070799	4	0.558764	0.255543	0.113650	2.453613	0.113650	0.113650	2.453613	0.255543	0.113650	0.113650	0.558764	
1000	0.070799	5	0.725574	0.252234	0.116816	2.453613	0.116816	0.116816	2.453613	0.252234	0.116816	0.116816	0.661603	
1100	0.070799	4	0.518112	0.167410	0.167410	2.395493	0.116816	0.116816	2.395493	0.167410	0.116816	0.116816	0.518112	
1200	0.070799	5	0.603395	0.292537	0.165039	2.157220	0.119280	0.119280	2.157220	0.165039	0.119280	0.119280	0.603395	
1300	0.070799	4	0.873294	0.234504	0.114313	2.272101	0.114313	0.114313	2.272101	0.234504	0.114313	0.114313	0.873294	
1400	0.070799	4	0.597400	0.254433	0.114313	2.016094	0.114313	0.114313	2.016094	0.254433	0.114313	0.114313	0.597400	
1500	0.070799	4	0.675220	0.298351	0.114313	1.765582	0.114313	0.114313	1.765582	0.298351	0.114313	0.114313	0.675220	
1600	0.070799	4	0.675220	0.250655	0.143310	1.765582	0.143310	0.143310	1.765582	0.250655	0.143310	0.143310	0.675220	
1700	0.070799	5	0.526959	0.432738	0.141074	1.765582	0.095964	0.095964	1.765582	0.141074	0.095964	0.141074	0.526959	
1800	0.070799	5	0.526959	0.413031	0.141074	1.544819	0.141074	0.095964	1.544819	0.141074	0.095964	0.141074	0.526959	
1900	0.070799	4	0.526959	0.222130	0.127508	2.114143	0.127508	0.127508	2.114143	0.222130	0.127508	0.127508	0.526959	
2000	0.070799	4	0.526959	0.203771	0.135544	2.190385	0.135544	0.135544	2.190385	0.203771	0.135544	0.135544	0.526959	
