Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
100	0.070799	3	0.296114	0.188692	0.087386	0.427808	0.296114	0.188692	0.087386	0.427808	0.296114	0.188692	0.087386	0.427808	0.286626	0.128520	0.266475	0.318379	0.286626	0.128520	0.266475	0.318379	0.296114	0.188692	0.087386	0.427808	0.220675	0.186597	0.279229	0.313499	0.286626	0.128520	0.266475	0.318379	0.220675	0.186597	0.279229	0.313499	0.220675	0.186597	0.279229	0.313499	0.220675	0.186597	0.279229	0.313499	
200	0.070799	3	0.286626	0.128520	0.266475	0.318379	0.244374	0.215957	0.157708	0.381960	0.244374	0.215957	0.157708	0.381960	0.286626	0.128520	0.266475	0.318379	0.286626	0.128520	0.266475	0.318379	0.244374	0.215957	0.157708	0.381960	0.186019	0.196235	0.277772	0.339974	0.286626	0.128520	0.266475	0.318379	0.244374	0.215957	0.157708	0.381960	0.186019	0.196235	0.277772	0.339974	0.186019	0.196235	0.277772	0.339974	
300	0.070799	4	0.288227	0.127632	0.243320	0.340821	0.288227	0.127632	0.243320	0.340821	0.244374	0.215957	0.157708	0.381960	0.288227	0.127632	0.243320	0.340821	0.288227	0.127632	0.243320	0.340821	0.244374	0.215957	0.157708	0.381960	0.186019	0.196235	0.277772	0.339974	0.288227	0.127632	0.243320	0.340821	0.244374	0.215957	0.157708	0.381960	0.184529	0.247835	0.407791	0.159845	0.186019	0.196235	0.277772	0.339974	
400	0.070799	3	0.288227	0.127632	0.243320	0.340821	0.288227	0.127632	0.243320	0.340821	0.244374	0.215957	0.157708	0.381960	0.288227	0.127632	0.243320	0.340821	0.271847	0.239404	0.309193	0.179556	0.244374	0.215957	0.157708	0.381960	0.244374	0.215957	0.157708	0.381960	0.288227	0.127632	0.243320	0.340821	0.244374	0.215957	0.157708	0.381960	0.271847	0.239404	0.309193	0.179556	0.271847	0.239404	0.309193	0.179556	
500	0.070799	3	0.326335	0.100391	0.245244	0.328029	0.326335	0.100391	0.245244	0.328029	0.244374	0.215957	0.157708	0.381960	0.326335	0.100391	0.245244	0.328029	0.272698	0.230822	0.303885	0.192595	0.244374	0.215957	0.157708	0.381960	0.244374	0.215957	0.157708	0.381960	0.272698	0.230822	0.303885	0.192595	0.244374	0.215957	0.157708	0.381960	0.272698	0.230822	0.303885	0.192595	0.272698	0.230822	0.303885	0.192595	
600	0.070799	3	0.357614	0.090109	0.217057	0.335219	0.357614	0.090109	0.217057	0.335219	0.244374	0.215957	0.157708	0.381960	0.357614	0.090109	0.217057	0.335219	0.255594	0.242883	0.291837	0.209686	0.244374	0.215957	0.157708	0.381960	0.255594	0.242883	0.291837	0.209686	0.255594	0.242883	0.291837	0.209686	0.244374	0.215957	0.157708	0.381960	0.255594	0.242883	0.291837	0.209686	0.255594	0.242883	0.291837	0.209686	
700	0.070799	4	0.338352	0.082422	0.222417	0.356809	0.338352	0.082422	0.222417	0.356809	0.244374	0.215957	0.157708	0.381960	0.338352	0.082422	0.222417	0.356809	0.292859	0.148024	0.252440	0.306678	0.244374	0.215957	0.157708	0.381960	0.292859	0.148024	0.252440	0.306678	0.292859	0.148024	0.252440	0.306678	0.244374	0.215957	0.157708	0.381960	0.255594	0.242883	0.291837	0.209686	0.255594	0.242883	0.291837	0.209686	
800	0.070799	4	0.342908	0.062888	0.203807	0.390397	0.342908	0.062888	0.203807	0.390397	0.244374	0.215957	0.157708	0.381960	0.296677	0.146914	0.250311	0.306098	0.243066	0.216702	0.331703	0.208529	0.244374	0.215957	0.157708	0.381960	0.296677	0.146914	0.250311	0.306098	0.296677	0.146914	0.250311	0.306098	0.244374	0.215957	0.157708	0.381960	0.243066	0.216702	0.331703	0.208529	0.243066	0.216702	0.331703	0.208529	
900	0.070799	4	0.378812	0.065718	0.173048	0.382422	0.378812	0.065718	0.173048	0.382422	0.244374	0.215957	0.157708	0.381960	0.296677	0.146914	0.250311	0.306098	0.237999	0.237924	0.298630	0.225447	0.244374	0.215957	0.157708	0.381960	0.296677	0.146914	0.250311	0.306098	0.296677	0.146914	0.250311	0.306098	0.244374	0.215957	0.157708	0.381960	0.237999	0.237924	0.298630	0.225447	0.237999	0.237924	0.298630	0.225447	
1000	0.070799	4	0.394824	0.074730	0.159118	0.371328	0.394824	0.074730	0.159118	0.371328	0.244374	0.215957	0.157708	0.381960	0.296677	0.146914	0.250311	0.306098	0.260067	0.221541	0.299866	0.218527	0.244374	0.215957	0.157708	0.381960	0.260067	0.221541	0.299866	0.218527	0.296677	0.146914	0.250311	0.306098	0.244374	0.215957	0.157708	0.381960	0.260067	0.221541	0.299866	0.218527	0.260067	0.221541	0.299866	0.218527	
