Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	R[AC,8]	R[AG,8]	R[AT,8]	R[CG,8]	R[CT,8]	R[GT,8]	R[AC,9]	R[AG,9]	R[AT,9]	R[CG,9]	R[CT,9]	R[GT,9]	R[AC,10]	R[AG,10]	R[AT,10]	R[CG,10]	R[CT,10]	R[GT,10]	R[AC,11]	R[AG,11]	R[AT,11]	R[CG,11]	R[CT,11]	R[GT,11]	
100	0.070799	5	0.236988	0.282637	0.325232	0.053256	0.066706	0.035181	0.060484	0.469659	0.051987	0.072390	0.156453	0.189027	0.235634	0.148015	0.110692	0.335264	0.166951	0.003444	0.224885	0.262008	0.078776	0.012636	0.394380	0.027314	0.229160	0.002087	0.074988	0.045668	0.525529	0.122568	0.060484	0.469659	0.051987	0.072390	0.156453	0.189027	0.224885	0.262008	0.078776	0.012636	0.394380	0.027314	0.224885	0.262008	0.078776	0.012636	0.394380	0.027314	0.235634	0.148015	0.110692	0.335264	0.166951	0.003444	0.224885	0.262008	0.078776	0.012636	0.394380	0.027314	0.224885	0.262008	0.078776	0.012636	0.394380	0.027314	
200	0.070799	3	0.098746	0.171909	0.106303	0.011111	0.517865	0.094066	0.051972	0.225549	0.116763	0.354136	0.121128	0.130452	0.051972	0.225549	0.116763	0.354136	0.121128	0.130452	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.098746	0.171909	0.106303	0.011111	0.517865	0.094066	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.051972	0.225549	0.116763	0.354136	0.121128	0.130452	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	
300	0.070799	3	0.021458	0.208577	0.321121	0.009882	0.406254	0.032708	0.021458	0.208577	0.321121	0.009882	0.406254	0.032708	0.022817	0.122357	0.166894	0.281628	0.341604	0.064699	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.021458	0.208577	0.321121	0.009882	0.406254	0.032708	0.022817	0.122357	0.166894	0.281628	0.341604	0.064699	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.022817	0.122357	0.166894	0.281628	0.341604	0.064699	0.021458	0.208577	0.321121	0.009882	0.406254	0.032708	0.021458	0.208577	0.321121	0.009882	0.406254	0.032708	
400	0.070799	4	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.022282	0.125868	0.171684	0.289710	0.316893	0.073563	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.022282	0.125868	0.171684	0.289710	0.316893	0.073563	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.209111	0.288771	0.081187	0.011180	0.383210	0.026541	0.068500	0.086883	0.284122	0.228142	0.265163	0.067191	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	
500	0.070799	4	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.022111	0.119428	0.170367	0.304379	0.310716	0.072999	0.168636	0.288823	0.076458	0.010529	0.439382	0.016172	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.168636	0.288823	0.076458	0.010529	0.439382	0.016172	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.022111	0.119428	0.170367	0.304379	0.310716	0.072999	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	0.015463	0.194855	0.306250	0.009424	0.443093	0.030916	
600	0.070799	3	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.071250	0.387472	0.119747	0.288354	0.089124	0.044053	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.071250	0.387472	0.119747	0.288354	0.089124	0.044053	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.071250	0.387472	0.119747	0.288354	0.089124	0.044053	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	
700	0.070799	3	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.071921	0.375088	0.101296	0.313840	0.093385	0.044468	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.071921	0.375088	0.101296	0.313840	0.093385	0.044468	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	
800	0.070799	3	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.074858	0.362192	0.092816	0.326653	0.097198	0.046284	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.074858	0.362192	0.092816	0.326653	0.097198	0.046284	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.136255	0.176116	0.094899	0.043834	0.519498	0.029397	0.074858	0.362192	0.092816	0.326653	0.097198	0.046284	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	
900	0.070799	4	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.137663	0.177936	0.095880	0.063086	0.491079	0.034356	0.091018	0.503707	0.097316	0.158683	0.114269	0.035007	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.137663	0.177936	0.095880	0.063086	0.491079	0.034356	0.137663	0.177936	0.095880	0.063086	0.491079	0.034356	0.137663	0.177936	0.095880	0.063086	0.491079	0.034356	0.091018	0.503707	0.097316	0.158683	0.114269	0.035007	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	0.015356	0.193514	0.304142	0.003221	0.453063	0.030704	
1000	0.070799	3	0.014682	0.177242	0.278568	0.002950	0.498437	0.028122	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.024656	0.202986	0.149332	0.380292	0.133718	0.109017	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.014682	0.177242	0.278568	0.002950	0.498437	0.028122	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.024656	0.202986	0.149332	0.380292	0.133718	0.109017	0.014682	0.177242	0.278568	0.002950	0.498437	0.028122	0.014682	0.177242	0.278568	0.002950	0.498437	0.028122	
1100	0.070799	3	0.016129	0.178009	0.221310	0.003241	0.558443	0.022869	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.026377	0.167758	0.159758	0.406845	0.143054	0.096208	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.016129	0.178009	0.221310	0.003241	0.558443	0.022869	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	0.026377	0.167758	0.159758	0.406845	0.143054	0.096208	0.016129	0.178009	0.221310	0.003241	0.558443	0.022869	0.152997	0.228979	0.120741	0.022112	0.422135	0.053037	
1200	0.070799	3	0.017451	0.142239	0.232159	0.003372	0.580988	0.023792	0.147695	0.239137	0.126097	0.023092	0.408590	0.055390	0.030601	0.194617	0.140393	0.392300	0.165958	0.076130	0.147695	0.239137	0.126097	0.023092	0.408590	0.055390	0.017451	0.142239	0.232159	0.003372	0.580988	0.023792	0.030601	0.194617	0.140393	0.392300	0.165958	0.076130	0.147695	0.239137	0.126097	0.023092	0.408590	0.055390	0.147695	0.239137	0.126097	0.023092	0.408590	0.055390	0.030601	0.194617	0.140393	0.392300	0.165958	0.076130	0.017451	0.142239	0.232159	0.003372	0.580988	0.023792	0.147695	0.239137	0.126097	0.023092	0.408590	0.055390	
1300	0.070799	3	0.020562	0.132858	0.244413	0.002216	0.574856	0.025095	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	0.030991	0.181139	0.145387	0.397306	0.168075	0.077102	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	0.020562	0.132858	0.244413	0.002216	0.574856	0.025095	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	0.030991	0.181139	0.145387	0.397306	0.168075	0.077102	0.020562	0.132858	0.244413	0.002216	0.574856	0.025095	0.145249	0.247775	0.127971	0.022710	0.401823	0.054472	
