Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
100	0.070799	3	7.963018	3.331403	3.331403	7.963018	3.331403	3.331403	5.637360	3.331403	3.331403	3.331403	5.637360	
200	0.070799	3	6.661036	3.019080	3.019080	5.593273	3.019080	3.019080	5.593273	3.019080	3.019080	3.019080	3.019080	
300	0.070799	3	6.924428	2.876635	2.876635	5.156881	2.876635	2.876635	5.156881	2.876635	2.876635	2.876635	2.876635	
400	0.070799	3	6.844966	2.671805	2.671805	4.413059	2.671805	2.671805	4.413059	2.671805	2.671805	2.671805	2.671805	
500	0.070799	2	5.853345	2.671805	2.671805	2.671805	2.671805	2.671805	5.853345	2.671805	2.671805	2.671805	2.671805	
600	0.070799	2	6.657685	2.812622	2.812622	2.812622	2.812622	2.812622	2.812622	2.812622	2.812622	2.812622	2.812622	
700	0.070799	2	7.108480	2.801071	2.801071	2.801071	2.801071	2.801071	2.801071	2.801071	2.801071	2.801071	2.801071	
800	0.070799	2	6.129965	2.821211	2.821211	2.821211	2.821211	2.821211	2.821211	2.821211	2.821211	2.821211	2.821211	
900	0.070799	2	7.070353	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	
1000	0.070799	2	7.179736	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	2.604936	
1100	0.070799	3	6.317430	2.511835	2.511835	2.511835	2.511835	2.511835	4.777720	2.511835	2.511835	2.511835	2.511835	
1200	0.070799	2	6.777361	2.594641	2.594641	2.594641	2.594641	2.594641	2.594641	2.594641	2.594641	2.594641	2.594641	
1300	0.070799	2	6.361486	2.515625	2.515625	2.515625	2.515625	2.515625	2.515625	2.515625	2.515625	2.515625	2.515625	
1400	0.070799	3	7.191733	2.483256	2.483256	2.483256	2.483256	2.483256	5.121079	2.483256	2.483256	2.483256	2.483256	
1500	0.070799	2	5.928064	2.458716	2.458716	2.458716	2.458716	2.458716	2.458716	2.458716	2.458716	2.458716	2.458716	
1600	0.070799	2	8.047409	2.594385	2.594385	2.594385	2.594385	2.594385	2.594385	2.594385	2.594385	2.594385	2.594385	
1700	0.070799	2	7.883695	2.639741	2.639741	2.639741	2.639741	2.639741	2.639741	2.639741	2.639741	2.639741	2.639741	
1800	0.070799	2	5.659104	2.472806	2.472806	2.472806	2.472806	2.472806	2.472806	2.472806	2.472806	2.472806	2.472806	
1900	0.070799	3	5.743743	2.331208	2.331208	2.331208	2.331208	2.331208	4.756485	2.331208	2.331208	2.331208	2.331208	
2000	0.070799	3	6.236929	2.379157	2.379157	2.379157	2.379157	2.379157	4.923432	2.379157	2.379157	2.379157	2.379157	
