parameter,E(K),COI_1st,COI_2nd,COI_3rd,EF1a_2nd,EF1a_3rd,EF1a_1st,LWRh_2nd,LWRh_3rd,LWRh_1st,28S_Stem,28S_Loop,HPD
ASRV,1.2,1,2,3,4,3,3,4,3,3,3,1,53
ASRV,2.0,1,2,3,4,3,3,4,3,3,3,1,225
ASRV,4.0,1,2,3,4,5,5,4,3,5,5,1,681
ASRV,6.0,1,2,3,4,5,3,4,3,5,3,1,988
ASRV,8.0,1,2,3,4,5,6,4,7,5,3,1,1166
ASRV,10.0,1,2,3,4,5,6,4,7,8,3,9,925
ASRV,10.8,1,2,3,4,5,6,4,7,8,9,10,616
Base frequencies,1.2,1,1,2,2,3,2,2,2,2,3,2,547
Base frequencies,2.0,1,1,2,2,3,2,2,2,2,3,2,789
Base frequencies,4.0,1,1,2,2,3,2,2,3,2,3,2,1102
Base frequencies,6.0,1,1,2,2,3,2,2,3,2,3,2,1349
Base frequencies,8.0,1,1,2,1,3,2,2,3,2,3,2,1601
Base frequencies,10.0,1,1,2,1,3,2,2,3,2,3,2,1977
Base frequencies,10.8,1,1,2,1,3,2,2,1,2,3,2,2467
Substitution rates,1.2,1,2,1,2,2,1,2,2,1,2,2,228
Substitution rates,2.0,1,2,1,2,2,1,2,2,1,2,2,330
Substitution rates,4.0,1,2,1,2,3,1,2,2,1,2,2,586
Substitution rates,6.0,1,2,1,2,2,3,2,2,1,2,2,739
Substitution rates,8.0,1,2,1,3,2,4,3,3,1,2,2,883
Substitution rates,10.0,1,2,1,3,2,4,3,3,1,2,2,1130
Substitution rates,10.8,1,2,3,2,4,5,2,2,3,2,2,1226
Tree length,1.2,1,2,2,2,3,3,2,3,3,3,2,1
Tree length,2.0,1,2,2,2,3,3,2,3,3,3,2,1
Tree length,4.0,1,2,2,2,3,3,2,3,3,3,2,1
Tree length,6.0,1,2,2,2,3,3,2,3,3,3,2,2
Tree length,8.0,1,2,2,2,3,3,2,3,3,3,2,2
Tree length,10.0,1,2,2,2,3,3,2,3,3,3,2,2
Tree length,10.8,1,2,2,2,3,3,2,3,3,3,2,1
