Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	268.021876	5	18.564503	7.678479	18.564503	7.678479	7.678479	7.678479	18.564503	11.601063	12.568922	7.678479	11.222537	
2000	268.021876	9	13.652508	7.160541	25.749472	8.489419	11.790840	7.160541	25.749472	11.054555	12.420932	9.651702	10.931127	
3000	268.021876	7	12.082174	8.510923	29.791810	8.510923	8.510923	8.510923	29.791810	9.665792	13.169731	11.368569	10.358060	
4000	268.021876	8	12.889066	7.835721	32.496456	11.728626	7.835721	7.835721	32.496456	10.613472	11.131981	12.743000	12.549456	
5000	268.021876	8	13.643037	7.451167	32.746518	7.451167	11.596905	7.451167	32.746518	10.845157	12.593491	10.859685	12.559664	
6000	268.021876	7	12.184556	6.991297	33.354912	6.991297	10.284924	6.991297	33.354912	12.333824	12.865264	10.855920	12.184556	
7000	268.021876	8	13.076041	5.182222	31.388851	9.987330	9.987330	5.182222	31.388851	11.342587	13.086991	10.964094	11.312674	
8000	268.021876	9	12.455651	5.339812	32.483201	10.847933	10.096642	5.339812	32.483201	11.734394	12.715037	10.758352	11.254809	
9000	268.021876	9	12.834670	5.878762	29.650371	10.876864	11.350747	5.878762	29.650371	11.184671	11.758474	11.615368	11.334956	
10000	268.021876	8	15.067314	5.694083	29.541155	10.545765	10.632334	5.694083	29.541155	5.694083	10.276934	10.319323	12.927346	
11000	268.021876	8	12.768386	5.274275	29.541155	10.547477	10.490586	5.274275	29.541155	5.274275	12.430835	11.816903	12.192647	
12000	268.021876	7	13.408301	4.676355	29.556634	4.676355	11.128071	4.676355	29.556634	10.396487	13.408301	12.663679	11.512516	
13000	268.021876	8	12.346172	5.905590	28.993887	9.930236	10.942487	5.905590	28.993887	5.905590	13.805445	11.849380	10.638691	
14000	268.021876	7	13.734299	5.761896	31.428463	9.169071	9.966971	5.761896	31.428463	5.761896	12.068769	10.564635	5.761896	
15000	268.021876	8	14.704796	5.953972	31.393061	9.838035	10.714195	5.953972	31.393061	5.953972	12.824550	10.376070	10.910764	
16000	268.021876	6	13.500007	5.646880	29.820598	5.646880	10.027045	5.646880	29.820598	5.646880	12.005462	10.450408	5.646880	
17000	268.021876	7	11.652701	5.634116	31.096600	9.270415	10.200237	5.634116	31.096600	5.634116	13.474687	10.282935	5.634116	
18000	268.021876	7	12.171166	5.859419	31.028403	5.859419	10.755062	5.859419	31.028403	5.859419	11.738664	10.200416	10.559138	
19000	268.021876	7	14.163146	6.129588	33.128101	6.129588	10.595621	6.129588	33.128101	10.691359	14.163146	10.265753	11.659077	
20000	268.021876	8	12.273303	5.723038	31.824922	5.723038	10.564073	5.723038	31.824922	11.096294	10.636143	12.372843	11.761045	
21000	268.021876	7	13.624272	5.670255	30.530030	5.670255	10.780879	5.670255	30.530030	5.670255	13.737674	11.165777	11.574754	
22000	268.021876	8	12.077072	6.397625	30.758152	6.397625	10.558673	6.397625	30.758152	13.588828	12.866174	11.074936	14.365152	
23000	268.021876	6	13.495141	6.631866	28.558039	6.631866	6.631866	6.631866	28.558039	6.631866	11.596402	11.385634	10.118431	
24000	268.021876	7	14.748096	5.982636	30.134117	5.982636	11.267053	5.982636	30.134117	5.982636	11.835298	10.864453	11.539005	
25000	268.021876	7	30.033026	7.093302	30.033026	7.093302	10.501942	7.093302	30.033026	11.000155	13.153277	11.300730	13.702794	
26000	268.021876	7	13.610059	6.040007	28.730378	6.040007	10.426278	6.040007	28.730378	6.040007	12.875276	11.989200	13.164573	
27000	268.021876	7	13.115063	6.349886	31.494117	6.349886	10.608758	6.349886	31.494117	6.349886	11.992030	11.273463	10.931403	
28000	268.021876	7	30.389339	6.348073	30.389339	9.316494	8.598222	6.348073	30.389339	10.533021	10.636523	9.316494	10.663762	
29000	268.021876	5	30.124639	6.984569	30.124639	6.984569	6.984569	6.984569	30.124639	6.984569	11.533816	10.602182	11.301070	
30000	268.021876	5	27.297845	6.433652	27.297845	6.433652	6.433652	6.433652	27.297845	6.433652	12.552225	10.804641	11.131535	
31000	268.021876	6	12.849965	6.194142	29.839563	6.194142	6.194142	6.194142	29.839563	6.194142	11.528061	11.434668	10.938299	
32000	268.021876	5	18.926923	6.406078	18.926923	6.406078	6.406078	6.406078	18.926923	6.406078	12.640913	11.629250	11.666713	
33000	268.021876	5	25.510717	6.412554	25.510717	6.412554	6.412554	6.412554	25.510717	6.412554	12.268391	11.228431	11.981818	
34000	268.021876	4	28.205061	6.722928	28.205061	6.722928	6.722928	6.722928	28.205061	6.722928	28.205061	11.343407	14.304136	
35000	268.021876	6	27.933012	6.165194	27.933012	10.797801	6.165194	6.165194	27.933012	6.165194	11.721536	11.365224	11.832284	
36000	268.021876	4	28.841690	5.618359	28.841690	5.618359	5.618359	5.618359	28.841690	5.618359	28.841690	11.265635	11.691149	
37000	268.021876	4	29.124687	6.529511	29.124687	6.529511	6.529511	6.529511	29.124687	6.529511	12.195580	10.847690	6.529511	
38000	268.021876	5	29.851111	6.539260	29.851111	6.539260	6.539260	6.539260	29.851111	6.539260	12.287545	10.955706	12.277086	
39000	268.021876	4	29.326383	6.491859	29.326383	6.491859	6.491859	6.491859	29.326383	6.491859	12.330210	10.404615	6.491859	
40000	268.021876	6	13.547577	6.133074	30.963191	6.133074	6.133074	6.133074	30.963191	6.133074	12.152546	11.254345	10.549614	
41000	268.021876	6	13.899850	6.571203	28.821891	6.571203	6.571203	6.571203	28.821891	9.838202	28.821891	11.184470	11.689809	
42000	268.021876	5	31.141527	6.435011	31.141527	6.435011	6.435011	6.435011	31.141527	6.435011	10.692002	11.333421	9.807765	
43000	268.021876	8	12.539214	5.851306	31.828963	5.851306	9.885171	5.851306	31.828963	13.278708	12.682158	11.302666	11.386452	
44000	268.021876	7	12.379044	5.945344	31.550008	5.945344	10.146697	5.945344	31.550008	5.945344	11.776858	12.274992	11.435400	
45000	268.021876	8	12.685322	6.087585	29.688242	6.087585	11.956060	6.087585	29.688242	10.563935	12.162173	10.257799	12.467452	
46000	268.021876	7	32.893585	5.732486	32.893585	5.732486	10.527111	5.732486	32.893585	10.541486	11.270408	11.389641	12.485219	
47000	268.021876	8	12.045093	6.336869	28.601422	6.336869	10.726481	6.336869	28.601422	9.881016	14.280883	11.165396	10.911965	
48000	268.021876	7	12.524474	5.252819	28.384856	5.252819	10.463184	5.252819	28.384856	5.252819	13.487684	11.341548	12.639840	
49000	268.021876	7	13.237446	5.531059	27.237640	5.531059	11.879014	5.531059	27.237640	5.531059	11.652989	11.984145	12.330860	
50000	268.021876	7	14.477547	5.377757	30.769396	5.377757	10.522070	5.377757	30.769396	5.377757	11.761212	10.431959	13.277016	
51000	268.021876	6	13.888820	6.912517	29.807327	6.912517	6.912517	6.912517	29.807327	6.912517	12.412391	11.631026	11.925699	
52000	268.021876	6	12.392829	8.137604	30.691684	8.137604	8.137604	8.137604	30.691684	8.137604	11.436728	11.811695	11.588806	
53000	268.021876	6	13.887959	6.574331	32.011637	6.574331	6.574331	6.574331	32.011637	6.574331	12.652138	11.406525	13.450493	
54000	268.021876	6	14.976867	6.573039	14.976867	6.573039	10.307853	6.573039	14.976867	6.573039	12.657728	11.265009	12.775249	
55000	268.021876	7	13.714984	5.890312	29.086369	5.890312	10.238405	5.890312	29.086369	5.890312	12.325315	11.649811	10.201894	
56000	268.021876	7	12.433849	5.518514	28.978758	5.518514	9.452084	5.518514	28.978758	5.518514	12.810500	9.623410	10.351297	
57000	268.021876	6	13.273401	5.905098	30.374638	5.905098	5.905098	5.905098	30.374638	5.905098	11.977192	12.062596	9.800700	
58000	268.021876	6	11.966124	6.421580	32.322018	6.421580	6.421580	6.421580	32.322018	6.421580	13.329031	10.780477	11.989225	
59000	268.021876	6	11.982285	5.854210	29.813742	5.854210	5.854210	5.854210	29.813742	5.854210	12.233011	10.599618	10.874265	
60000	268.021876	7	13.010675	5.612020	30.773260	5.612020	11.837586	5.612020	30.773260	5.612020	13.030285	11.793149	11.796592	
61000	268.021876	5	27.453239	6.020867	27.453239	6.020867	6.020867	6.020867	27.453239	6.020867	11.951264	11.699433	11.393714	
62000	268.021876	6	13.203365	5.966243	31.964747	5.966243	5.966243	5.966243	31.964747	5.966243	12.682880	10.288708	12.374848	
63000	268.021876	4	29.941553	5.566399	29.941553	5.566399	5.566399	5.566399	29.941553	5.566399	11.776164	11.438470	5.566399	
64000	268.021876	6	27.761401	5.844698	27.761401	5.844698	11.315748	5.844698	27.761401	5.844698	12.141876	10.527857	11.057861	
65000	268.021876	6	27.504805	5.120688	27.504805	5.120688	11.381283	5.120688	27.504805	5.120688	11.890008	10.523627	10.947037	
66000	268.021876	6	28.296575	5.714656	28.296575	5.714656	10.907794	5.714656	28.296575	5.714656	12.015510	11.275335	13.164262	
67000	268.021876	6	26.457631	5.596078	26.457631	5.596078	11.074794	5.596078	26.457631	5.596078	13.374587	9.466027	11.677889	
68000	268.021876	6	27.317700	5.028297	27.317700	5.028297	10.604748	5.028297	27.317700	5.028297	12.610834	11.020421	11.818308	
69000	268.021876	6	27.564228	5.726884	27.564228	5.726884	10.047497	5.726884	27.564228	5.726884	12.045660	10.971384	11.535426	
70000	268.021876	7	14.256700	5.525104	26.396442	5.525104	11.281214	5.525104	26.396442	5.525104	10.589266	11.303174	11.288822	
71000	268.021876	6	28.030333	5.358527	28.030333	5.358527	10.043297	5.358527	28.030333	5.358527	11.348826	10.043319	11.176479	
72000	268.021876	6	26.922014	5.117370	26.922014	5.117370	9.628619	5.117370	26.922014	10.692467	10.809639	9.830114	5.117370	
73000	268.021876	7	29.740592	5.124629	29.740592	10.411268	8.938428	5.124629	29.740592	10.267390	11.162809	11.162809	9.520598	
74000	268.021876	7	12.762629	5.934981	33.674781	5.934981	11.087367	5.934981	33.674781	11.899615	12.290424	9.308800	33.674781	
75000	268.021876	7	12.973017	6.087274	31.572495	6.087274	11.411943	6.087274	31.572495	6.087274	11.501714	10.934809	9.654059	
76000	268.021876	6	29.610084	5.940788	29.610084	9.010062	10.841250	5.940788	29.610084	5.940788	12.810349	10.118814	5.940788	
77000	268.021876	7	12.505400	5.438930	31.168400	5.438930	11.307286	5.438930	31.168400	5.438930	12.039793	11.009536	11.051976	
78000	268.021876	7	13.988685	5.842168	28.811874	5.842168	11.170926	5.842168	28.811874	5.842168	11.256163	11.037835	10.916787	
79000	268.021876	6	27.129735	5.580249	27.129735	10.138893	10.138893	5.580249	27.129735	5.580249	11.791542	11.371222	9.243048	
