Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	268.021876	7	0.333691	0.252518	0.422007	0.301096	0.301096	0.252518	1.606241	0.242953	0.380701	0.380701	0.242953	
2000	268.021876	6	0.321283	0.174890	0.395059	0.321283	0.321283	0.174890	0.551203	0.321283	0.300351	0.395059	0.101081	
3000	268.021876	10	0.324068	0.231047	0.412627	0.337835	0.338948	0.125866	0.735055	0.303711	0.337835	0.325308	0.334159	
4000	268.021876	7	0.303684	0.214805	0.423163	0.303684	0.303684	0.217467	0.573196	0.232532	0.303684	0.471112	0.232532	
5000	268.021876	6	0.388194	0.275432	0.388194	0.331661	0.331661	0.137148	1.682504	0.331661	0.388194	0.376149	0.331661	
6000	268.021876	9	0.340340	0.190878	0.401326	0.280756	0.305810	0.168035	0.844344	0.316530	0.305810	0.509555	0.305810	
7000	268.021876	7	0.304186	0.304186	0.405866	0.295020	0.304186	0.171381	0.960972	0.373595	0.232697	0.373595	0.171381	
8000	268.021876	8	0.332148	0.168154	0.374068	0.258949	0.292536	0.168154	1.179068	0.328166	0.292536	0.535277	0.258949	
9000	268.021876	5	0.317977	0.232108	0.392847	0.232108	0.317977	0.232108	1.207371	0.317977	0.317977	0.317977	0.234506	
10000	268.021876	9	0.282232	0.266703	0.386686	0.320354	0.298232	0.196073	0.622571	0.386686	0.349448	0.351715	0.282232	
11000	268.021876	6	0.325755	0.244532	0.465116	0.288523	0.336479	0.244532	0.465116	0.336479	0.465116	0.465116	0.087040	
12000	268.021876	7	0.316295	0.238156	0.504509	0.316295	0.316295	0.238156	0.750511	0.233664	0.274317	0.504509	0.189905	
13000	268.021876	7	0.296249	0.227948	0.498970	0.276987	0.343398	0.220739	0.498970	0.331789	0.227948	0.498970	0.227948	
14000	268.021876	7	0.340787	0.287718	0.492428	0.233512	0.340787	0.233512	0.492428	0.244825	0.295401	0.340787	0.401935	
15000	268.021876	8	0.322740	0.211058	0.407047	0.254701	0.322740	0.216524	0.429070	0.322740	0.265367	0.407047	0.141268	
16000	268.021876	8	0.332434	0.209462	0.447633	0.308288	0.308288	0.160803	0.500560	0.308288	0.308288	0.350472	0.339010	
17000	268.021876	7	0.337588	0.161878	0.466867	0.337588	0.337588	0.161878	0.719183	0.285060	0.311219	0.492686	0.311219	
18000	268.021876	7	0.305355	0.214639	0.516707	0.318135	0.305355	0.196359	0.516707	0.305355	0.318135	0.529313	0.121035	
19000	268.021876	8	0.326383	0.166245	0.427477	0.308018	0.308018	0.179207	0.709619	0.326383	0.274126	0.409434	0.179207	
20000	268.021876	9	0.347255	0.287901	0.630836	0.222954	0.279835	0.222954	0.580393	0.332312	0.279835	0.427729	0.128880	
21000	268.021876	7	0.331932	0.284193	0.545141	0.307981	0.331932	0.284193	0.662752	0.332993	0.314483	0.332993	0.284193	
22000	268.021876	5	0.342592	0.180518	0.424964	0.294697	0.294697	0.180518	0.424964	0.342592	0.294697	0.424964	0.109578	
23000	268.021876	7	0.302458	0.229827	0.452354	0.302458	0.276459	0.229827	0.473915	0.229827	0.425862	0.433693	0.229827	
24000	268.021876	9	0.335266	0.325427	0.406105	0.310722	0.310722	0.184664	0.781403	0.345150	0.241739	0.310722	0.118394	
25000	268.021876	8	0.289644	0.222676	0.360066	0.289644	0.362733	0.136807	1.027743	0.360066	0.245092	0.360066	0.304909	
26000	268.021876	8	0.327325	0.339394	0.442693	0.326019	0.326019	0.327325	0.794652	0.389145	0.216672	0.333457	0.216672	
27000	268.021876	8	0.330775	0.179334	0.330775	0.292515	0.330775	0.216550	0.658826	0.330775	0.366260	0.361467	0.109117	
28000	268.021876	8	0.277816	0.225723	0.386513	0.311579	0.311579	0.225723	0.541436	0.516857	0.277816	0.368992	0.392894	
29000	268.021876	8	0.301723	0.190387	0.377304	0.277070	0.277070	0.207004	0.404840	0.261656	0.261656	0.404840	0.225920	
30000	268.021876	9	0.336644	0.233807	0.336644	0.272175	0.325681	0.143842	0.726967	0.289850	0.289850	0.484317	0.263059	
31000	268.021876	9	0.341130	0.168068	0.386645	0.227226	0.341130	0.177757	0.447886	0.264257	0.227226	0.401108	0.141659	
32000	268.021876	8	0.283634	0.191177	0.390238	0.283634	0.271408	0.191177	0.783787	0.390238	0.390054	0.263736	0.419901	
33000	268.021876	8	0.307807	0.236108	0.406365	0.307807	0.275090	0.185443	0.905577	0.308584	0.307807	0.301686	0.308584	
34000	268.021876	6	0.282133	0.279961	0.454256	0.279961	0.282133	0.279961	0.554031	0.321938	0.282133	0.454256	0.340065	
35000	268.021876	9	0.336735	0.272096	0.394108	0.302831	0.287306	0.227989	0.458925	0.292465	0.272096	0.394108	0.116587	
36000	268.021876	7	0.318562	0.168652	0.381580	0.325323	0.240193	0.168652	1.017553	0.318562	0.325323	0.457841	0.168652	
