Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
1000	268.021876	2	0.457418	0.191932	0.232400	0.118249	0.299326	0.289021	0.153236	0.258417	0.457418	0.191932	0.232400	0.118249	0.299326	0.289021	0.153236	0.258417	0.299326	0.289021	0.153236	0.258417	0.299326	0.289021	0.153236	0.258417	0.457418	0.191932	0.232400	0.118249	0.299326	0.289021	0.153236	0.258417	0.299326	0.289021	0.153236	0.258417	0.299326	0.289021	0.153236	0.258417	0.457418	0.191932	0.232400	0.118249	
2000	268.021876	3	0.490110	0.207426	0.162853	0.139612	0.281228	0.305036	0.162295	0.251442	0.490110	0.207426	0.162853	0.139612	0.281228	0.305036	0.162295	0.251442	0.281228	0.305036	0.162295	0.251442	0.281228	0.305036	0.162295	0.251442	0.490110	0.207426	0.162853	0.139612	0.399243	0.274122	0.138289	0.188347	0.399243	0.274122	0.138289	0.188347	0.281228	0.305036	0.162295	0.251442	0.490110	0.207426	0.162853	0.139612	
3000	268.021876	4	0.477955	0.259297	0.122770	0.139978	0.284433	0.283807	0.175802	0.255958	0.477955	0.259297	0.122770	0.139978	0.284433	0.283807	0.175802	0.255958	0.318610	0.331560	0.134191	0.215638	0.284433	0.283807	0.175802	0.255958	0.477955	0.259297	0.122770	0.139978	0.318610	0.331560	0.134191	0.215638	0.318610	0.331560	0.134191	0.215638	0.284433	0.283807	0.175802	0.255958	0.209496	0.250651	0.258049	0.281804	
4000	268.021876	3	0.432640	0.310727	0.097328	0.159306	0.233107	0.174850	0.228303	0.363740	0.432640	0.310727	0.097328	0.159306	0.311337	0.284188	0.135720	0.268756	0.432640	0.310727	0.097328	0.159306	0.311337	0.284188	0.135720	0.268756	0.432640	0.310727	0.097328	0.159306	0.311337	0.284188	0.135720	0.268756	0.432640	0.310727	0.097328	0.159306	0.311337	0.284188	0.135720	0.268756	0.233107	0.174850	0.228303	0.363740	
5000	268.021876	4	0.472819	0.260849	0.089285	0.177047	0.203540	0.275525	0.349402	0.171533	0.472819	0.260849	0.089285	0.177047	0.300084	0.300448	0.189942	0.209527	0.300084	0.300448	0.189942	0.209527	0.280418	0.285210	0.174671	0.259701	0.472819	0.260849	0.089285	0.177047	0.472819	0.260849	0.089285	0.177047	0.472819	0.260849	0.089285	0.177047	0.280418	0.285210	0.174671	0.259701	0.300084	0.300448	0.189942	0.209527	
6000	268.021876	4	0.469141	0.270963	0.098866	0.161031	0.269043	0.225883	0.213970	0.291104	0.469141	0.270963	0.098866	0.161031	0.339924	0.256439	0.173560	0.230077	0.469141	0.270963	0.098866	0.161031	0.269043	0.225883	0.213970	0.291104	0.469141	0.270963	0.098866	0.161031	0.469141	0.270963	0.098866	0.161031	0.469141	0.270963	0.098866	0.161031	0.350463	0.275648	0.146746	0.227144	0.339924	0.256439	0.173560	0.230077	
7000	268.021876	3	0.478045	0.271300	0.095755	0.154900	0.279858	0.269443	0.191988	0.258710	0.478045	0.271300	0.095755	0.154900	0.279858	0.269443	0.191988	0.258710	0.478045	0.271300	0.095755	0.154900	0.307692	0.359572	0.113830	0.218905	0.478045	0.271300	0.095755	0.154900	0.478045	0.271300	0.095755	0.154900	0.478045	0.271300	0.095755	0.154900	0.279858	0.269443	0.191988	0.258710	0.279858	0.269443	0.191988	0.258710	
8000	268.021876	4	0.477161	0.287923	0.088034	0.146881	0.270359	0.303905	0.170042	0.255694	0.477161	0.287923	0.088034	0.146881	0.270359	0.303905	0.170042	0.255694	0.477161	0.287923	0.088034	0.146881	0.270359	0.303905	0.170042	0.255694	0.477161	0.287923	0.088034	0.146881	0.477161	0.287923	0.088034	0.146881	0.477161	0.287923	0.088034	0.146881	0.406917	0.301892	0.097206	0.193985	0.274229	0.163174	0.473800	0.088796	
9000	268.021876	2	0.444123	0.297095	0.088519	0.170263	0.244099	0.284456	0.195824	0.275622	0.444123	0.297095	0.088519	0.170263	0.244099	0.284456	0.195824	0.275622	0.444123	0.297095	0.088519	0.170263	0.244099	0.284456	0.195824	0.275622	0.444123	0.297095	0.088519	0.170263	0.444123	0.297095	0.088519	0.170263	0.444123	0.297095	0.088519	0.170263	0.244099	0.284456	0.195824	0.275622	0.244099	0.284456	0.195824	0.275622	
10000	268.021876	5	0.434357	0.302575	0.088279	0.174790	0.196043	0.220548	0.228141	0.355267	0.434357	0.302575	0.088279	0.174790	0.280704	0.300302	0.148295	0.270699	0.434357	0.302575	0.088279	0.174790	0.280704	0.300302	0.148295	0.270699	0.478780	0.333556	0.075338	0.112327	0.434357	0.302575	0.088279	0.174790	0.434357	0.302575	0.088279	0.174790	0.280704	0.300302	0.148295	0.270699	0.223943	0.200542	0.433988	0.141526	
