Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
1000	48.111915	6	18.886559	7.168708	18.886559	7.168708	10.178135	7.168708	18.886559	10.178135	13.461771	9.698053	12.014587	
2000	48.111915	7	25.790694	6.707577	25.790694	6.707577	11.027232	6.707577	25.790694	11.532877	11.665851	11.470960	10.934971	
3000	48.111915	6	25.390110	5.259769	25.390110	5.259769	10.857194	5.259769	25.390110	5.259769	11.965991	11.648729	11.200569	
4000	48.111915	6	15.469569	5.761739	15.469569	5.761739	9.169615	5.761739	15.469569	5.761739	12.781839	11.535097	12.335789	
5000	48.111915	7	21.662394	4.869601	21.662394	4.869601	11.248234	4.869601	21.662394	11.588494	12.961878	10.677980	12.461634	
6000	48.111915	4	26.307921	5.026771	26.307921	5.026771	9.295192	5.026771	26.307921	5.026771	11.905459	9.295192	5.026771	
7000	48.111915	6	25.344764	5.616124	25.344764	5.616124	10.970586	5.616124	25.344764	10.511590	11.628841	10.563909	5.616124	
8000	48.111915	6	23.919790	4.939379	23.919790	4.939379	10.391192	4.939379	23.919790	4.939379	10.800458	10.508905	9.650558	
9000	48.111915	5	24.190704	5.353866	24.190704	5.353866	10.323223	5.353866	24.190704	5.353866	11.920062	11.354807	5.353866	
10000	48.111915	7	27.588346	5.283686	27.588346	5.283686	9.545135	5.283686	27.588346	10.472693	12.870614	10.168132	11.278884	
11000	48.111915	7	25.652678	4.562660	25.652678	9.604224	9.862922	4.562660	25.652678	4.562660	11.360206	10.272220	12.364596	
12000	48.111915	6	27.310949	4.132209	27.310949	10.490831	10.183519	4.132209	27.310949	4.132209	10.964545	9.977002	4.132209	
13000	48.111915	6	27.228156	3.554438	27.228156	10.505484	9.433939	3.554438	27.228156	3.554438	11.924907	11.359202	3.554438	
