Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
1000	4.627436	4	0.284040	0.276306	0.390017	0.284040	0.284040	0.150006	0.390017	0.390017	0.284040	0.390017	0.150006	
2000	4.627436	6	0.296566	0.210085	0.408584	0.296566	0.296566	0.210085	0.464517	0.296566	0.261364	0.510168	0.408584	
3000	4.627436	5	0.293735	0.185715	0.346794	0.293735	0.293735	0.185715	1.486508	0.293735	0.293735	0.346794	0.165982	
4000	4.627436	5	0.310463	0.197804	0.406059	0.310463	0.297189	0.197804	0.899618	0.406059	0.310463	0.406059	0.310463	
5000	4.627436	5	0.285451	0.188843	0.400523	0.285451	0.285451	0.188843	0.490166	0.285451	0.285451	0.400523	0.156557	
6000	4.627436	4	0.301853	0.206211	0.429659	0.301853	0.301853	0.206211	0.429659	0.360097	0.301853	0.429659	0.206211	
7000	4.627436	5	0.294091	0.182594	0.423566	0.294091	0.294091	0.182594	0.912411	0.294091	0.294091	0.423566	0.373847	
8000	4.627436	4	0.285450	0.197369	0.426843	0.285450	0.285450	0.197369	0.511310	0.285450	0.285450	0.426843	0.197369	
9000	4.627436	6	0.290040	0.192961	0.442545	0.271870	0.290040	0.182302	0.442545	0.290040	0.290040	0.442545	0.217703	
10000	4.627436	4	0.292822	0.222096	0.420526	0.292822	0.292822	0.222096	0.528084	0.292822	0.292822	0.420526	0.222096	
11000	4.627436	5	0.306018	0.210183	0.394850	0.306018	0.306018	0.202335	0.923272	0.306018	0.306018	0.394850	0.306018	
12000	4.627436	5	0.323831	0.198110	0.439633	0.291169	0.291169	0.164251	0.439633	0.291169	0.291169	0.291169	0.164251	
13000	4.627436	5	0.279507	0.185272	0.413237	0.279507	0.279507	0.185272	0.522069	0.279507	0.279507	0.522069	0.201090	
14000	4.627436	5	0.290901	0.171621	0.396170	0.290901	0.290901	0.176644	0.396170	0.396170	0.290901	0.396170	0.152587	
15000	4.627436	3	0.303622	0.185542	0.303622	0.303622	0.303622	0.185542	0.303622	0.303622	0.303622	0.414565	0.303622	
16000	4.627436	6	0.289728	0.177920	0.375947	0.289728	0.306643	0.177920	0.892573	0.306643	0.289728	0.289728	0.265157	
17000	4.627436	6	0.308757	0.204060	0.375367	0.308757	0.308757	0.167846	0.406107	0.308757	0.406107	0.406107	0.094273	
18000	4.627436	4	0.308391	0.174191	0.420680	0.308391	0.308391	0.174191	0.639540	0.420680	0.308391	0.420680	0.308391	
19000	4.627436	5	0.286573	0.191726	0.408645	0.286573	0.286573	0.191726	0.833933	0.408645	0.282764	0.408645	0.191726	
20000	4.627436	5	0.297381	0.219281	0.402979	0.297381	0.297381	0.219281	1.016619	0.412062	0.297381	0.412062	0.297381	
21000	4.627436	5	0.309824	0.197709	0.401055	0.309824	0.309824	0.197709	0.443515	0.309824	0.309824	0.428362	0.197709	
22000	4.627436	5	0.288951	0.192289	0.380069	0.288951	0.309868	0.192289	0.770895	0.380069	0.288951	0.380069	0.192289	
23000	4.627436	5	0.280057	0.197011	0.404659	0.280057	0.280057	0.160366	0.462270	0.280057	0.280057	0.462270	0.160366	
24000	4.627436	4	0.284728	0.204053	0.385299	0.284728	0.284728	0.204053	0.709343	0.385299	0.284728	0.385299	0.385299	
25000	4.627436	4	0.261733	0.193307	0.350157	0.261733	0.261733	0.193307	0.595519	0.350157	0.261733	0.350157	0.261733	
26000	4.627436	3	0.297263	0.216355	0.381997	0.297263	0.297263	0.216355	0.381997	0.381997	0.297263	0.381997	0.297263	
27000	4.627436	5	0.292437	0.174487	0.387162	0.292437	0.292437	0.174487	0.759918	0.292437	0.250418	0.387162	0.174487	
28000	4.627436	6	0.316595	0.211818	0.371203	0.307376	0.276702	0.211818	0.584893	0.371203	0.307376	0.316595	0.276702	
29000	4.627436	5	0.304592	0.234820	0.375596	0.304592	0.304592	0.234820	0.446781	0.304592	0.234820	0.368596	0.234820	
30000	4.627436	6	0.316682	0.234693	0.369158	0.312645	0.312645	0.186374	0.604777	0.312645	0.369158	0.369158	0.186374	
31000	4.627436	4	0.289522	0.181169	0.376592	0.289522	0.289522	0.181169	0.507275	0.289522	0.289522	0.376592	0.289522	
32000	4.627436	5	0.331065	0.181066	0.344838	0.265442	0.265442	0.181066	0.926670	0.344838	0.265442	0.344838	0.265442	
33000	4.627436	4	0.292000	0.201045	0.433423	0.292000	0.292000	0.201045	0.465269	0.465269	0.292000	0.465269	0.201045	
34000	4.627436	6	0.286829	0.190891	0.400510	0.286829	0.286829	0.190891	0.579481	0.357356	0.286829	0.400510	0.151721	
35000	4.627436	7	0.281119	0.195153	0.401787	0.281119	0.313537	0.175935	0.443275	0.313537	0.267197	0.443275	0.267197	
36000	4.627436	6	0.291446	0.184558	0.429726	0.253612	0.291446	0.184558	0.947570	0.291446	0.291446	0.490853	0.184558	
37000	4.627436	4	0.292730	0.195790	0.378559	0.292730	0.378559	0.195790	0.903106	0.378559	0.292730	0.378559	0.292730	
38000	4.627436	4	0.317862	0.211180	0.389301	0.317862	0.317862	0.211180	0.452597	0.317862	0.317862	0.317862	0.211180	
39000	4.627436	5	0.316025	0.188861	0.412592	0.316025	0.316025	0.188861	0.412592	0.368772	0.316025	0.412592	0.267062	
40000	4.627436	4	0.357288	0.213318	0.382154	0.350680	0.357288	0.213318	0.382154	0.382154	0.213318	0.357288	0.213318	
41000	4.627436	5	0.304806	0.222642	0.422976	0.286113	0.286113	0.222642	0.534514	0.422976	0.286113	0.422976	0.304806	
42000	4.627436	6	0.297293	0.191290	0.395277	0.297293	0.297293	0.170267	0.450546	0.395277	0.330982	0.395277	0.191290	
43000	4.627436	6	0.289349	0.225057	0.403497	0.289349	0.289349	0.192942	1.101358	0.388220	0.289349	0.388220	0.225057	
44000	4.627436	5	0.292044	0.292044	0.442687	0.292044	0.292044	0.143468	1.546972	0.257376	0.292044	0.442687	0.442687	
45000	4.627436	5	0.300942	0.197411	0.371203	0.300942	0.300942	0.197411	0.817357	0.300942	0.300942	0.471086	0.300942	
46000	4.627436	6	0.326419	0.201023	0.399379	0.326419	0.326419	0.177432	0.778598	0.326419	0.326419	0.450072	0.326419	
47000	4.627436	8	0.314347	0.181610	0.384354	0.265317	0.333704	0.163759	0.832465	0.384354	0.298284	0.384354	0.384354	
48000	4.627436	5	0.286700	0.211595	0.414515	0.286700	0.286700	0.211595	0.522546	0.414515	0.258235	0.414515	0.414515	
49000	4.627436	6	0.296010	0.199809	0.384968	0.296010	0.292765	0.199809	0.673457	0.384968	0.292765	0.345095	0.199809	
50000	4.627436	6	0.305203	0.194048	0.355437	0.296286	0.296286	0.194048	0.503907	0.296952	0.296286	0.355437	0.305203	
51000	4.627436	6	0.329859	0.202694	0.417721	0.336760	0.303564	0.202694	0.417721	0.336760	0.336760	0.338710	0.303564	
52000	4.627436	5	0.263149	0.187041	0.379572	0.263149	0.263149	0.187041	0.803272	0.379572	0.316330	0.379572	0.263149	
