Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.297639	0.297639	0.297639	1.627940	0.297639	0.572734	0.297639	0.181289	1.627940	
2000	1.137478	5	0.263929	0.263929	0.263929	1.419692	0.452939	0.452939	0.218604	0.145907	1.419692	
3000	1.137478	3	0.253013	0.253013	0.253013	1.835172	0.435721	0.435721	0.253013	0.253013	1.835172	
4000	1.137478	4	0.254201	0.254201	0.254201	2.564903	0.435417	0.435417	0.254201	0.254201	1.878294	
5000	1.137478	3	0.258111	0.258111	0.258111	1.904451	0.376878	0.376878	0.258111	0.258111	1.904451	
6000	1.137478	4	0.245124	0.245124	0.245124	2.687450	0.410353	0.410353	0.245124	0.185857	2.687450	
7000	1.137478	5	0.284305	0.249653	0.284305	2.842467	0.507690	0.507690	0.249653	0.195192	2.842467	
8000	1.137478	4	0.253206	0.258048	0.258048	2.927563	0.530384	0.530384	0.253206	0.253206	2.927563	
9000	1.137478	4	0.253736	0.253736	0.253736	2.836025	0.477514	0.477514	0.253736	0.229080	2.836025	
10000	1.137478	3	0.235103	0.235103	0.235103	2.035764	0.493424	0.493424	0.235103	0.235103	2.035764	
11000	1.137478	5	0.245767	0.272266	0.245767	2.781188	0.496048	0.550104	0.245767	0.245767	2.781188	
12000	1.137478	4	0.274251	0.274251	0.274251	2.901023	0.508337	0.508337	0.274251	0.142179	2.901023	
13000	1.137478	5	0.259308	0.259308	0.259308	2.989110	0.375771	0.536083	0.259308	0.218598	2.989110	
14000	1.137478	3	0.239862	0.239862	0.239862	2.898730	0.481668	0.481668	0.239862	0.239862	2.898730	
15000	1.137478	4	0.245921	0.245921	0.245921	2.387579	0.588244	0.588244	0.245921	0.192474	2.387579	
16000	1.137478	4	0.294368	0.294368	0.294368	2.558056	0.550234	0.550234	0.246793	0.246793	2.558056	
17000	1.137478	3	0.265052	0.265052	0.265052	3.386676	0.559340	0.559340	0.265052	0.265052	3.386676	
18000	1.137478	4	0.258360	0.258360	0.258360	3.127078	0.539016	0.539016	0.225863	0.225863	3.127078	
19000	1.137478	4	0.247833	0.247833	0.247833	2.403681	0.551546	0.551546	0.247833	0.159209	2.403681	
20000	1.137478	6	0.247071	0.251629	0.251629	2.722615	0.431804	0.570158	0.251629	0.162788	2.722615	
21000	1.137478	5	0.237432	0.237432	0.281425	2.834146	0.466103	0.466103	0.237432	0.179305	2.834146	
22000	1.137478	3	0.246678	0.246678	0.246678	2.921474	0.530747	0.530747	0.246678	0.246678	2.921474	
23000	1.137478	4	0.252474	0.252474	0.252474	2.789534	0.474993	0.474993	0.252474	0.163157	2.789534	
24000	1.137478	4	0.247741	0.247741	0.247741	2.152230	0.525394	0.525394	0.247741	0.185137	2.152230	
25000	1.137478	5	0.231824	0.254995	0.254995	2.816242	0.574810	0.558040	0.254995	0.231824	2.816242	
26000	1.137478	3	0.253173	0.253173	0.253173	2.692207	0.486170	0.486170	0.253173	0.253173	2.692207	
