Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	3	0.268449	0.340400	0.149260	0.241891	0.398552	0.404153	0.079696	0.117599	0.240998	0.419928	0.171515	0.167559	0.398552	0.404153	0.079696	0.117599	0.240998	0.419928	0.171515	0.167559	0.268449	0.340400	0.149260	0.241891	0.398552	0.404153	0.079696	0.117599	0.268449	0.340400	0.149260	0.241891	0.398552	0.404153	0.079696	0.117599	
2000	1.137478	2	0.431111	0.383458	0.059737	0.125693	0.431111	0.383458	0.059737	0.125693	0.173384	0.339303	0.191408	0.295905	0.431111	0.383458	0.059737	0.125693	0.173384	0.339303	0.191408	0.295905	0.173384	0.339303	0.191408	0.295905	0.431111	0.383458	0.059737	0.125693	0.173384	0.339303	0.191408	0.295905	0.431111	0.383458	0.059737	0.125693	
3000	1.137478	2	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.233757	0.314195	0.179668	0.272380	0.428673	0.375548	0.063246	0.132533	0.233757	0.314195	0.179668	0.272380	0.233757	0.314195	0.179668	0.272380	0.428673	0.375548	0.063246	0.132533	0.233757	0.314195	0.179668	0.272380	0.428673	0.375548	0.063246	0.132533	
4000	1.137478	2	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.213833	0.290430	0.204611	0.291125	0.428673	0.375548	0.063246	0.132533	0.213833	0.290430	0.204611	0.291125	0.213833	0.290430	0.204611	0.291125	0.428673	0.375548	0.063246	0.132533	0.213833	0.290430	0.204611	0.291125	0.428673	0.375548	0.063246	0.132533	
5000	1.137478	2	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.232761	0.279434	0.187952	0.299853	0.428673	0.375548	0.063246	0.132533	0.232761	0.279434	0.187952	0.299853	0.232761	0.279434	0.187952	0.299853	0.428673	0.375548	0.063246	0.132533	0.232761	0.279434	0.187952	0.299853	0.428673	0.375548	0.063246	0.132533	
6000	1.137478	3	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.128604	0.352475	0.143872	0.375048	0.428673	0.375548	0.063246	0.132533	0.234031	0.266791	0.198204	0.300974	0.234031	0.266791	0.198204	0.300974	0.428673	0.375548	0.063246	0.132533	0.128604	0.352475	0.143872	0.375048	0.428673	0.375548	0.063246	0.132533	
7000	1.137478	2	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.249731	0.277287	0.188844	0.284138	0.428673	0.375548	0.063246	0.132533	0.249731	0.277287	0.188844	0.284138	0.249731	0.277287	0.188844	0.284138	0.428673	0.375548	0.063246	0.132533	0.249731	0.277287	0.188844	0.284138	0.428673	0.375548	0.063246	0.132533	
8000	1.137478	2	0.428673	0.375548	0.063246	0.132533	0.428673	0.375548	0.063246	0.132533	0.248872	0.259370	0.190210	0.301549	0.428673	0.375548	0.063246	0.132533	0.248872	0.259370	0.190210	0.301549	0.248872	0.259370	0.190210	0.301549	0.428673	0.375548	0.063246	0.132533	0.248872	0.259370	0.190210	0.301549	0.428673	0.375548	0.063246	0.132533	
9000	1.137478	2	0.407946	0.383292	0.061420	0.147342	0.407946	0.383292	0.061420	0.147342	0.179655	0.324486	0.173140	0.322719	0.407946	0.383292	0.061420	0.147342	0.179655	0.324486	0.173140	0.322719	0.179655	0.324486	0.173140	0.322719	0.407946	0.383292	0.061420	0.147342	0.179655	0.324486	0.173140	0.322719	0.407946	0.383292	0.061420	0.147342	
10000	1.137478	2	0.407946	0.383292	0.061420	0.147342	0.407946	0.383292	0.061420	0.147342	0.246443	0.278476	0.175715	0.299365	0.407946	0.383292	0.061420	0.147342	0.246443	0.278476	0.175715	0.299365	0.246443	0.278476	0.175715	0.299365	0.407946	0.383292	0.061420	0.147342	0.246443	0.278476	0.175715	0.299365	0.407946	0.383292	0.061420	0.147342	
11000	1.137478	2	0.407946	0.383292	0.061420	0.147342	0.407946	0.383292	0.061420	0.147342	0.242622	0.278231	0.190427	0.288720	0.407946	0.383292	0.061420	0.147342	0.242622	0.278231	0.190427	0.288720	0.242622	0.278231	0.190427	0.288720	0.407946	0.383292	0.061420	0.147342	0.242622	0.278231	0.190427	0.288720	0.407946	0.383292	0.061420	0.147342	
12000	1.137478	2	0.407946	0.383292	0.061420	0.147342	0.407946	0.383292	0.061420	0.147342	0.248536	0.270444	0.179934	0.301085	0.407946	0.383292	0.061420	0.147342	0.248536	0.270444	0.179934	0.301085	0.248536	0.270444	0.179934	0.301085	0.407946	0.383292	0.061420	0.147342	0.248536	0.270444	0.179934	0.301085	0.407946	0.383292	0.061420	0.147342	
13000	1.137478	2	0.377985	0.415071	0.060305	0.146639	0.377985	0.415071	0.060305	0.146639	0.220291	0.289738	0.188022	0.301949	0.377985	0.415071	0.060305	0.146639	0.220291	0.289738	0.188022	0.301949	0.220291	0.289738	0.188022	0.301949	0.377985	0.415071	0.060305	0.146639	0.220291	0.289738	0.188022	0.301949	0.377985	0.415071	0.060305	0.146639	
14000	1.137478	3	0.402106	0.399902	0.057604	0.140388	0.402106	0.399902	0.057604	0.140388	0.262837	0.251356	0.155591	0.330215	0.402106	0.399902	0.057604	0.140388	0.164250	0.350721	0.207229	0.277799	0.262837	0.251356	0.155591	0.330215	0.402106	0.399902	0.057604	0.140388	0.262837	0.251356	0.155591	0.330215	0.402106	0.399902	0.057604	0.140388	
15000	1.137478	2	0.402106	0.399902	0.057604	0.140388	0.402106	0.399902	0.057604	0.140388	0.248080	0.258920	0.203897	0.289103	0.402106	0.399902	0.057604	0.140388	0.248080	0.258920	0.203897	0.289103	0.248080	0.258920	0.203897	0.289103	0.402106	0.399902	0.057604	0.140388	0.248080	0.258920	0.203897	0.289103	0.402106	0.399902	0.057604	0.140388	
16000	1.137478	4	0.384174	0.357615	0.073956	0.184256	0.384174	0.357615	0.073956	0.184256	0.181151	0.333544	0.106843	0.378462	0.397773	0.399145	0.056238	0.146844	0.283104	0.219500	0.206668	0.290728	0.283104	0.219500	0.206668	0.290728	0.397773	0.399145	0.056238	0.146844	0.181151	0.333544	0.106843	0.378462	0.397773	0.399145	0.056238	0.146844	
17000	1.137478	3	0.390955	0.350707	0.081698	0.176641	0.390955	0.350707	0.081698	0.176641	0.247102	0.259528	0.184099	0.309270	0.397773	0.399145	0.056238	0.146844	0.247102	0.259528	0.184099	0.309270	0.247102	0.259528	0.184099	0.309270	0.397773	0.399145	0.056238	0.146844	0.247102	0.259528	0.184099	0.309270	0.397773	0.399145	0.056238	0.146844	
18000	1.137478	3	0.416092	0.314163	0.073635	0.196110	0.416092	0.314163	0.073635	0.196110	0.256392	0.265610	0.181323	0.296676	0.397773	0.399145	0.056238	0.146844	0.256392	0.265610	0.181323	0.296676	0.256392	0.265610	0.181323	0.296676	0.397773	0.399145	0.056238	0.146844	0.256392	0.265610	0.181323	0.296676	0.397773	0.399145	0.056238	0.146844	
19000	1.137478	4	0.416092	0.314163	0.073635	0.196110	0.416092	0.314163	0.073635	0.196110	0.201213	0.376005	0.170855	0.251928	0.397773	0.399145	0.056238	0.146844	0.256392	0.265610	0.181323	0.296676	0.256392	0.265610	0.181323	0.296676	0.397773	0.399145	0.056238	0.146844	0.256392	0.265610	0.181323	0.296676	0.397773	0.399145	0.056238	0.146844	
20000	1.137478	3	0.397993	0.333359	0.081841	0.186808	0.397993	0.333359	0.081841	0.186808	0.172365	0.361738	0.157686	0.308211	0.389120	0.409852	0.051958	0.149070	0.172365	0.361738	0.157686	0.308211	0.172365	0.361738	0.157686	0.308211	0.389120	0.409852	0.051958	0.149070	0.172365	0.361738	0.157686	0.308211	0.389120	0.409852	0.051958	0.149070	
21000	1.137478	2	0.389120	0.409852	0.051958	0.149070	0.389120	0.409852	0.051958	0.149070	0.259448	0.277178	0.170734	0.292640	0.389120	0.409852	0.051958	0.149070	0.259448	0.277178	0.170734	0.292640	0.259448	0.277178	0.170734	0.292640	0.389120	0.409852	0.051958	0.149070	0.259448	0.277178	0.170734	0.292640	0.389120	0.409852	0.051958	0.149070	
22000	1.137478	3	0.293507	0.371744	0.083718	0.251030	0.389120	0.409852	0.051958	0.149070	0.293507	0.371744	0.083718	0.251030	0.389120	0.409852	0.051958	0.149070	0.242070	0.302178	0.180592	0.275160	0.242070	0.302178	0.180592	0.275160	0.389120	0.409852	0.051958	0.149070	0.242070	0.302178	0.180592	0.275160	0.389120	0.409852	0.051958	0.149070	
23000	1.137478	2	0.389120	0.409852	0.051958	0.149070	0.389120	0.409852	0.051958	0.149070	0.244988	0.245313	0.200974	0.308725	0.389120	0.409852	0.051958	0.149070	0.244988	0.245313	0.200974	0.308725	0.244988	0.245313	0.200974	0.308725	0.389120	0.409852	0.051958	0.149070	0.244988	0.245313	0.200974	0.308725	0.389120	0.409852	0.051958	0.149070	
24000	1.137478	2	0.380507	0.408628	0.059953	0.150913	0.380507	0.408628	0.059953	0.150913	0.247342	0.318930	0.165537	0.268191	0.380507	0.408628	0.059953	0.150913	0.247342	0.318930	0.165537	0.268191	0.247342	0.318930	0.165537	0.268191	0.380507	0.408628	0.059953	0.150913	0.247342	0.318930	0.165537	0.268191	0.380507	0.408628	0.059953	0.150913	
25000	1.137478	3	0.382812	0.406931	0.058344	0.151913	0.382812	0.406931	0.058344	0.151913	0.189659	0.308412	0.166882	0.335046	0.382812	0.406931	0.058344	0.151913	0.274248	0.241196	0.198362	0.286194	0.274248	0.241196	0.198362	0.286194	0.382812	0.406931	0.058344	0.151913	0.189659	0.308412	0.166882	0.335046	0.382812	0.406931	0.058344	0.151913	
26000	1.137478	3	0.382812	0.406931	0.058344	0.151913	0.382812	0.406931	0.058344	0.151913	0.179984	0.339610	0.143125	0.337280	0.382812	0.406931	0.058344	0.151913	0.258585	0.258638	0.186602	0.296175	0.258585	0.258638	0.186602	0.296175	0.382812	0.406931	0.058344	0.151913	0.179984	0.339610	0.143125	0.337280	0.382812	0.406931	0.058344	0.151913	
27000	1.137478	2	0.382812	0.406931	0.058344	0.151913	0.382812	0.406931	0.058344	0.151913	0.244668	0.260623	0.188735	0.305975	0.382812	0.406931	0.058344	0.151913	0.244668	0.260623	0.188735	0.305975	0.244668	0.260623	0.188735	0.305975	0.382812	0.406931	0.058344	0.151913	0.244668	0.260623	0.188735	0.305975	0.382812	0.406931	0.058344	0.151913	
