Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
1000	1.137478	2	13.399830	13.399830	13.399830	74.089531	13.399830	13.399830	13.399830	13.399830	74.089531	
2000	1.137478	2	8.597579	8.597579	8.597579	61.478194	8.597579	8.597579	8.597579	8.597579	61.478194	
3000	1.137478	2	7.460702	7.460702	7.460702	51.053721	7.460702	7.460702	7.460702	7.460702	51.053721	
4000	1.137478	2	7.924900	7.924900	7.924900	49.861152	7.924900	7.924900	7.924900	7.924900	49.861152	
5000	1.137478	2	7.155986	7.155986	7.155986	46.789029	7.155986	7.155986	7.155986	7.155986	46.789029	
6000	1.137478	2	7.235678	7.235678	7.235678	46.298095	7.235678	7.235678	7.235678	7.235678	46.298095	
7000	1.137478	2	7.193733	7.193733	7.193733	47.285852	7.193733	7.193733	7.193733	7.193733	47.285852	
8000	1.137478	2	6.873061	6.873061	6.873061	45.697025	6.873061	6.873061	6.873061	6.873061	45.697025	
9000	1.137478	2	6.880959	6.880959	6.880959	45.475652	6.880959	6.880959	6.880959	6.880959	45.475652	
10000	1.137478	2	7.183532	7.183532	7.183532	46.957281	7.183532	7.183532	7.183532	7.183532	46.957281	
11000	1.137478	2	7.378872	7.378872	7.378872	42.952980	7.378872	7.378872	7.378872	7.378872	42.952980	
12000	1.137478	2	7.065499	7.065499	7.065499	44.081635	7.065499	7.065499	7.065499	7.065499	44.081635	
13000	1.137478	2	7.293348	7.293348	7.293348	43.562715	7.293348	7.293348	7.293348	7.293348	43.562715	
14000	1.137478	2	6.601820	6.601820	6.601820	44.206036	6.601820	6.601820	6.601820	6.601820	44.206036	
15000	1.137478	2	6.236233	6.236233	6.236233	45.090068	6.236233	6.236233	6.236233	6.236233	45.090068	
16000	1.137478	2	7.365436	7.365436	7.365436	43.274148	7.365436	7.365436	7.365436	7.365436	43.274148	
17000	1.137478	2	7.499129	7.499129	7.499129	43.681303	7.499129	7.499129	7.499129	7.499129	43.681303	
18000	1.137478	2	7.092569	7.092569	7.092569	45.167921	7.092569	7.092569	7.092569	7.092569	45.167921	
19000	1.137478	2	6.827618	6.827618	6.827618	44.683001	6.827618	6.827618	6.827618	6.827618	44.683001	
20000	1.137478	2	7.155312	7.155312	7.155312	44.870046	7.155312	7.155312	7.155312	7.155312	44.870046	
21000	1.137478	2	6.751043	6.751043	6.751043	43.470813	6.751043	6.751043	6.751043	6.751043	43.470813	
22000	1.137478	2	6.713983	6.713983	6.713983	44.504539	6.713983	6.713983	6.713983	6.713983	44.504539	
23000	1.137478	2	6.544974	6.544974	6.544974	43.976942	6.544974	6.544974	6.544974	6.544974	43.976942	
24000	1.137478	2	7.223558	7.223558	7.223558	46.059980	7.223558	7.223558	7.223558	7.223558	46.059980	
25000	1.137478	2	6.869588	6.869588	6.869588	43.578847	6.869588	6.869588	6.869588	6.869588	43.578847	
26000	1.137478	2	7.494371	7.494371	7.494371	44.704989	7.494371	7.494371	7.494371	7.494371	44.704989	
27000	1.137478	2	6.779962	6.779962	6.779962	45.262343	6.779962	6.779962	6.779962	6.779962	45.262343	
28000	1.137478	2	7.022560	7.022560	7.022560	44.846635	7.022560	7.022560	7.022560	7.022560	44.846635	
29000	1.137478	2	6.722000	6.722000	6.722000	42.628050	6.722000	6.722000	6.722000	6.722000	42.628050	
30000	1.137478	2	7.369618	7.369618	7.369618	43.937874	7.369618	7.369618	7.369618	7.369618	43.937874	
31000	1.137478	2	6.806921	6.806921	6.806921	43.575410	6.806921	6.806921	6.806921	6.806921	43.575410	
32000	1.137478	2	7.352646	7.352646	7.352646	44.359130	7.352646	7.352646	7.352646	7.352646	44.359130	
33000	1.137478	2	7.460751	7.460751	7.460751	43.617598	7.460751	7.460751	7.460751	7.460751	43.617598	
34000	1.137478	2	7.522186	7.522186	7.522186	44.348196	7.522186	7.522186	7.522186	7.522186	44.348196	
35000	1.137478	2	7.498470	7.498470	7.498470	46.112958	7.498470	7.498470	7.498470	7.498470	46.112958	
36000	1.137478	2	6.992465	6.992465	6.992465	45.715947	6.992465	6.992465	6.992465	6.992465	45.715947	
37000	1.137478	2	7.152695	7.152695	7.152695	45.420966	7.152695	7.152695	7.152695	7.152695	45.420966	
38000	1.137478	2	6.515707	6.515707	6.515707	43.789295	6.515707	6.515707	6.515707	6.515707	43.789295	
39000	1.137478	2	7.081844	7.081844	7.081844	45.231226	7.081844	7.081844	7.081844	7.081844	45.231226	
40000	1.137478	2	6.660282	6.660282	6.660282	45.517403	6.660282	6.660282	6.660282	6.660282	45.517403	
41000	1.137478	2	6.791306	6.791306	6.791306	42.776100	6.791306	6.791306	6.791306	6.791306	42.776100	
42000	1.137478	2	7.162316	7.162316	7.162316	45.738441	7.162316	7.162316	7.162316	7.162316	45.738441	
43000	1.137478	2	6.986753	6.986753	6.986753	44.454275	6.986753	6.986753	6.986753	6.986753	44.454275	
44000	1.137478	2	7.531886	7.531886	7.531886	46.284501	7.531886	7.531886	7.531886	7.531886	46.284501	
45000	1.137478	2	7.510579	7.510579	7.510579	45.875235	7.510579	7.510579	7.510579	7.510579	45.875235	
46000	1.137478	2	7.315136	7.315136	7.315136	46.015830	7.315136	7.315136	7.315136	7.315136	46.015830	
