Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
1000	1.137478	2	12.025810	12.025810	12.025810	64.156270	12.025810	12.025810	12.025810	12.025810	64.156270	
2000	1.137478	2	8.808093	8.808093	8.808093	53.077870	8.808093	8.808093	8.808093	8.808093	53.077870	
3000	1.137478	2	7.598763	7.598763	7.598763	48.860486	7.598763	7.598763	7.598763	7.598763	48.860486	
4000	1.137478	2	7.755170	7.755170	7.755170	46.836615	7.755170	7.755170	7.755170	7.755170	46.836615	
5000	1.137478	2	7.261097	7.261097	7.261097	48.622321	7.261097	7.261097	7.261097	7.261097	48.622321	
6000	1.137478	2	7.413144	7.413144	7.413144	48.294779	7.413144	7.413144	7.413144	7.413144	48.294779	
7000	1.137478	2	7.776399	7.776399	7.776399	46.881185	7.776399	7.776399	7.776399	7.776399	46.881185	
8000	1.137478	2	7.356227	7.356227	7.356227	48.275544	7.356227	7.356227	7.356227	7.356227	48.275544	
9000	1.137478	2	6.710762	6.710762	6.710762	43.415758	6.710762	6.710762	6.710762	6.710762	43.415758	
10000	1.137478	2	7.133873	7.133873	7.133873	44.896696	7.133873	7.133873	7.133873	7.133873	44.896696	
11000	1.137478	2	7.557746	7.557746	7.557746	44.442564	7.557746	7.557746	7.557746	7.557746	44.442564	
12000	1.137478	2	7.078921	7.078921	7.078921	45.669450	7.078921	7.078921	7.078921	7.078921	45.669450	
13000	1.137478	2	6.798234	6.798234	6.798234	44.767532	6.798234	6.798234	6.798234	6.798234	44.767532	
14000	1.137478	2	7.058513	7.058513	7.058513	45.622099	7.058513	7.058513	7.058513	7.058513	45.622099	
15000	1.137478	2	7.417040	7.417040	7.417040	43.658918	7.417040	7.417040	7.417040	7.417040	43.658918	
16000	1.137478	2	6.760509	6.760509	6.760509	44.017265	6.760509	6.760509	6.760509	6.760509	44.017265	
17000	1.137478	2	7.161103	7.161103	7.161103	46.282112	7.161103	7.161103	7.161103	7.161103	46.282112	
18000	1.137478	2	7.044513	7.044513	7.044513	44.850105	7.044513	7.044513	7.044513	7.044513	44.850105	
19000	1.137478	2	6.887561	6.887561	6.887561	44.260162	6.887561	6.887561	6.887561	6.887561	44.260162	
20000	1.137478	2	7.267514	7.267514	7.267514	44.162952	7.267514	7.267514	7.267514	7.267514	44.162952	
21000	1.137478	2	6.849619	6.849619	6.849619	45.619738	6.849619	6.849619	6.849619	6.849619	45.619738	
22000	1.137478	2	7.185162	7.185162	7.185162	44.540527	7.185162	7.185162	7.185162	7.185162	44.540527	
23000	1.137478	2	7.522161	7.522161	7.522161	42.985565	7.522161	7.522161	7.522161	7.522161	42.985565	
24000	1.137478	2	7.181319	7.181319	7.181319	44.200012	7.181319	7.181319	7.181319	7.181319	44.200012	
25000	1.137478	2	6.975964	6.975964	6.975964	42.860380	6.975964	6.975964	6.975964	6.975964	42.860380	
26000	1.137478	2	6.957069	6.957069	6.957069	43.756809	6.957069	6.957069	6.957069	6.957069	43.756809	
27000	1.137478	2	6.756663	6.756663	6.756663	45.279174	6.756663	6.756663	6.756663	6.756663	45.279174	
28000	1.137478	2	7.166465	7.166465	7.166465	44.603048	7.166465	7.166465	7.166465	7.166465	44.603048	
29000	1.137478	2	6.982221	6.982221	6.982221	43.264569	6.982221	6.982221	6.982221	6.982221	43.264569	
30000	1.137478	2	6.946648	6.946648	6.946648	44.682055	6.946648	6.946648	6.946648	6.946648	44.682055	
31000	1.137478	2	7.365202	7.365202	7.365202	44.628458	7.365202	7.365202	7.365202	7.365202	44.628458	
32000	1.137478	2	7.814362	7.814362	7.814362	45.121376	7.814362	7.814362	7.814362	7.814362	45.121376	
33000	1.137478	2	7.282792	7.282792	7.282792	45.978136	7.282792	7.282792	7.282792	7.282792	45.978136	
34000	1.137478	2	6.648127	6.648127	6.648127	43.649473	6.648127	6.648127	6.648127	6.648127	43.649473	
35000	1.137478	2	7.066232	7.066232	7.066232	46.449114	7.066232	7.066232	7.066232	7.066232	46.449114	
36000	1.137478	2	6.927412	6.927412	6.927412	45.261382	6.927412	6.927412	6.927412	6.927412	45.261382	
37000	1.137478	2	7.120242	7.120242	7.120242	44.040764	7.120242	7.120242	7.120242	7.120242	44.040764	
38000	1.137478	2	7.663378	7.663378	7.663378	45.859378	7.663378	7.663378	7.663378	7.663378	45.859378	
39000	1.137478	2	7.429700	7.429700	7.429700	44.867524	7.429700	7.429700	7.429700	7.429700	44.867524	
40000	1.137478	2	7.134438	7.134438	7.134438	45.530651	7.134438	7.134438	7.134438	7.134438	45.530651	
41000	1.137478	2	7.689524	7.689524	7.689524	45.972168	7.689524	7.689524	7.689524	7.689524	45.972168	
42000	1.137478	2	7.557444	7.557444	7.557444	46.984233	7.557444	7.557444	7.557444	7.557444	46.984233	
43000	1.137478	2	7.677686	7.677686	7.677686	47.077947	7.677686	7.677686	7.677686	7.677686	47.077947	
44000	1.137478	2	7.487855	7.487855	7.487855	46.053932	7.487855	7.487855	7.487855	7.487855	46.053932	
45000	1.137478	2	7.454297	7.454297	7.454297	45.460689	7.454297	7.454297	7.454297	7.454297	45.460689	
46000	1.137478	2	7.095305	7.095305	7.095305	46.631953	7.095305	7.095305	7.095305	7.095305	46.631953	
47000	1.137478	2	7.406825	7.406825	7.406825	47.117576	7.406825	7.406825	7.406825	7.406825	47.117576	
48000	1.137478	2	7.255540	7.255540	7.255540	47.575192	7.255540	7.255540	7.255540	7.255540	47.575192	
49000	1.137478	2	7.727354	7.727354	7.727354	47.399619	7.727354	7.727354	7.727354	7.727354	47.399619	
50000	1.137478	2	7.700125	7.700125	7.700125	47.938380	7.700125	7.700125	7.700125	7.700125	47.938380	
51000	1.137478	2	7.532425	7.532425	7.532425	46.627288	7.532425	7.532425	7.532425	7.532425	46.627288	
52000	1.137478	2	7.377956	7.377956	7.377956	45.758350	7.377956	7.377956	7.377956	7.377956	45.758350	
53000	1.137478	2	7.452867	7.452867	7.452867	45.575276	7.452867	7.452867	7.452867	7.452867	45.575276	
54000	1.137478	2	7.159524	7.159524	7.159524	45.435103	7.159524	7.159524	7.159524	7.159524	45.435103	
55000	1.137478	2	7.168063	7.168063	7.168063	46.958982	7.168063	7.168063	7.168063	7.168063	46.958982	
56000	1.137478	2	7.415464	7.415464	7.415464	44.859084	7.415464	7.415464	7.415464	7.415464	44.859084	
57000	1.137478	2	7.741659	7.741659	7.741659	46.201283	7.741659	7.741659	7.741659	7.741659	46.201283	
58000	1.137478	2	7.026214	7.026214	7.026214	47.218520	7.026214	7.026214	7.026214	7.026214	47.218520	
59000	1.137478	2	6.911851	6.911851	6.911851	46.250621	6.911851	6.911851	6.911851	6.911851	46.250621	
60000	1.137478	2	7.518712	7.518712	7.518712	47.154304	7.518712	7.518712	7.518712	7.518712	47.154304	
61000	1.137478	2	7.491998	7.491998	7.491998	45.197607	7.491998	7.491998	7.491998	7.491998	45.197607	
62000	1.137478	2	7.112325	7.112325	7.112325	44.632822	7.112325	7.112325	7.112325	7.112325	44.632822	
63000	1.137478	2	7.954392	7.954392	7.954392	45.828581	7.954392	7.954392	7.954392	7.954392	45.828581	
64000	1.137478	2	7.539084	7.539084	7.539084	45.954619	7.539084	7.539084	7.539084	7.539084	45.954619	
65000	1.137478	2	7.551862	7.551862	7.551862	46.084270	7.551862	7.551862	7.551862	7.551862	46.084270	
66000	1.137478	2	7.081093	7.081093	7.081093	45.766773	7.081093	7.081093	7.081093	7.081093	45.766773	
67000	1.137478	2	7.540781	7.540781	7.540781	45.418899	7.540781	7.540781	7.540781	7.540781	45.418899	
68000	1.137478	2	7.790100	7.790100	7.790100	44.632672	7.790100	7.790100	7.790100	7.790100	44.632672	
69000	1.137478	2	7.655295	7.655295	7.655295	44.686514	7.655295	7.655295	7.655295	7.655295	44.686514	
70000	1.137478	2	7.314746	7.314746	7.314746	45.710573	7.314746	7.314746	7.314746	7.314746	45.710573	
71000	1.137478	2	7.344920	7.344920	7.344920	47.834934	7.344920	7.344920	7.344920	7.344920	47.834934	
72000	1.137478	2	7.091162	7.091162	7.091162	47.221222	7.091162	7.091162	7.091162	7.091162	47.221222	
73000	1.137478	2	6.972447	6.972447	6.972447	47.554393	6.972447	6.972447	6.972447	6.972447	47.554393	
74000	1.137478	2	7.132894	7.132894	7.132894	46.053276	7.132894	7.132894	7.132894	7.132894	46.053276	
75000	1.137478	2	6.798900	6.798900	6.798900	45.540294	6.798900	6.798900	6.798900	6.798900	45.540294	
76000	1.137478	2	7.044217	7.044217	7.044217	47.051289	7.044217	7.044217	7.044217	7.044217	47.051289	
77000	1.137478	2	7.350664	7.350664	7.350664	46.104141	7.350664	7.350664	7.350664	7.350664	46.104141	
78000	1.137478	2	7.359880	7.359880	7.359880	45.495074	7.359880	7.359880	7.359880	7.359880	45.495074	
79000	1.137478	2	7.503401	7.503401	7.503401	44.773408	7.503401	7.503401	7.503401	7.503401	44.773408	
80000	1.137478	2	7.115717	7.115717	7.115717	45.722677	7.115717	7.115717	7.115717	7.115717	45.722677	
81000	1.137478	2	6.783423	6.783423	6.783423	47.052981	6.783423	6.783423	6.783423	6.783423	47.052981	
82000	1.137478	2	7.303076	7.303076	7.303076	47.626807	7.303076	7.303076	7.303076	7.303076	47.626807	
83000	1.137478	2	7.177511	7.177511	7.177511	46.551241	7.177511	7.177511	7.177511	7.177511	46.551241	
84000	1.137478	2	7.158738	7.158738	7.158738	45.529222	7.158738	7.158738	7.158738	7.158738	45.529222	
85000	1.137478	2	7.047633	7.047633	7.047633	47.119426	7.047633	7.047633	7.047633	7.047633	47.119426	
86000	1.137478	2	7.027156	7.027156	7.027156	47.404848	7.027156	7.027156	7.027156	7.027156	47.404848	
87000	1.137478	2	7.323416	7.323416	7.323416	45.978040	7.323416	7.323416	7.323416	7.323416	45.978040	
88000	1.137478	2	7.293834	7.293834	7.293834	47.142029	7.293834	7.293834	7.293834	7.293834	47.142029	
89000	1.137478	2	7.186143	7.186143	7.186143	46.364879	7.186143	7.186143	7.186143	7.186143	46.364879	
90000	1.137478	2	7.409199	7.409199	7.409199	45.672337	7.409199	7.409199	7.409199	7.409199	45.672337	
91000	1.137478	2	7.046939	7.046939	7.046939	48.151305	7.046939	7.046939	7.046939	7.046939	48.151305	
92000	1.137478	2	6.949630	6.949630	6.949630	45.755512	6.949630	6.949630	6.949630	6.949630	45.755512	
93000	1.137478	2	6.870647	6.870647	6.870647	47.457536	6.870647	6.870647	6.870647	6.870647	47.457536	
94000	1.137478	2	7.302130	7.302130	7.302130	46.660684	7.302130	7.302130	7.302130	7.302130	46.660684	
95000	1.137478	2	7.365596	7.365596	7.365596	47.070622	7.365596	7.365596	7.365596	7.365596	47.070622	
96000	1.137478	2	7.376588	7.376588	7.376588	46.577749	7.376588	7.376588	7.376588	7.376588	46.577749	
97000	1.137478	2	7.251370	7.251370	7.251370	44.816483	7.251370	7.251370	7.251370	7.251370	44.816483	
98000	1.137478	2	7.316046	7.316046	7.316046	46.040005	7.316046	7.316046	7.316046	7.316046	46.040005	
99000	1.137478	2	7.748701	7.748701	7.748701	46.366460	7.748701	7.748701	7.748701	7.748701	46.366460	
100000	1.137478	2	7.284869	7.284869	7.284869	44.883746	7.284869	7.284869	7.284869	7.284869	44.883746	
101000	1.137478	2	7.971506	7.971506	7.971506	45.924759	7.971506	7.971506	7.971506	7.971506	45.924759	
102000	1.137478	2	7.568464	7.568464	7.568464	47.593309	7.568464	7.568464	7.568464	7.568464	47.593309	
103000	1.137478	2	7.169425	7.169425	7.169425	48.183370	7.169425	7.169425	7.169425	7.169425	48.183370	
104000	1.137478	2	7.836495	7.836495	7.836495	46.970409	7.836495	7.836495	7.836495	7.836495	46.970409	
105000	1.137478	2	7.335797	7.335797	7.335797	45.386185	7.335797	7.335797	7.335797	7.335797	45.386185	
106000	1.137478	2	6.906034	6.906034	6.906034	49.173796	6.906034	6.906034	6.906034	6.906034	49.173796	
107000	1.137478	2	6.786346	6.786346	6.786346	44.623573	6.786346	6.786346	6.786346	6.786346	44.623573	
108000	1.137478	2	7.349661	7.349661	7.349661	47.615148	7.349661	7.349661	7.349661	7.349661	47.615148	
109000	1.137478	2	7.240414	7.240414	7.240414	45.742199	7.240414	7.240414	7.240414	7.240414	45.742199	
110000	1.137478	2	7.171383	7.171383	7.171383	47.138882	7.171383	7.171383	7.171383	7.171383	47.138882	
