Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	1.137478	4	0.247674	0.333785	0.247674	1.536945	0.333785	0.333785	0.247674	0.199494	1.536945	
2000	1.137478	3	0.258862	0.258862	0.258862	2.084671	0.460411	0.460411	0.258862	0.258862	2.084671	
3000	1.137478	4	0.256644	0.256644	0.256644	2.023835	0.436242	0.436242	0.256644	0.156218	2.023835	
4000	1.137478	3	0.273871	0.273871	0.273871	2.189696	0.490309	0.490309	0.273871	0.273871	2.189696	
5000	1.137478	4	0.249588	0.249588	0.249588	2.354350	0.496909	0.553563	0.249588	0.249588	2.354350	
6000	1.137478	3	0.232387	0.232387	0.232387	2.700936	0.429913	0.429913	0.232387	0.232387	2.700936	
7000	1.137478	3	0.245829	0.245829	0.245829	2.501443	0.551224	0.551224	0.245829	0.245829	2.501443	
8000	1.137478	4	0.243817	0.243817	0.243817	2.010248	0.550853	0.590335	0.243817	0.243817	2.010248	
9000	1.137478	4	0.256628	0.256628	0.256628	2.380290	0.504374	0.504374	0.256628	0.239076	2.380290	
10000	1.137478	3	0.243225	0.243225	0.243225	2.485085	0.623296	0.623296	0.243225	0.243225	2.485085	
11000	1.137478	3	0.243353	0.243353	0.243353	2.531410	0.482026	0.482026	0.243353	0.243353	2.531410	
12000	1.137478	5	0.254217	0.254217	0.254217	2.417644	0.404901	0.458699	0.254217	0.178722	2.417644	
13000	1.137478	3	0.258363	0.258363	0.258363	2.821232	0.397331	0.397331	0.258363	0.258363	2.821232	
14000	1.137478	4	0.260738	0.260738	0.260738	2.972730	0.498547	0.498547	0.260738	0.260738	1.777169	
15000	1.137478	4	0.250175	0.250175	0.250175	2.157612	0.503002	0.503002	0.250175	0.144742	2.157612	
16000	1.137478	5	0.295558	0.253991	0.295558	2.622260	0.405017	0.475876	0.253991	0.253991	2.622260	
17000	1.137478	4	0.257741	0.257741	0.257741	3.003514	0.531174	0.531174	0.257741	0.165020	3.003514	
18000	1.137478	6	0.254202	0.254202	0.265755	3.183269	0.400688	0.512844	0.265755	0.254202	2.789384	
19000	1.137478	4	0.276707	0.276707	0.276707	3.208187	0.479434	0.538972	0.276707	0.276707	3.208187	
20000	1.137478	3	0.246983	0.246983	0.246983	3.679038	0.483181	0.483181	0.246983	0.246983	3.679038	
21000	1.137478	4	0.249321	0.257773	0.249321	2.850392	0.389121	0.389121	0.249321	0.249321	2.850392	
22000	1.137478	4	0.258613	0.258613	0.258613	2.845666	0.441239	0.441239	0.258613	0.182116	2.845666	
23000	1.137478	3	0.272568	0.272568	0.272568	3.109366	0.462041	0.462041	0.272568	0.272568	3.109366	
24000	1.137478	4	0.267416	0.267416	0.267416	2.654099	0.483730	0.483730	0.267416	0.232616	2.654099	
25000	1.137478	4	0.264819	0.264819	0.264819	3.287630	0.487060	0.587138	0.264819	0.264819	3.287630	
26000	1.137478	4	0.259550	0.259550	0.259550	2.851223	0.437425	0.437425	0.259550	0.211300	2.851223	
27000	1.137478	4	0.253517	0.253517	0.253517	2.730572	0.416426	0.416426	0.253517	0.222844	2.730572	
28000	1.137478	3	0.269266	0.269266	0.269266	2.326242	0.418709	0.418709	0.269266	0.269266	2.326242	
29000	1.137478	4	0.252260	0.252260	0.252260	2.544458	0.518530	0.518530	0.252260	0.192536	2.544458	
30000	1.137478	3	0.250776	0.250776	0.250776	2.688311	0.511559	0.511559	0.250776	0.250776	2.688311	
31000	1.137478	5	0.254289	0.269952	0.254289	2.777242	0.418329	0.418329	0.254289	0.135830	2.777242	
32000	1.137478	3	0.281791	0.281791	0.281791	3.264327	0.554230	0.554230	0.281791	0.281791	3.264327	
33000	1.137478	5	0.261509	0.261509	0.261509	3.062414	0.425752	0.554050	0.261509	0.240430	3.062414	
34000	1.137478	5	0.272829	0.272829	0.272829	3.020940	0.408686	0.577766	0.272829	0.187922	3.020940	
35000	1.137478	3	0.250260	0.250260	0.250260	2.935941	0.494688	0.494688	0.250260	0.250260	2.935941	
