Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	1.137478	3	0.330788	0.409273	0.088159	0.171780	0.330788	0.409273	0.088159	0.171780	0.250406	0.370618	0.107229	0.271747	0.442636	0.385225	0.049013	0.123126	0.250406	0.370618	0.107229	0.271747	0.250406	0.370618	0.107229	0.271747	0.330788	0.409273	0.088159	0.171780	0.250406	0.370618	0.107229	0.271747	0.442636	0.385225	0.049013	0.123126	
2000	1.137478	2	0.423171	0.389483	0.060758	0.126587	0.423171	0.389483	0.060758	0.126587	0.247609	0.276358	0.165176	0.310857	0.423171	0.389483	0.060758	0.126587	0.247609	0.276358	0.165176	0.310857	0.247609	0.276358	0.165176	0.310857	0.423171	0.389483	0.060758	0.126587	0.247609	0.276358	0.165176	0.310857	0.423171	0.389483	0.060758	0.126587	
3000	1.137478	3	0.396151	0.413610	0.061541	0.128698	0.396151	0.413610	0.061541	0.128698	0.181459	0.300102	0.176109	0.342330	0.396151	0.413610	0.061541	0.128698	0.254930	0.260580	0.215683	0.268807	0.254930	0.260580	0.215683	0.268807	0.396151	0.413610	0.061541	0.128698	0.181459	0.300102	0.176109	0.342330	0.396151	0.413610	0.061541	0.128698	
4000	1.137478	2	0.394782	0.405968	0.060709	0.138542	0.394782	0.405968	0.060709	0.138542	0.204664	0.327058	0.176192	0.292086	0.394782	0.405968	0.060709	0.138542	0.204664	0.327058	0.176192	0.292086	0.204664	0.327058	0.176192	0.292086	0.394782	0.405968	0.060709	0.138542	0.204664	0.327058	0.176192	0.292086	0.394782	0.405968	0.060709	0.138542	
5000	1.137478	3	0.394782	0.405968	0.060709	0.138542	0.394782	0.405968	0.060709	0.138542	0.173947	0.330840	0.134876	0.360337	0.394782	0.405968	0.060709	0.138542	0.281791	0.241957	0.198479	0.277773	0.281791	0.241957	0.198479	0.277773	0.394782	0.405968	0.060709	0.138542	0.173947	0.330840	0.134876	0.360337	0.394782	0.405968	0.060709	0.138542	
6000	1.137478	2	0.399362	0.396236	0.055779	0.148623	0.399362	0.396236	0.055779	0.148623	0.237655	0.302314	0.181444	0.278587	0.399362	0.396236	0.055779	0.148623	0.237655	0.302314	0.181444	0.278587	0.237655	0.302314	0.181444	0.278587	0.399362	0.396236	0.055779	0.148623	0.237655	0.302314	0.181444	0.278587	0.399362	0.396236	0.055779	0.148623	
7000	1.137478	3	0.398254	0.395476	0.056188	0.150082	0.398254	0.395476	0.056188	0.150082	0.274974	0.267514	0.171396	0.286115	0.398254	0.395476	0.056188	0.150082	0.249255	0.261974	0.191973	0.296799	0.274974	0.267514	0.171396	0.286115	0.398254	0.395476	0.056188	0.150082	0.274974	0.267514	0.171396	0.286115	0.398254	0.395476	0.056188	0.150082	
8000	1.137478	3	0.398254	0.395476	0.056188	0.150082	0.398254	0.395476	0.056188	0.150082	0.208183	0.343164	0.141136	0.307518	0.398254	0.395476	0.056188	0.150082	0.269554	0.268406	0.183087	0.278953	0.269554	0.268406	0.183087	0.278953	0.398254	0.395476	0.056188	0.150082	0.208183	0.343164	0.141136	0.307518	0.398254	0.395476	0.056188	0.150082	
9000	1.137478	3	0.398254	0.395476	0.056188	0.150082	0.398254	0.395476	0.056188	0.150082	0.180395	0.378886	0.137392	0.303327	0.398254	0.395476	0.056188	0.150082	0.219938	0.324807	0.193456	0.261799	0.219938	0.324807	0.193456	0.261799	0.398254	0.395476	0.056188	0.150082	0.180395	0.378886	0.137392	0.303327	0.398254	0.395476	0.056188	0.150082	
10000	1.137478	2	0.398254	0.395476	0.056188	0.150082	0.398254	0.395476	0.056188	0.150082	0.228284	0.290859	0.183936	0.296921	0.398254	0.395476	0.056188	0.150082	0.228284	0.290859	0.183936	0.296921	0.228284	0.290859	0.183936	0.296921	0.398254	0.395476	0.056188	0.150082	0.228284	0.290859	0.183936	0.296921	0.398254	0.395476	0.056188	0.150082	
