Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
1000	0.225698	2	13.454715	13.454715	13.454715	62.370612	13.454715	13.454715	13.454715	13.454715	62.370612	
2000	2.857470	2	8.665648	8.665648	8.665648	60.813878	8.665648	8.665648	8.665648	8.665648	60.813878	
3000	0.557569	2	9.648368	9.648368	9.648368	58.101545	9.648368	9.648368	9.648368	9.648368	58.101545	
4000	0.761729	2	8.818644	8.818644	8.818644	53.047183	8.818644	8.818644	8.818644	8.818644	53.047183	
5000	1.316109	2	8.542712	8.542712	8.542712	53.600902	8.542712	8.542712	8.542712	8.542712	53.600902	
6000	0.495728	2	7.943833	7.943833	7.943833	50.726804	7.943833	7.943833	7.943833	7.943833	50.726804	
7000	0.300771	2	8.157967	8.157967	8.157967	52.492732	8.157967	8.157967	8.157967	8.157967	52.492732	
8000	0.454745	2	8.579231	8.579231	8.579231	50.985644	8.579231	8.579231	8.579231	8.579231	50.985644	
9000	1.670632	2	8.407852	8.407852	8.407852	51.903131	8.407852	8.407852	8.407852	8.407852	51.903131	
10000	0.650785	2	8.607372	8.607372	8.607372	50.665634	8.607372	8.607372	8.607372	8.607372	50.665634	
11000	0.322812	2	8.474280	8.474280	8.474280	51.435587	8.474280	8.474280	8.474280	8.474280	51.435587	
12000	0.384045	2	8.285205	8.285205	8.285205	52.311670	8.285205	8.285205	8.285205	8.285205	52.311670	
13000	1.459664	2	8.064365	8.064365	8.064365	52.038369	8.064365	8.064365	8.064365	8.064365	52.038369	
14000	1.333949	2	8.509529	8.509529	8.509529	52.585589	8.509529	8.509529	8.509529	8.509529	52.585589	
15000	0.057845	2	8.171896	8.171896	8.171896	53.679595	8.171896	8.171896	8.171896	8.171896	53.679595	
16000	0.219474	2	8.156330	8.156330	8.156330	52.366070	8.156330	8.156330	8.156330	8.156330	52.366070	
17000	0.457789	2	8.655829	8.655829	8.655829	52.100679	8.655829	8.655829	8.655829	8.655829	52.100679	
18000	1.390535	2	8.894719	8.894719	8.894719	50.884013	8.894719	8.894719	8.894719	8.894719	50.884013	
19000	2.298619	2	8.074612	8.074612	8.074612	52.310959	8.074612	8.074612	8.074612	8.074612	52.310959	
20000	0.063382	2	8.550503	8.550503	8.550503	50.822528	8.550503	8.550503	8.550503	8.550503	50.822528	
21000	1.109438	2	8.505809	8.505809	8.505809	52.202235	8.505809	8.505809	8.505809	8.505809	52.202235	
22000	0.279697	2	8.518451	8.518451	8.518451	50.885775	8.518451	8.518451	8.518451	8.518451	50.885775	
23000	0.733029	2	7.871288	7.871288	7.871288	51.786238	7.871288	7.871288	7.871288	7.871288	51.786238	
24000	0.221213	2	7.923163	7.923163	7.923163	52.445977	7.923163	7.923163	7.923163	7.923163	52.445977	
25000	0.472475	2	8.078100	8.078100	8.078100	50.284443	8.078100	8.078100	8.078100	8.078100	50.284443	
26000	1.066987	2	7.946077	7.946077	7.946077	50.283905	7.946077	7.946077	7.946077	7.946077	50.283905	
27000	0.759367	2	7.957763	7.957763	7.957763	49.850361	7.957763	7.957763	7.957763	7.957763	49.850361	
28000	0.212863	2	7.821238	7.821238	7.821238	49.936912	7.821238	7.821238	7.821238	7.821238	49.936912	
29000	1.077768	2	8.410997	8.410997	8.410997	49.361779	8.410997	8.410997	8.410997	8.410997	49.361779	
30000	0.361467	2	8.364377	8.364377	8.364377	50.929424	8.364377	8.364377	8.364377	8.364377	50.929424	
31000	0.582028	2	8.721354	8.721354	8.721354	49.980406	8.721354	8.721354	8.721354	8.721354	49.980406	
32000	0.909476	2	8.246581	8.246581	8.246581	50.921480	8.246581	8.246581	8.246581	8.246581	50.921480	
33000	0.411161	2	8.739171	8.739171	8.739171	50.989330	8.739171	8.739171	8.739171	8.739171	50.989330	
34000	0.185644	2	8.661087	8.661087	8.661087	50.870654	8.661087	8.661087	8.661087	8.661087	50.870654	
35000	0.542283	2	7.849801	7.849801	7.849801	50.640671	7.849801	7.849801	7.849801	7.849801	50.640671	
36000	0.280011	2	7.948281	7.948281	7.948281	49.345283	7.948281	7.948281	7.948281	7.948281	49.345283	
37000	0.335339	2	7.900928	7.900928	7.900928	50.167522	7.900928	7.900928	7.900928	7.900928	50.167522	
38000	0.347221	2	7.697165	7.697165	7.697165	51.444715	7.697165	7.697165	7.697165	7.697165	51.444715	
39000	1.194041	2	8.141646	8.141646	8.141646	51.680634	8.141646	8.141646	8.141646	8.141646	51.680634	
40000	1.866840	2	7.939645	7.939645	7.939645	50.673295	7.939645	7.939645	7.939645	7.939645	50.673295	
41000	0.168888	2	7.886655	7.886655	7.886655	50.979005	7.886655	7.886655	7.886655	7.886655	50.979005	
42000	1.050075	2	8.098203	8.098203	8.098203	50.798429	8.098203	8.098203	8.098203	8.098203	50.798429	
43000	1.261895	2	7.932660	7.932660	7.932660	50.957448	7.932660	7.932660	7.932660	7.932660	50.957448	
44000	0.234959	2	8.589018	8.589018	8.589018	48.747793	8.589018	8.589018	8.589018	8.589018	48.747793	
45000	0.829781	2	7.722567	7.722567	7.722567	48.793558	7.722567	7.722567	7.722567	7.722567	48.793558	
46000	0.758571	2	8.167844	8.167844	8.167844	49.831254	8.167844	8.167844	8.167844	8.167844	49.831254	
47000	0.881161	2	8.299084	8.299084	8.299084	49.892418	8.299084	8.299084	8.299084	8.299084	49.892418	
48000	0.181344	2	7.986939	7.986939	7.986939	50.692907	7.986939	7.986939	7.986939	7.986939	50.692907	
49000	0.134575	2	8.158624	8.158624	8.158624	48.947900	8.158624	8.158624	8.158624	8.158624	48.947900	
50000	0.523255	2	7.995608	7.995608	7.995608	49.489516	7.995608	7.995608	7.995608	7.995608	49.489516	
51000	0.107768	2	7.273216	7.273216	7.273216	50.206942	7.273216	7.273216	7.273216	7.273216	50.206942	
52000	0.673433	2	7.892000	7.892000	7.892000	51.497179	7.892000	7.892000	7.892000	7.892000	51.497179	
53000	0.403243	2	7.800310	7.800310	7.800310	51.279029	7.800310	7.800310	7.800310	7.800310	51.279029	
54000	0.426223	2	7.627251	7.627251	7.627251	51.070774	7.627251	7.627251	7.627251	7.627251	51.070774	
55000	0.722011	2	7.793296	7.793296	7.793296	50.142101	7.793296	7.793296	7.793296	7.793296	50.142101	
56000	1.086015	2	7.414139	7.414139	7.414139	50.501189	7.414139	7.414139	7.414139	7.414139	50.501189	
57000	0.524240	2	7.556425	7.556425	7.556425	51.265353	7.556425	7.556425	7.556425	7.556425	51.265353	
58000	0.376625	2	8.336340	8.336340	8.336340	50.754262	8.336340	8.336340	8.336340	8.336340	50.754262	
59000	1.321641	2	7.749963	7.749963	7.749963	48.884889	7.749963	7.749963	7.749963	7.749963	48.884889	
60000	4.040501	2	7.858018	7.858018	7.858018	48.249440	7.858018	7.858018	7.858018	7.858018	48.249440	
61000	0.677929	2	8.204156	8.204156	8.204156	47.970416	8.204156	8.204156	8.204156	8.204156	47.970416	
62000	1.108591	2	8.126728	8.126728	8.126728	48.732289	8.126728	8.126728	8.126728	8.126728	48.732289	
63000	2.012388	2	8.076128	8.076128	8.076128	49.159503	8.076128	8.076128	8.076128	8.076128	49.159503	
64000	4.251415	2	8.354398	8.354398	8.354398	47.014297	8.354398	8.354398	8.354398	8.354398	47.014297	
65000	0.142751	2	8.309013	8.309013	8.309013	49.621761	8.309013	8.309013	8.309013	8.309013	49.621761	
66000	0.175404	2	7.736567	7.736567	7.736567	48.492385	7.736567	7.736567	7.736567	7.736567	48.492385	
67000	1.734750	2	7.897629	7.897629	7.897629	49.821178	7.897629	7.897629	7.897629	7.897629	49.821178	
68000	0.340847	2	7.781051	7.781051	7.781051	49.795641	7.781051	7.781051	7.781051	7.781051	49.795641	
69000	2.291005	2	7.754878	7.754878	7.754878	48.839976	7.754878	7.754878	7.754878	7.754878	48.839976	
70000	0.680571	2	7.544759	7.544759	7.544759	49.161050	7.544759	7.544759	7.544759	7.544759	49.161050	
71000	1.661668	2	7.500203	7.500203	7.500203	49.485985	7.500203	7.500203	7.500203	7.500203	49.485985	
72000	0.601907	2	8.580505	8.580505	8.580505	49.320224	8.580505	8.580505	8.580505	8.580505	49.320224	
73000	0.265046	2	7.962509	7.962509	7.962509	50.324044	7.962509	7.962509	7.962509	7.962509	50.324044	
74000	1.495475	2	8.411016	8.411016	8.411016	49.151792	8.411016	8.411016	8.411016	8.411016	49.151792	
75000	1.278089	2	8.152770	8.152770	8.152770	46.506099	8.152770	8.152770	8.152770	8.152770	46.506099	
76000	0.392131	2	7.538984	7.538984	7.538984	47.817021	7.538984	7.538984	7.538984	7.538984	47.817021	
77000	0.654848	2	8.232292	8.232292	8.232292	47.650789	8.232292	8.232292	8.232292	8.232292	47.650789	
78000	0.785716	2	8.065991	8.065991	8.065991	48.745993	8.065991	8.065991	8.065991	8.065991	48.745993	
79000	1.035585	2	8.221175	8.221175	8.221175	46.934929	8.221175	8.221175	8.221175	8.221175	46.934929	
80000	0.219195	2	7.510904	7.510904	7.510904	47.811373	7.510904	7.510904	7.510904	7.510904	47.811373	
81000	0.945129	2	7.969840	7.969840	7.969840	49.923137	7.969840	7.969840	7.969840	7.969840	49.923137	
82000	0.938070	2	7.956401	7.956401	7.956401	46.133067	7.956401	7.956401	7.956401	7.956401	46.133067	
83000	0.706008	2	7.523723	7.523723	7.523723	49.006733	7.523723	7.523723	7.523723	7.523723	49.006733	
84000	0.124334	2	8.095079	8.095079	8.095079	48.603251	8.095079	8.095079	8.095079	8.095079	48.603251	
85000	0.875130	2	7.565372	7.565372	7.565372	47.177613	7.565372	7.565372	7.565372	7.565372	47.177613	
86000	0.775191	2	7.944211	7.944211	7.944211	50.905639	7.944211	7.944211	7.944211	7.944211	50.905639	
87000	0.042668	2	8.372010	8.372010	8.372010	48.645690	8.372010	8.372010	8.372010	8.372010	48.645690	
