Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	2.036337	2	0.254839	0.319256	0.211368	0.214537	0.254839	0.319256	0.211368	0.214537	0.254839	0.319256	0.211368	0.214537	0.372444	0.395330	0.082973	0.149253	0.254839	0.319256	0.211368	0.214537	0.254839	0.319256	0.211368	0.214537	0.372444	0.395330	0.082973	0.149253	0.254839	0.319256	0.211368	0.214537	0.372444	0.395330	0.082973	0.149253	
2000	1.619926	3	0.410561	0.394016	0.063584	0.131838	0.410561	0.394016	0.063584	0.131838	0.221467	0.326544	0.154330	0.297659	0.410561	0.394016	0.063584	0.131838	0.273300	0.283558	0.204434	0.238708	0.273300	0.283558	0.204434	0.238708	0.410561	0.394016	0.063584	0.131838	0.221467	0.326544	0.154330	0.297659	0.410561	0.394016	0.063584	0.131838	
3000	1.316831	5	0.377636	0.414035	0.054433	0.153895	0.427432	0.371474	0.090235	0.110858	0.164812	0.391690	0.141062	0.302437	0.377636	0.414035	0.054433	0.153895	0.199222	0.321441	0.220133	0.259204	0.417739	0.157248	0.168979	0.256034	0.427432	0.371474	0.090235	0.110858	0.164812	0.391690	0.141062	0.302437	0.377636	0.414035	0.054433	0.153895	
4000	3.738286	4	0.377636	0.414035	0.054433	0.153895	0.408558	0.385165	0.094643	0.111635	0.186668	0.440619	0.123473	0.249240	0.377636	0.414035	0.054433	0.153895	0.256829	0.258251	0.214603	0.270317	0.256829	0.258251	0.214603	0.270317	0.408558	0.385165	0.094643	0.111635	0.186668	0.440619	0.123473	0.249240	0.377636	0.414035	0.054433	0.153895	
5000	0.533209	4	0.377636	0.414035	0.054433	0.153895	0.412252	0.376398	0.091100	0.120249	0.178445	0.385772	0.124887	0.310896	0.377636	0.414035	0.054433	0.153895	0.183951	0.271944	0.260707	0.283398	0.183951	0.271944	0.260707	0.283398	0.412252	0.376398	0.091100	0.120249	0.178445	0.385772	0.124887	0.310896	0.377636	0.414035	0.054433	0.153895	
6000	2.182472	4	0.377636	0.414035	0.054433	0.153895	0.424397	0.390548	0.074772	0.110283	0.204856	0.382828	0.126273	0.286043	0.377636	0.414035	0.054433	0.153895	0.263657	0.247301	0.212481	0.276561	0.263657	0.247301	0.212481	0.276561	0.424397	0.390548	0.074772	0.110283	0.204856	0.382828	0.126273	0.286043	0.377636	0.414035	0.054433	0.153895	
7000	1.056942	4	0.377636	0.414035	0.054433	0.153895	0.417039	0.395848	0.075322	0.111791	0.190806	0.369972	0.135506	0.303716	0.377636	0.414035	0.054433	0.153895	0.312874	0.242045	0.180859	0.264222	0.312874	0.242045	0.180859	0.264222	0.417039	0.395848	0.075322	0.111791	0.190806	0.369972	0.135506	0.303716	0.377636	0.414035	0.054433	0.153895	
8000	1.320284	4	0.377636	0.414035	0.054433	0.153895	0.416485	0.389876	0.075968	0.117671	0.145230	0.381486	0.163312	0.309971	0.377636	0.414035	0.054433	0.153895	0.285833	0.254961	0.202252	0.256954	0.285833	0.254961	0.202252	0.256954	0.416485	0.389876	0.075968	0.117671	0.145230	0.381486	0.163312	0.309971	0.377636	0.414035	0.054433	0.153895	
9000	3.315297	4	0.377636	0.414035	0.054433	0.153895	0.385515	0.406624	0.081721	0.126140	0.168977	0.368155	0.125939	0.336929	0.377636	0.414035	0.054433	0.153895	0.285833	0.254961	0.202252	0.256954	0.285833	0.254961	0.202252	0.256954	0.385515	0.406624	0.081721	0.126140	0.168977	0.368155	0.125939	0.336929	0.377636	0.414035	0.054433	0.153895	
10000	3.722645	4	0.377636	0.414035	0.054433	0.153895	0.385515	0.406624	0.081721	0.126140	0.180730	0.356830	0.155278	0.307161	0.377636	0.414035	0.054433	0.153895	0.180730	0.356830	0.155278	0.307161	0.289815	0.251621	0.278302	0.180262	0.385515	0.406624	0.081721	0.126140	0.180730	0.356830	0.155278	0.307161	0.377636	0.414035	0.054433	0.153895	
