Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
1000	0.917808	2	13.037788	13.037788	13.037788	64.008150	13.037788	13.037788	13.037788	13.037788	64.008150	
2000	0.177565	2	9.256100	9.256100	9.256100	66.251371	9.256100	9.256100	9.256100	9.256100	66.251371	
3000	0.447518	2	8.676444	8.676444	8.676444	60.556156	8.676444	8.676444	8.676444	8.676444	60.556156	
4000	1.460296	2	8.756885	8.756885	8.756885	56.531217	8.756885	8.756885	8.756885	8.756885	56.531217	
5000	2.279539	2	8.525221	8.525221	8.525221	53.190075	8.525221	8.525221	8.525221	8.525221	53.190075	
6000	2.344758	2	8.274212	8.274212	8.274212	52.808139	8.274212	8.274212	8.274212	8.274212	52.808139	
7000	1.491425	2	8.584429	8.584429	8.584429	53.968164	8.584429	8.584429	8.584429	8.584429	53.968164	
8000	1.121997	2	8.231996	8.231996	8.231996	53.125519	8.231996	8.231996	8.231996	8.231996	53.125519	
9000	0.801259	2	8.129057	8.129057	8.129057	53.196203	8.129057	8.129057	8.129057	8.129057	53.196203	
10000	0.066839	2	8.267723	8.267723	8.267723	52.971200	8.267723	8.267723	8.267723	8.267723	52.971200	
11000	0.886963	2	7.541580	7.541580	7.541580	51.190902	7.541580	7.541580	7.541580	7.541580	51.190902	
12000	0.558856	2	8.364168	8.364168	8.364168	51.785670	8.364168	8.364168	8.364168	8.364168	51.785670	
13000	0.792138	2	8.259284	8.259284	8.259284	53.033949	8.259284	8.259284	8.259284	8.259284	53.033949	
14000	1.236730	2	7.740384	7.740384	7.740384	49.846026	7.740384	7.740384	7.740384	7.740384	49.846026	
15000	0.144413	2	7.954944	7.954944	7.954944	51.883244	7.954944	7.954944	7.954944	7.954944	51.883244	
16000	0.869711	2	8.404828	8.404828	8.404828	49.639906	8.404828	8.404828	8.404828	8.404828	49.639906	
17000	1.542911	2	7.933864	7.933864	7.933864	50.800995	7.933864	7.933864	7.933864	7.933864	50.800995	
18000	2.113615	2	7.891435	7.891435	7.891435	49.849239	7.891435	7.891435	7.891435	7.891435	49.849239	
19000	1.101384	2	7.963330	7.963330	7.963330	52.029740	7.963330	7.963330	7.963330	7.963330	52.029740	
20000	2.194650	2	7.588820	7.588820	7.588820	48.595754	7.588820	7.588820	7.588820	7.588820	48.595754	
21000	0.327384	2	7.932989	7.932989	7.932989	50.935608	7.932989	7.932989	7.932989	7.932989	50.935608	
22000	1.745878	2	8.354234	8.354234	8.354234	51.427839	8.354234	8.354234	8.354234	8.354234	51.427839	
23000	0.760628	2	7.443088	7.443088	7.443088	50.739269	7.443088	7.443088	7.443088	7.443088	50.739269	
24000	0.748450	2	7.006357	7.006357	7.006357	49.186399	7.006357	7.006357	7.006357	7.006357	49.186399	
25000	0.659775	2	7.896308	7.896308	7.896308	48.689276	7.896308	7.896308	7.896308	7.896308	48.689276	
26000	0.295498	2	7.760460	7.760460	7.760460	53.222401	7.760460	7.760460	7.760460	7.760460	53.222401	
27000	1.345160	2	8.179314	8.179314	8.179314	48.904036	8.179314	8.179314	8.179314	8.179314	48.904036	
28000	1.431282	2	7.659922	7.659922	7.659922	48.560004	7.659922	7.659922	7.659922	7.659922	48.560004	
29000	1.106476	2	7.889837	7.889837	7.889837	48.818043	7.889837	7.889837	7.889837	7.889837	48.818043	
30000	1.166296	2	7.590712	7.590712	7.590712	49.740556	7.590712	7.590712	7.590712	7.590712	49.740556	
31000	2.004665	2	7.312520	7.312520	7.312520	49.906535	7.312520	7.312520	7.312520	7.312520	49.906535	
32000	1.447304	2	7.961603	7.961603	7.961603	50.257244	7.961603	7.961603	7.961603	7.961603	50.257244	
33000	0.404349	2	7.872055	7.872055	7.872055	48.481435	7.872055	7.872055	7.872055	7.872055	48.481435	
34000	1.581690	2	8.145450	8.145450	8.145450	49.745084	8.145450	8.145450	8.145450	8.145450	49.745084	
35000	1.028108	2	7.920508	7.920508	7.920508	50.377920	7.920508	7.920508	7.920508	7.920508	50.377920	
36000	0.909283	2	8.206805	8.206805	8.206805	49.800332	8.206805	8.206805	8.206805	8.206805	49.800332	
37000	1.741881	2	8.296807	8.296807	8.296807	52.581934	8.296807	8.296807	8.296807	8.296807	52.581934	
38000	0.971780	2	7.536438	7.536438	7.536438	50.875371	7.536438	7.536438	7.536438	7.536438	50.875371	
39000	2.100722	2	7.879720	7.879720	7.879720	48.719066	7.879720	7.879720	7.879720	7.879720	48.719066	
40000	1.404356	2	7.981809	7.981809	7.981809	48.428737	7.981809	7.981809	7.981809	7.981809	48.428737	
41000	1.964680	2	7.705910	7.705910	7.705910	49.881582	7.705910	7.705910	7.705910	7.705910	49.881582	
42000	0.550689	2	8.618420	8.618420	8.618420	50.052252	8.618420	8.618420	8.618420	8.618420	50.052252	
43000	1.160938	2	7.892277	7.892277	7.892277	49.058614	7.892277	7.892277	7.892277	7.892277	49.058614	
44000	1.347412	2	8.049128	8.049128	8.049128	49.576288	8.049128	8.049128	8.049128	8.049128	49.576288	
45000	0.924535	2	7.623616	7.623616	7.623616	47.817887	7.623616	7.623616	7.623616	7.623616	47.817887	
46000	1.312388	2	7.821763	7.821763	7.821763	50.865329	7.821763	7.821763	7.821763	7.821763	50.865329	
47000	1.248590	2	8.010191	8.010191	8.010191	50.990977	8.010191	8.010191	8.010191	8.010191	50.990977	
48000	0.614440	2	7.589208	7.589208	7.589208	51.390894	7.589208	7.589208	7.589208	7.589208	51.390894	
49000	0.877812	2	7.474688	7.474688	7.474688	51.264824	7.474688	7.474688	7.474688	7.474688	51.264824	
50000	1.308702	2	7.969027	7.969027	7.969027	51.465436	7.969027	7.969027	7.969027	7.969027	51.465436	
51000	0.159597	2	6.992821	6.992821	6.992821	49.951969	6.992821	6.992821	6.992821	6.992821	49.951969	
52000	1.099989	2	7.566777	7.566777	7.566777	49.643001	7.566777	7.566777	7.566777	7.566777	49.643001	
53000	0.304096	2	8.239337	8.239337	8.239337	49.849938	8.239337	8.239337	8.239337	8.239337	49.849938	
54000	1.592478	2	8.206081	8.206081	8.206081	50.435714	8.206081	8.206081	8.206081	8.206081	50.435714	
55000	1.261006	2	7.978526	7.978526	7.978526	48.055931	7.978526	7.978526	7.978526	7.978526	48.055931	
56000	0.973902	2	7.556096	7.556096	7.556096	48.070334	7.556096	7.556096	7.556096	7.556096	48.070334	
57000	0.735902	2	7.678118	7.678118	7.678118	50.539198	7.678118	7.678118	7.678118	7.678118	50.539198	
58000	0.840979	2	7.749101	7.749101	7.749101	50.470673	7.749101	7.749101	7.749101	7.749101	50.470673	
59000	1.052842	2	7.893923	7.893923	7.893923	49.583787	7.893923	7.893923	7.893923	7.893923	49.583787	
60000	2.679203	2	8.630184	8.630184	8.630184	49.806304	8.630184	8.630184	8.630184	8.630184	49.806304	
61000	0.622123	2	8.158440	8.158440	8.158440	46.432258	8.158440	8.158440	8.158440	8.158440	46.432258	
62000	1.175432	2	8.404712	8.404712	8.404712	51.386499	8.404712	8.404712	8.404712	8.404712	51.386499	
63000	1.723150	2	7.435670	7.435670	7.435670	50.468897	7.435670	7.435670	7.435670	7.435670	50.468897	
64000	0.314700	2	7.408566	7.408566	7.408566	47.351704	7.408566	7.408566	7.408566	7.408566	47.351704	
65000	1.484089	2	7.688592	7.688592	7.688592	50.546851	7.688592	7.688592	7.688592	7.688592	50.546851	
66000	0.960777	2	8.421074	8.421074	8.421074	50.655769	8.421074	8.421074	8.421074	8.421074	50.655769	
67000	0.169836	2	7.842332	7.842332	7.842332	49.417690	7.842332	7.842332	7.842332	7.842332	49.417690	
68000	2.415071	2	7.846392	7.846392	7.846392	51.238712	7.846392	7.846392	7.846392	7.846392	51.238712	
69000	2.654514	2	7.622353	7.622353	7.622353	49.187586	7.622353	7.622353	7.622353	7.622353	49.187586	
70000	1.237802	2	7.887108	7.887108	7.887108	48.760963	7.887108	7.887108	7.887108	7.887108	48.760963	
71000	2.118472	2	7.417556	7.417556	7.417556	47.855086	7.417556	7.417556	7.417556	7.417556	47.855086	
72000	3.158751	2	8.018654	8.018654	8.018654	49.972461	8.018654	8.018654	8.018654	8.018654	49.972461	
73000	1.533651	2	6.853839	6.853839	6.853839	50.010416	6.853839	6.853839	6.853839	6.853839	50.010416	
74000	1.689521	2	7.960234	7.960234	7.960234	50.017154	7.960234	7.960234	7.960234	7.960234	50.017154	
75000	1.193818	2	7.554608	7.554608	7.554608	46.426752	7.554608	7.554608	7.554608	7.554608	46.426752	
76000	1.038647	2	7.823617	7.823617	7.823617	49.845372	7.823617	7.823617	7.823617	7.823617	49.845372	
77000	0.536163	2	7.870102	7.870102	7.870102	46.509618	7.870102	7.870102	7.870102	7.870102	46.509618	
78000	0.923408	2	8.058682	8.058682	8.058682	50.485104	8.058682	8.058682	8.058682	8.058682	50.485104	
79000	1.551258	2	7.564785	7.564785	7.564785	51.508562	7.564785	7.564785	7.564785	7.564785	51.508562	
80000	1.767493	2	7.674180	7.674180	7.674180	50.256503	7.674180	7.674180	7.674180	7.674180	50.256503	
81000	0.663263	2	8.151659	8.151659	8.151659	50.420659	8.151659	8.151659	8.151659	8.151659	50.420659	
82000	1.356518	2	8.584518	8.584518	8.584518	49.774476	8.584518	8.584518	8.584518	8.584518	49.774476	
83000	1.156610	2	7.956521	7.956521	7.956521	49.847148	7.956521	7.956521	7.956521	7.956521	49.847148	
84000	0.684917	2	7.807985	7.807985	7.807985	51.129888	7.807985	7.807985	7.807985	7.807985	51.129888	
85000	0.384660	2	7.523829	7.523829	7.523829	48.673780	7.523829	7.523829	7.523829	7.523829	48.673780	
86000	0.946008	2	7.506064	7.506064	7.506064	47.301596	7.506064	7.506064	7.506064	7.506064	47.301596	
87000	0.370579	2	8.035060	8.035060	8.035060	47.396879	8.035060	8.035060	8.035060	8.035060	47.396879	
88000	1.641321	2	7.115726	7.115726	7.115726	49.340648	7.115726	7.115726	7.115726	7.115726	49.340648	
89000	0.705835	2	7.586468	7.586468	7.586468	49.430148	7.586468	7.586468	7.586468	7.586468	49.430148	
90000	1.745732	2	7.139014	7.139014	7.139014	50.128437	7.139014	7.139014	7.139014	7.139014	50.128437	
91000	1.774938	2	7.544632	7.544632	7.544632	49.289206	7.544632	7.544632	7.544632	7.544632	49.289206	
92000	0.205762	2	7.863676	7.863676	7.863676	49.660201	7.863676	7.863676	7.863676	7.863676	49.660201	
93000	1.200967	2	7.923315	7.923315	7.923315	49.516508	7.923315	7.923315	7.923315	7.923315	49.516508	
94000	0.297358	2	8.039902	8.039902	8.039902	52.213595	8.039902	8.039902	8.039902	8.039902	52.213595	
95000	0.484306	2	8.160974	8.160974	8.160974	50.772884	8.160974	8.160974	8.160974	8.160974	50.772884	
96000	0.239399	2	8.016667	8.016667	8.016667	50.049689	8.016667	8.016667	8.016667	8.016667	50.049689	
97000	1.274507	2	8.068792	8.068792	8.068792	50.639544	8.068792	8.068792	8.068792	8.068792	50.639544	
98000	2.271258	2	7.938166	7.938166	7.938166	50.618663	7.938166	7.938166	7.938166	7.938166	50.618663	
99000	0.576442	2	7.983241	7.983241	7.983241	49.440482	7.983241	7.983241	7.983241	7.983241	49.440482	
100000	2.512620	2	8.032190	8.032190	8.032190	51.713718	8.032190	8.032190	8.032190	8.032190	51.713718	
101000	1.048027	2	7.812738	7.812738	7.812738	52.313856	7.812738	7.812738	7.812738	7.812738	52.313856	
