Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
1000	2.210750	3	0.218549	0.367563	0.141193	0.272695	0.317214	0.456353	0.069218	0.157215	0.218549	0.367563	0.141193	0.272695	0.317214	0.456353	0.069218	0.157215	0.210903	0.353346	0.282534	0.153217	0.218549	0.367563	0.141193	0.272695	0.317214	0.456353	0.069218	0.157215	0.218549	0.367563	0.141193	0.272695	0.317214	0.456353	0.069218	0.157215	
2000	2.008719	2	0.382816	0.421552	0.057302	0.138329	0.382816	0.421552	0.057302	0.138329	0.242232	0.255540	0.171863	0.330365	0.382816	0.421552	0.057302	0.138329	0.242232	0.255540	0.171863	0.330365	0.242232	0.255540	0.171863	0.330365	0.382816	0.421552	0.057302	0.138329	0.242232	0.255540	0.171863	0.330365	0.382816	0.421552	0.057302	0.138329	
3000	0.840587	3	0.382816	0.421552	0.057302	0.138329	0.382816	0.421552	0.057302	0.138329	0.162626	0.392850	0.166156	0.278368	0.382816	0.421552	0.057302	0.138329	0.279057	0.339523	0.192441	0.188979	0.279057	0.339523	0.192441	0.188979	0.382816	0.421552	0.057302	0.138329	0.162626	0.392850	0.166156	0.278368	0.382816	0.421552	0.057302	0.138329	
4000	2.447447	3	0.387275	0.419251	0.055726	0.137747	0.387275	0.419251	0.055726	0.137747	0.143023	0.265590	0.084317	0.507070	0.387275	0.419251	0.055726	0.137747	0.262159	0.267651	0.160372	0.309819	0.262159	0.267651	0.160372	0.309819	0.387275	0.419251	0.055726	0.137747	0.262159	0.267651	0.160372	0.309819	0.387275	0.419251	0.055726	0.137747	
5000	4.348581	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.294134	0.250349	0.159443	0.296074	0.386996	0.410565	0.056831	0.145608	0.294134	0.250349	0.159443	0.296074	0.294134	0.250349	0.159443	0.296074	0.386996	0.410565	0.056831	0.145608	0.294134	0.250349	0.159443	0.296074	0.386996	0.410565	0.056831	0.145608	
6000	4.064923	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.254956	0.265490	0.187361	0.292193	0.386996	0.410565	0.056831	0.145608	0.254956	0.265490	0.187361	0.292193	0.254956	0.265490	0.187361	0.292193	0.386996	0.410565	0.056831	0.145608	0.254956	0.265490	0.187361	0.292193	0.386996	0.410565	0.056831	0.145608	
7000	1.842027	3	0.305223	0.366773	0.091095	0.236909	0.386996	0.410565	0.056831	0.145608	0.305223	0.366773	0.091095	0.236909	0.386996	0.410565	0.056831	0.145608	0.270118	0.265495	0.195560	0.268827	0.270118	0.265495	0.195560	0.268827	0.386996	0.410565	0.056831	0.145608	0.270118	0.265495	0.195560	0.268827	0.386996	0.410565	0.056831	0.145608	
8000	3.693629	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.274717	0.248128	0.198540	0.278615	0.386996	0.410565	0.056831	0.145608	0.274717	0.248128	0.198540	0.278615	0.274717	0.248128	0.198540	0.278615	0.386996	0.410565	0.056831	0.145608	0.274717	0.248128	0.198540	0.278615	0.386996	0.410565	0.056831	0.145608	
9000	3.938159	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.277246	0.254573	0.185619	0.282562	0.386996	0.410565	0.056831	0.145608	0.277246	0.254573	0.185619	0.282562	0.277246	0.254573	0.185619	0.282562	0.386996	0.410565	0.056831	0.145608	0.277246	0.254573	0.185619	0.282562	0.386996	0.410565	0.056831	0.145608	
10000	2.228994	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.272664	0.263098	0.179470	0.284767	0.386996	0.410565	0.056831	0.145608	0.272664	0.263098	0.179470	0.284767	0.272664	0.263098	0.179470	0.284767	0.386996	0.410565	0.056831	0.145608	0.272664	0.263098	0.179470	0.284767	0.386996	0.410565	0.056831	0.145608	
11000	1.849088	2	0.386996	0.410565	0.056831	0.145608	0.386996	0.410565	0.056831	0.145608	0.272688	0.261521	0.172661	0.293130	0.386996	0.410565	0.056831	0.145608	0.272688	0.261521	0.172661	0.293130	0.272688	0.261521	0.172661	0.293130	0.386996	0.410565	0.056831	0.145608	0.272688	0.261521	0.172661	0.293130	0.386996	0.410565	0.056831	0.145608	
12000	1.365941	2	0.385180	0.401817	0.060488	0.152515	0.385180	0.401817	0.060488	0.152515	0.272688	0.261521	0.172661	0.293130	0.385180	0.401817	0.060488	0.152515	0.272688	0.261521	0.172661	0.293130	0.272688	0.261521	0.172661	0.293130	0.385180	0.401817	0.060488	0.152515	0.272688	0.261521	0.172661	0.293130	0.385180	0.401817	0.060488	0.152515	
13000	3.140299	3	0.391100	0.396366	0.061978	0.150557	0.391100	0.396366	0.061978	0.150557	0.256946	0.271083	0.180780	0.291190	0.391100	0.396366	0.061978	0.150557	0.204305	0.271682	0.259305	0.264708	0.256946	0.271083	0.180780	0.291190	0.391100	0.396366	0.061978	0.150557	0.204305	0.271682	0.259305	0.264708	0.391100	0.396366	0.061978	0.150557	
14000	2.636192	2	0.391100	0.396366	0.061978	0.150557	0.391100	0.396366	0.061978	0.150557	0.262455	0.261534	0.179420	0.296592	0.391100	0.396366	0.061978	0.150557	0.262455	0.261534	0.179420	0.296592	0.262455	0.261534	0.179420	0.296592	0.391100	0.396366	0.061978	0.150557	0.262455	0.261534	0.179420	0.296592	0.391100	0.396366	0.061978	0.150557	
15000	1.806941	2	0.391100	0.396366	0.061978	0.150557	0.391100	0.396366	0.061978	0.150557	0.239783	0.297529	0.179407	0.283282	0.391100	0.396366	0.061978	0.150557	0.239783	0.297529	0.179407	0.283282	0.239783	0.297529	0.179407	0.283282	0.391100	0.396366	0.061978	0.150557	0.239783	0.297529	0.179407	0.283282	0.391100	0.396366	0.061978	0.150557	
