Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	4.763782	5	0.233219	0.325201	0.234407	1.245053	0.325201	0.325201	0.233219	0.184813	1.245053	
2000	6.025526	4	0.232782	0.232782	0.232782	1.938984	0.481046	0.481046	0.232782	0.232782	1.806788	
3000	4.058564	4	0.242509	0.242509	0.242509	1.814053	0.501765	0.501765	0.242509	0.216331	1.814053	
4000	3.617867	3	0.241204	0.241204	0.241204	2.097502	0.494452	0.494452	0.241204	0.241204	2.097502	
5000	3.989090	3	0.251082	0.251082	0.251082	2.488972	0.404600	0.404600	0.251082	0.251082	2.488972	
6000	4.826619	3	0.248742	0.248742	0.248742	2.325199	0.435856	0.435856	0.248742	0.248742	2.325199	
7000	7.418633	5	0.277152	0.247952	0.277152	2.273301	0.554300	0.554300	0.247952	0.229413	2.273301	
8000	5.239618	3	0.270986	0.270986	0.270986	2.384387	0.386242	0.386242	0.270986	0.270986	2.384387	
9000	3.922770	3	0.266767	0.266767	0.266767	3.390876	0.464724	0.464724	0.266767	0.266767	3.390876	
10000	5.219940	3	0.258257	0.258257	0.258257	2.528092	0.586838	0.586838	0.258257	0.258257	2.528092	
11000	6.964507	4	0.263351	0.258446	0.263351	2.621737	0.454034	0.454034	0.258446	0.263351	2.621737	
12000	10.948430	7	0.283933	0.237752	0.258473	2.556485	0.472534	0.472534	0.247174	0.237752	2.527570	
13000	4.901474	5	0.259811	0.263151	0.259811	2.590346	0.566202	0.566202	0.259811	0.143805	2.590346	
14000	7.564032	7	0.305261	0.267126	0.229678	2.988933	0.424173	0.537460	0.267126	0.229678	2.314215	
15000	5.376435	3	0.254238	0.254238	0.254238	2.601058	0.436692	0.436692	0.254238	0.254238	2.601058	
16000	6.229428	4	0.256533	0.256533	0.256533	2.294523	0.506740	0.506740	0.256533	0.202754	2.294523	
17000	6.054301	3	0.249295	0.249295	0.249295	3.021740	0.514638	0.514638	0.249295	0.249295	3.021740	
18000	6.561088	3	0.256248	0.256248	0.256248	2.315846	0.536892	0.536892	0.256248	0.256248	2.315846	
