Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
1000	7.312800	4	0.259692	0.362922	0.259692	1.832593	0.362922	0.362922	0.267604	0.259692	1.832593	
2000	8.911779	5	0.283898	0.291660	0.252533	1.459727	0.479376	0.479376	0.252533	0.252533	1.459727	
3000	10.590747	5	0.258282	0.293809	0.258282	2.053296	0.471179	0.471179	0.258282	0.168178	2.053296	
4000	9.576477	5	0.282975	0.282975	0.272002	2.362646	0.482447	0.482447	0.282975	0.247858	2.362646	
5000	9.760409	5	0.267107	0.298456	0.267107	2.066022	0.330801	0.801837	0.267107	0.267107	2.066022	
6000	6.370866	4	0.271941	0.285504	0.285504	2.083747	0.473385	0.473385	0.285504	0.271941	2.083747	
7000	7.892779	4	0.278561	0.274984	0.274984	1.984086	0.540716	0.540716	0.274984	0.274984	1.984086	
8000	9.812584	4	0.252296	0.252296	0.252296	2.207289	0.526961	0.526961	0.262447	0.252296	2.207289	
9000	8.451034	4	0.263756	0.263756	0.263756	2.818212	0.434473	0.470292	0.263756	0.263756	2.818212	
10000	6.477582	3	0.256736	0.256736	0.256736	2.370435	0.401765	0.401765	0.256736	0.256736	2.370435	
11000	10.575107	5	0.267469	0.270727	0.267469	2.826830	0.516042	0.547321	0.267469	0.267469	2.826830	
12000	8.290660	4	0.282949	0.282949	0.282949	2.436392	0.311154	0.311154	0.282949	0.262076	2.436392	
13000	8.785240	4	0.295411	0.295411	0.267956	3.086260	0.478420	0.478420	0.267956	0.267956	3.086260	
14000	6.542326	6	0.283602	0.283602	0.265387	2.539699	0.471732	0.471732	0.283602	0.143865	2.884758	
15000	8.120375	2	0.309637	0.309637	0.309637	2.253181	0.309637	0.309637	0.309637	0.309637	2.253181	
16000	7.024855	4	0.271551	0.271551	0.271551	2.472812	0.503745	0.503745	0.271551	0.200430	2.472812	
17000	7.950939	5	0.236050	0.282938	0.282938	2.105176	0.538228	0.553048	0.282938	0.236050	2.105176	
18000	8.113936	5	0.272691	0.272691	0.272691	2.484597	0.403524	0.527288	0.272691	0.210197	2.484597	
