parameter,E(K),tRNA ,ND2pos1,ND2pos2,ND2pos3,AK1,bfib,ND4pos1,ND4pos2,ND4pos3,HPD
ASRV,1.2,1,1,1,2,3,3,1,1,2,27
ASRV,2.0,1,1,1,2,3,3,1,1,2,27
ASRV,4.0,1,1,1,2,3,3,1,1,2,27
ASRV,6.0,1,1,1,2,3,3,1,1,2,27
ASRV,8.0,1,1,1,2,3,3,1,1,2,27
ASRV,8.8,1,1,1,2,3,3,1,1,2,27
Base frequencies,1.2,1,2,3,2,3,3,2,3,2,8
Base frequencies,2.0,1,2,3,2,3,3,2,3,2,9
Base frequencies,4.0,1,2,3,2,3,3,2,3,2,8
Base frequencies,6.0,1,2,3,2,3,3,2,3,2,9
Base frequencies,8.0,1,2,3,2,3,3,2,3,2,9
Base frequencies,8.8,1,2,3,2,3,3,2,3,2,8
Substitution rates,1.2,1,1,2,1,3,3,1,3,1,1
Substitution rates,2.0,1,1,1,1,2,2,1,3,1,1
Substitution rates,4.0,1,1,2,1,3,3,1,3,1,1
Substitution rates,6.0,1,1,2,1,3,3,1,2,1,1
Substitution rates,8.0,1,1,1,1,2,2,1,3,1,1
Substitution rates,8.8,1,1,1,1,2,2,1,3,1,1
Tree length,1.2,1,1,1,2,1,1,1,1,2,1
Tree length,2.0,1,1,1,2,1,1,1,1,2,1
Tree length,4.0,1,1,1,2,1,1,1,1,2,1
Tree length,6.0,1,1,1,2,1,1,1,1,2,1
Tree length,8.0,1,1,1,2,1,1,1,1,2,1
Tree length,8.8,1,1,1,2,1,1,1,1,2,1
