Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
1000	0.085832	5	0.255394	0.864366	0.255394	0.117736	0.190500	0.190500	1.115191	
2000	0.085832	3	0.265833	1.144065	0.265833	0.149391	0.265833	0.149391	1.144065	
3000	0.085832	3	0.260054	1.405851	0.260054	0.135046	0.260054	0.135046	1.405851	
4000	0.085832	3	0.230116	1.427608	0.230116	0.136840	0.230116	0.136840	1.427608	
5000	0.085832	4	0.254780	2.006907	0.254780	0.166283	0.166283	0.166283	1.439689	
6000	0.085832	3	0.304131	1.417251	0.304131	0.154201	0.154201	0.154201	1.417251	
7000	0.085832	3	0.274193	1.510782	0.274193	0.155818	0.155818	0.155818	1.510782	
8000	0.085832	2	0.223716	1.472681	0.223716	0.223716	0.223716	0.223716	1.472681	
9000	0.085832	3	0.269416	1.654557	0.269416	0.149158	0.149158	0.149158	1.654557	
10000	0.085832	3	0.276223	1.815626	0.276223	0.154927	0.154927	0.154927	1.815626	
11000	0.085832	3	0.274703	1.624173	0.274703	0.165181	0.165181	0.165181	1.624173	
12000	0.085832	3	0.254938	1.578085	0.254938	0.160981	0.160981	0.160981	1.578085	
13000	0.085832	4	0.257036	1.776979	0.300133	0.144421	0.144421	0.144421	1.776979	
14000	0.085832	3	0.255698	1.344314	0.255698	0.150415	0.150415	0.150415	1.344314	
15000	0.085832	3	0.291155	1.657247	0.291155	0.147361	0.147361	0.147361	1.657247	
16000	0.085832	3	0.281886	1.612034	0.281886	0.148906	0.148906	0.148906	1.612034	
17000	0.085832	3	0.299044	1.330613	0.299044	0.157892	0.157892	0.157892	1.330613	
18000	0.085832	3	0.265499	1.474761	0.265499	0.174885	0.174885	0.174885	1.474761	
19000	0.085832	3	0.244871	1.513925	0.244871	0.147487	0.147487	0.147487	1.513925	
20000	0.085832	4	0.267098	1.158510	0.267098	0.138128	0.162974	0.162974	1.158510	
21000	0.085832	3	0.259348	1.730274	0.259348	0.130313	0.259348	0.130313	1.730274	
22000	0.085832	3	0.275269	1.498966	0.275269	0.165630	0.165630	0.165630	1.498966	
23000	0.085832	3	0.287312	1.378172	0.287312	0.140143	0.140143	0.140143	1.378172	
24000	0.085832	3	0.261995	1.372375	0.261995	0.156094	0.156094	0.156094	1.372375	
25000	0.085832	3	0.289233	1.498764	0.289233	0.145989	0.145989	0.145989	1.498764	
26000	0.085832	3	0.268978	1.753184	0.268978	0.151823	0.151823	0.151823	1.753184	
27000	0.085832	4	0.285278	1.608574	0.285278	0.148884	0.189687	0.189687	1.608574	
28000	0.085832	3	0.266797	1.387186	0.266797	0.151070	0.151070	0.151070	1.387186	
29000	0.085832	3	0.284772	1.701165	0.284772	0.163059	0.163059	0.163059	1.701165	
30000	0.085832	3	0.283517	1.285235	0.283517	0.165658	0.165658	0.165658	1.285235	
31000	0.085832	3	0.281167	1.363718	0.281167	0.155462	0.155462	0.155462	1.363718	
32000	0.085832	3	0.301816	1.751282	0.301816	0.157010	0.157010	0.157010	1.751282	
33000	0.085832	3	0.272658	1.935693	0.272658	0.159939	0.159939	0.159939	1.935693	
34000	0.085832	3	0.255792	1.452051	0.255792	0.146449	0.146449	0.146449	1.452051	
35000	0.085832	3	0.265513	1.395455	0.265513	0.157347	0.157347	0.157347	1.395455	
36000	0.085832	3	0.279542	1.957784	0.279542	0.176723	0.176723	0.176723	1.957784	
37000	0.085832	3	0.265957	1.366247	0.265957	0.146404	0.146404	0.146404	1.366247	
38000	0.085832	3	0.278404	1.592480	0.278404	0.148634	0.148634	0.148634	1.592480	
39000	0.085832	3	0.263807	1.690436	0.263807	0.158050	0.158050	0.158050	1.690436	
40000	0.085832	3	0.279587	1.349620	0.279587	0.155442	0.155442	0.155442	1.349620	
41000	0.085832	4	0.290586	1.528752	0.290586	0.142464	0.174948	0.142464	1.528752	
42000	0.085832	4	0.250724	1.540667	0.345080	0.158214	0.158214	0.158214	1.540667	
43000	0.085832	3	0.249719	1.743440	0.249719	0.180111	0.180111	0.180111	1.743440	
44000	0.085832	3	0.261013	1.669343	0.261013	0.151738	0.151738	0.151738	1.669343	
45000	0.085832	4	0.252023	1.490070	0.259561	0.135569	0.135569	0.135569	1.490070	
46000	0.085832	3	0.273205	1.204393	0.273205	0.156451	0.156451	0.156451	1.204393	
47000	0.085832	3	0.257150	1.665981	0.257150	0.154155	0.154155	0.154155	1.665981	
48000	0.085832	3	0.262906	1.578615	0.262906	0.139842	0.139842	0.139842	1.578615	
49000	0.085832	3	0.263608	1.376045	0.263608	0.147254	0.147254	0.147254	1.376045	
50000	0.085832	3	0.255173	1.518381	0.255173	0.146368	0.146368	0.146368	1.518381	
51000	0.085832	3	0.269027	1.327684	0.269027	0.157195	0.157195	0.157195	1.327684	
52000	0.085832	3	0.275963	1.550785	0.275963	0.153918	0.153918	0.153918	1.550785	
53000	0.085832	3	0.247149	1.610340	0.247149	0.150522	0.150522	0.150522	1.610340	
54000	0.085832	3	0.278882	1.699823	0.278882	0.148883	0.148883	0.148883	1.699823	
55000	0.085832	3	0.276908	1.658287	0.276908	0.158456	0.158456	0.158456	1.658287	
56000	0.085832	3	0.270528	1.774211	0.270528	0.180966	0.180966	0.180966	1.774211	
57000	0.085832	3	0.250285	1.591508	0.250285	0.137194	0.250285	0.137194	1.591508	
58000	0.085832	4	0.245830	1.610374	0.245830	0.128028	0.187149	0.187149	1.610374	
59000	0.085832	3	0.265812	1.748122	0.265812	0.145141	0.145141	0.145141	1.748122	
60000	0.085832	3	0.265769	1.581742	0.265769	0.173024	0.173024	0.173024	1.581742	
61000	0.085832	3	0.281264	1.590270	0.281264	0.154967	0.154967	0.154967	1.590270	
62000	0.085832	4	0.259976	1.659669	0.259976	0.132633	0.147200	0.132633	1.659669	
63000	0.085832	4	0.268522	1.389301	0.268522	0.132582	0.150525	0.132582	1.389301	
64000	0.085832	3	0.264019	1.444538	0.264019	0.149605	0.149605	0.149605	1.444538	
65000	0.085832	3	0.280424	1.227840	0.280424	0.148866	0.148866	0.148866	1.227840	
66000	0.085832	3	0.245245	1.526427	0.245245	0.145284	0.145284	0.145284	1.526427	
67000	0.085832	3	0.253513	1.315758	0.253513	0.147379	0.147379	0.147379	1.315758	
68000	0.085832	3	0.254151	1.467660	0.254151	0.140851	0.140851	0.140851	1.467660	
69000	0.085832	3	0.257901	1.342248	0.257901	0.148940	0.148940	0.148940	1.342248	
70000	0.085832	3	0.269528	1.406731	0.269528	0.148455	0.148455	0.148455	1.406731	
71000	0.085832	3	0.256161	1.782922	0.256161	0.148924	0.256161	0.148924	1.782922	
72000	0.085832	3	0.278710	1.464479	0.278710	0.133875	0.278710	0.133875	1.464479	
73000	0.085832	3	0.262537	1.505497	0.262537	0.141468	0.141468	0.141468	1.505497	
74000	0.085832	3	0.252206	1.447144	0.252206	0.170551	0.252206	0.170551	1.447144	
75000	0.085832	3	0.266136	1.457847	0.266136	0.152916	0.152916	0.152916	1.457847	
76000	0.085832	3	0.263652	1.583099	0.263652	0.156693	0.156693	0.156693	1.583099	
77000	0.085832	3	0.268019	1.598942	0.268019	0.150019	0.150019	0.150019	1.598942	
78000	0.085832	3	0.238767	1.259188	0.238767	0.154813	0.154813	0.154813	1.259188	
79000	0.085832	3	0.214340	1.584916	0.214340	0.186191	0.186191	0.214340	1.584916	
80000	0.085832	3	0.263771	1.386352	0.263771	0.162840	0.162840	0.162840	1.386352	
81000	0.085832	3	0.242636	1.479174	0.242636	0.153902	0.153902	0.153902	1.479174	
82000	0.085832	3	0.251221	1.488583	0.251221	0.146471	0.146471	0.146471	1.488583	
83000	0.085832	3	0.274293	1.486277	0.274293	0.165317	0.165317	0.165317	1.486277	
84000	0.085832	3	0.246678	1.651748	0.246678	0.156855	0.156855	0.156855	1.651748	
85000	0.085832	4	0.261207	1.590595	0.261207	0.143423	0.192730	0.143423	1.590595	
86000	0.085832	3	0.236313	1.277621	0.236313	0.142776	0.142776	0.142776	1.277621	
87000	0.085832	3	0.266849	1.392630	0.266849	0.165015	0.165015	0.165015	1.392630	
88000	0.085832	3	0.266331	1.311910	0.266331	0.151224	0.151224	0.151224	1.311910	
89000	0.085832	3	0.265264	1.348659	0.265264	0.163627	0.163627	0.163627	1.348659	
90000	0.085832	3	0.270719	1.275302	0.270719	0.148466	0.148466	0.148466	1.275302	
91000	0.085832	3	0.265851	1.417462	0.265851	0.155504	0.155504	0.155504	1.417462	
92000	0.085832	3	0.253988	1.512027	0.253988	0.148475	0.148475	0.148475	1.512027	
93000	0.085832	3	0.262165	1.243199	0.262165	0.153950	0.153950	0.153950	1.243199	
94000	0.085832	4	0.254620	1.585541	0.254620	0.128618	0.169181	0.169181	1.585541	
95000	0.085832	3	0.279948	1.415194	0.279948	0.182469	0.182469	0.182469	1.415194	
96000	0.085832	3	0.273896	1.706493	0.273896	0.161964	0.161964	0.161964	1.706493	
97000	0.085832	3	0.260139	1.425740	0.260139	0.151884	0.151884	0.151884	1.425740	
98000	0.085832	3	0.284329	1.343221	0.284329	0.149604	0.149604	0.149604	1.343221	
99000	0.085832	3	0.245479	1.420880	0.245479	0.149457	0.149457	0.149457	1.420880	
100000	0.085832	3	0.266893	1.453331	0.266893	0.152248	0.152248	0.152248	1.453331	
101000	0.085832	4	0.246996	1.250463	0.340809	0.162119	0.162119	0.162119	1.250463	
102000	0.085832	3	0.272273	1.096672	0.272273	0.149777	0.149777	0.149777	1.096672	
103000	0.085832	3	0.250136	1.562661	0.250136	0.163635	0.163635	0.163635	1.562661	
104000	0.085832	3	0.296284	1.523272	0.296284	0.169573	0.169573	0.169573	1.523272	
105000	0.085832	3	0.258099	1.537274	0.258099	0.148845	0.148845	0.148845	1.537274	
106000	0.085832	3	0.262047	1.344137	0.262047	0.156191	0.156191	0.156191	1.344137	
107000	0.085832	3	0.260054	1.738109	0.260054	0.152428	0.152428	0.152428	1.738109	
108000	0.085832	3	0.304792	1.576496	0.304792	0.152149	0.152149	0.152149	1.576496	
109000	0.085832	3	0.269949	1.541675	0.269949	0.167761	0.167761	0.167761	1.541675	
110000	0.085832	3	0.252860	1.329477	0.252860	0.150494	0.150494	0.150494	1.329477	
111000	0.085832	3	0.264849	1.376496	0.264849	0.155614	0.155614	0.155614	1.376496	
112000	0.085832	3	0.263979	1.236840	0.263979	0.150695	0.150695	0.150695	1.236840	
113000	0.085832	3	0.258769	1.334510	0.258769	0.161169	0.161169	0.161169	1.334510	
114000	0.085832	3	0.268277	1.358227	0.268277	0.165204	0.165204	0.165204	1.358227	
