Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
1000	0.085832	2	0.354969	0.289861	0.133572	0.221597	0.354969	0.289861	0.133572	0.221597	0.211217	0.253139	0.256026	0.279617	0.211217	0.253139	0.256026	0.279617	0.211217	0.253139	0.256026	0.279617	0.354969	0.289861	0.133572	0.221597	0.211217	0.253139	0.256026	0.279617	
2000	0.085832	2	0.333798	0.295549	0.126615	0.244038	0.333798	0.295549	0.126615	0.244038	0.199264	0.274058	0.278039	0.248639	0.199264	0.274058	0.278039	0.248639	0.199264	0.274058	0.278039	0.248639	0.333798	0.295549	0.126615	0.244038	0.199264	0.274058	0.278039	0.248639	
3000	0.085832	3	0.341037	0.292136	0.121935	0.244892	0.341037	0.292136	0.121935	0.244892	0.182879	0.269938	0.282601	0.264582	0.182879	0.269938	0.282601	0.264582	0.194447	0.255263	0.286088	0.264201	0.341037	0.292136	0.121935	0.244892	0.194447	0.255263	0.286088	0.264201	
4000	0.085832	3	0.333165	0.285293	0.130880	0.250662	0.333165	0.285293	0.130880	0.250662	0.165801	0.275700	0.271460	0.287039	0.165801	0.275700	0.271460	0.287039	0.205616	0.210897	0.312356	0.271131	0.333165	0.285293	0.130880	0.250662	0.165801	0.275700	0.271460	0.287039	
5000	0.085832	2	0.346690	0.271507	0.126565	0.255238	0.346690	0.271507	0.126565	0.255238	0.180746	0.299047	0.257440	0.262767	0.180746	0.299047	0.257440	0.262767	0.180746	0.299047	0.257440	0.262767	0.346690	0.271507	0.126565	0.255238	0.180746	0.299047	0.257440	0.262767	
6000	0.085832	2	0.332860	0.293929	0.119709	0.253501	0.332860	0.293929	0.119709	0.253501	0.212096	0.264551	0.268226	0.255127	0.212096	0.264551	0.268226	0.255127	0.212096	0.264551	0.268226	0.255127	0.332860	0.293929	0.119709	0.253501	0.212096	0.264551	0.268226	0.255127	
7000	0.085832	2	0.330960	0.285353	0.119148	0.264539	0.330960	0.285353	0.119148	0.264539	0.191465	0.242839	0.288591	0.277104	0.191465	0.242839	0.288591	0.277104	0.191465	0.242839	0.288591	0.277104	0.330960	0.285353	0.119148	0.264539	0.191465	0.242839	0.288591	0.277104	
8000	0.085832	2	0.330960	0.285353	0.119148	0.264539	0.330960	0.285353	0.119148	0.264539	0.197094	0.263914	0.253813	0.285179	0.197094	0.263914	0.253813	0.285179	0.197094	0.263914	0.253813	0.285179	0.330960	0.285353	0.119148	0.264539	0.197094	0.263914	0.253813	0.285179	
9000	0.085832	2	0.330960	0.285353	0.119148	0.264539	0.330960	0.285353	0.119148	0.264539	0.195976	0.272718	0.271708	0.259598	0.195976	0.272718	0.271708	0.259598	0.195976	0.272718	0.271708	0.259598	0.330960	0.285353	0.119148	0.264539	0.195976	0.272718	0.271708	0.259598	
10000	0.085832	3	0.317040	0.282789	0.128332	0.271839	0.317040	0.282789	0.128332	0.271839	0.187677	0.261076	0.315215	0.236032	0.135041	0.261445	0.281486	0.322027	0.187677	0.261076	0.315215	0.236032	0.317040	0.282789	0.128332	0.271839	0.187677	0.261076	0.315215	0.236032	
11000	0.085832	2	0.325169	0.290724	0.123228	0.260878	0.325169	0.290724	0.123228	0.260878	0.197379	0.274486	0.277028	0.251108	0.197379	0.274486	0.277028	0.251108	0.197379	0.274486	0.277028	0.251108	0.325169	0.290724	0.123228	0.260878	0.197379	0.274486	0.277028	0.251108	
12000	0.085832	3	0.321200	0.306721	0.113218	0.258861	0.321200	0.306721	0.113218	0.258861	0.203151	0.262220	0.256631	0.277998	0.203727	0.277403	0.190746	0.328124	0.203151	0.262220	0.256631	0.277998	0.321200	0.306721	0.113218	0.258861	0.203151	0.262220	0.256631	0.277998	
13000	0.085832	2	0.312664	0.299758	0.117650	0.269928	0.312664	0.299758	0.117650	0.269928	0.185739	0.255422	0.277087	0.281751	0.185739	0.255422	0.277087	0.281751	0.185739	0.255422	0.277087	0.281751	0.312664	0.299758	0.117650	0.269928	0.185739	0.255422	0.277087	0.281751	
14000	0.085832	2	0.312664	0.299758	0.117650	0.269928	0.312664	0.299758	0.117650	0.269928	0.201355	0.240921	0.273277	0.284447	0.201355	0.240921	0.273277	0.284447	0.201355	0.240921	0.273277	0.284447	0.312664	0.299758	0.117650	0.269928	0.201355	0.240921	0.273277	0.284447	
15000	0.085832	2	0.325337	0.291176	0.112540	0.270947	0.325337	0.291176	0.112540	0.270947	0.196178	0.265327	0.272340	0.266155	0.196178	0.265327	0.272340	0.266155	0.196178	0.265327	0.272340	0.266155	0.325337	0.291176	0.112540	0.270947	0.196178	0.265327	0.272340	0.266155	
16000	0.085832	2	0.325337	0.291176	0.112540	0.270947	0.325337	0.291176	0.112540	0.270947	0.200936	0.271574	0.243725	0.283765	0.200936	0.271574	0.243725	0.283765	0.200936	0.271574	0.243725	0.283765	0.325337	0.291176	0.112540	0.270947	0.200936	0.271574	0.243725	0.283765	
17000	0.085832	2	0.325337	0.291176	0.112540	0.270947	0.325337	0.291176	0.112540	0.270947	0.216553	0.249563	0.270667	0.263217	0.216553	0.249563	0.270667	0.263217	0.216553	0.249563	0.270667	0.263217	0.325337	0.291176	0.112540	0.270947	0.216553	0.249563	0.270667	0.263217	
18000	0.085832	3	0.328953	0.285221	0.112829	0.272997	0.328953	0.285221	0.112829	0.272997	0.181257	0.252675	0.303505	0.262564	0.202066	0.301347	0.219570	0.277016	0.181257	0.252675	0.303505	0.262564	0.328953	0.285221	0.112829	0.272997	0.181257	0.252675	0.303505	0.262564	
19000	0.085832	3	0.326148	0.293883	0.110930	0.269039	0.326148	0.293883	0.110930	0.269039	0.203188	0.256316	0.244347	0.296149	0.203188	0.256316	0.244347	0.296149	0.248329	0.173071	0.369450	0.209150	0.326148	0.293883	0.110930	0.269039	0.203188	0.256316	0.244347	0.296149	
20000	0.085832	2	0.326148	0.293883	0.110930	0.269039	0.326148	0.293883	0.110930	0.269039	0.191997	0.265569	0.261525	0.280909	0.191997	0.265569	0.261525	0.280909	0.191997	0.265569	0.261525	0.280909	0.326148	0.293883	0.110930	0.269039	0.191997	0.265569	0.261525	0.280909	
21000	0.085832	2	0.326148	0.293883	0.110930	0.269039	0.326148	0.293883	0.110930	0.269039	0.203724	0.264152	0.253558	0.278566	0.203724	0.264152	0.253558	0.278566	0.203724	0.264152	0.253558	0.278566	0.326148	0.293883	0.110930	0.269039	0.203724	0.264152	0.253558	0.278566	
22000	0.085832	2	0.319375	0.302430	0.113111	0.265084	0.319375	0.302430	0.113111	0.265084	0.189733	0.275200	0.263419	0.271648	0.189733	0.275200	0.263419	0.271648	0.189733	0.275200	0.263419	0.271648	0.319375	0.302430	0.113111	0.265084	0.189733	0.275200	0.263419	0.271648	
23000	0.085832	2	0.340637	0.268200	0.122352	0.268812	0.340637	0.268200	0.122352	0.268812	0.215459	0.244762	0.272223	0.267556	0.215459	0.244762	0.272223	0.267556	0.215459	0.244762	0.272223	0.267556	0.340637	0.268200	0.122352	0.268812	0.215459	0.244762	0.272223	0.267556	
24000	0.085832	2	0.310293	0.307387	0.118163	0.264156	0.310293	0.307387	0.118163	0.264156	0.181772	0.270103	0.255996	0.292129	0.181772	0.270103	0.255996	0.292129	0.181772	0.270103	0.255996	0.292129	0.310293	0.307387	0.118163	0.264156	0.181772	0.270103	0.255996	0.292129	
25000	0.085832	2	0.310293	0.307387	0.118163	0.264156	0.310293	0.307387	0.118163	0.264156	0.190539	0.271583	0.249575	0.288303	0.190539	0.271583	0.249575	0.288303	0.190539	0.271583	0.249575	0.288303	0.310293	0.307387	0.118163	0.264156	0.190539	0.271583	0.249575	0.288303	
26000	0.085832	2	0.312136	0.287853	0.126966	0.273045	0.312136	0.287853	0.126966	0.273045	0.182558	0.272759	0.263700	0.280983	0.182558	0.272759	0.263700	0.280983	0.182558	0.272759	0.263700	0.280983	0.312136	0.287853	0.126966	0.273045	0.182558	0.272759	0.263700	0.280983	
27000	0.085832	2	0.312136	0.287853	0.126966	0.273045	0.312136	0.287853	0.126966	0.273045	0.182558	0.272759	0.263700	0.280983	0.182558	0.272759	0.263700	0.280983	0.182558	0.272759	0.263700	0.280983	0.312136	0.287853	0.126966	0.273045	0.182558	0.272759	0.263700	0.280983	
28000	0.085832	2	0.324441	0.296210	0.110491	0.268858	0.324441	0.296210	0.110491	0.268858	0.161268	0.292120	0.261957	0.284654	0.161268	0.292120	0.261957	0.284654	0.161268	0.292120	0.261957	0.284654	0.324441	0.296210	0.110491	0.268858	0.161268	0.292120	0.261957	0.284654	
29000	0.085832	2	0.311335	0.300661	0.122498	0.265506	0.311335	0.300661	0.122498	0.265506	0.200705	0.262810	0.258543	0.277942	0.200705	0.262810	0.258543	0.277942	0.200705	0.262810	0.258543	0.277942	0.311335	0.300661	0.122498	0.265506	0.200705	0.262810	0.258543	0.277942	
