Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
1000	0.085832	2	7.392331	17.964082	7.392331	7.392331	7.392331	7.392331	7.392331	
2000	0.085832	2	6.117696	18.431088	6.117696	6.117696	6.117696	6.117696	6.117696	
3000	0.085832	2	5.713222	17.470661	5.713222	5.713222	5.713222	5.713222	5.713222	
4000	0.085832	2	6.006603	17.764653	6.006603	6.006603	6.006603	6.006603	6.006603	
5000	0.085832	2	5.941541	20.937130	5.941541	5.941541	5.941541	5.941541	5.941541	
6000	0.085832	2	6.309033	17.372291	6.309033	6.309033	6.309033	6.309033	6.309033	
7000	0.085832	2	5.522958	19.309140	5.522958	5.522958	5.522958	5.522958	5.522958	
8000	0.085832	2	4.958347	16.601782	4.958347	4.958347	4.958347	4.958347	4.958347	
9000	0.085832	2	5.689436	21.796921	5.689436	5.689436	5.689436	5.689436	5.689436	
10000	0.085832	2	5.739597	18.429975	5.739597	5.739597	5.739597	5.739597	5.739597	
11000	0.085832	2	5.228540	21.174522	5.228540	5.228540	5.228540	5.228540	5.228540	
12000	0.085832	2	5.376371	18.526858	5.376371	5.376371	5.376371	5.376371	5.376371	
13000	0.085832	2	5.281686	16.319695	5.281686	5.281686	5.281686	5.281686	5.281686	
14000	0.085832	2	5.595472	19.648559	5.595472	5.595472	5.595472	5.595472	5.595472	
15000	0.085832	2	5.462346	17.504392	5.462346	5.462346	5.462346	5.462346	5.462346	
16000	0.085832	2	5.841266	17.423107	5.841266	5.841266	5.841266	5.841266	5.841266	
17000	0.085832	2	5.822027	17.853035	5.822027	5.822027	5.822027	5.822027	5.822027	
18000	0.085832	2	5.629985	17.502521	5.629985	5.629985	5.629985	5.629985	5.629985	
19000	0.085832	2	5.495120	17.241238	5.495120	5.495120	5.495120	5.495120	5.495120	
20000	0.085832	2	5.376590	16.840296	5.376590	5.376590	5.376590	5.376590	5.376590	
21000	0.085832	2	5.020462	17.168134	5.020462	5.020462	5.020462	5.020462	5.020462	
22000	0.085832	2	5.568144	18.369373	5.568144	5.568144	5.568144	5.568144	5.568144	
23000	0.085832	2	5.856221	17.255044	5.856221	5.856221	5.856221	5.856221	5.856221	
24000	0.085832	2	5.574923	18.620335	5.574923	5.574923	5.574923	5.574923	5.574923	
25000	0.085832	2	5.531547	18.271725	5.531547	5.531547	5.531547	5.531547	5.531547	
26000	0.085832	2	5.483970	16.882531	5.483970	5.483970	5.483970	5.483970	5.483970	
27000	0.085832	2	4.938712	16.569629	4.938712	4.938712	4.938712	4.938712	4.938712	
28000	0.085832	2	5.615409	18.550549	5.615409	5.615409	5.615409	5.615409	5.615409	
29000	0.085832	2	5.374000	16.880348	5.374000	5.374000	5.374000	5.374000	5.374000	
30000	0.085832	2	5.243496	18.183326	5.243496	5.243496	5.243496	5.243496	5.243496	
31000	0.085832	2	5.505109	19.729760	5.505109	5.505109	5.505109	5.505109	5.505109	
32000	0.085832	2	5.153059	18.993204	5.153059	5.153059	5.153059	5.153059	5.153059	
33000	0.085832	2	5.127169	18.349967	5.127169	5.127169	5.127169	5.127169	5.127169	
34000	0.085832	2	5.517905	17.805846	5.517905	5.517905	5.517905	5.517905	5.517905	
35000	0.085832	2	5.235952	20.836511	5.235952	5.235952	5.235952	5.235952	5.235952	
36000	0.085832	2	5.276234	19.809604	5.276234	5.276234	5.276234	5.276234	5.276234	
37000	0.085832	2	5.928355	18.328069	5.928355	5.928355	5.928355	5.928355	5.928355	
38000	0.085832	2	5.575260	19.605394	5.575260	5.575260	5.575260	5.575260	5.575260	
39000	0.085832	2	5.366973	18.455359	5.366973	5.366973	5.366973	5.366973	5.366973	
40000	0.085832	2	5.776920	17.259825	5.776920	5.776920	5.776920	5.776920	5.776920	
41000	0.085832	2	5.698068	17.317424	5.698068	5.698068	5.698068	5.698068	5.698068	
42000	0.085832	2	5.529119	20.095529	5.529119	5.529119	5.529119	5.529119	5.529119	
43000	0.085832	2	4.751515	17.847972	4.751515	4.751515	4.751515	4.751515	4.751515	
44000	0.085832	2	5.191055	18.054231	5.191055	5.191055	5.191055	5.191055	5.191055	
45000	0.085832	2	5.626977	17.195504	5.626977	5.626977	5.626977	5.626977	5.626977	
46000	0.085832	2	5.239973	15.989587	5.239973	5.239973	5.239973	5.239973	5.239973	
47000	0.085832	2	5.395563	17.740011	5.395563	5.395563	5.395563	5.395563	5.395563	
48000	0.085832	2	5.436616	19.031305	5.436616	5.436616	5.436616	5.436616	5.436616	
49000	0.085832	2	5.381075	18.460421	5.381075	5.381075	5.381075	5.381075	5.381075	
50000	0.085832	2	5.651359	18.369867	5.651359	5.651359	5.651359	5.651359	5.651359	
51000	0.085832	2	5.400025	17.660467	5.400025	5.400025	5.400025	5.400025	5.400025	
52000	0.085832	2	5.775572	18.340461	5.775572	5.775572	5.775572	5.775572	5.775572	
53000	0.085832	2	5.560405	19.684724	5.560405	5.560405	5.560405	5.560405	5.560405	
54000	0.085832	2	5.547769	19.670937	5.547769	5.547769	5.547769	5.547769	5.547769	
55000	0.085832	2	5.351776	19.330091	5.351776	5.351776	5.351776	5.351776	5.351776	
56000	0.085832	2	5.312861	17.937529	5.312861	5.312861	5.312861	5.312861	5.312861	
57000	0.085832	2	5.173272	17.380430	5.173272	5.173272	5.173272	5.173272	5.173272	
58000	0.085832	2	5.470708	17.430631	5.470708	5.470708	5.470708	5.470708	5.470708	
59000	0.085832	2	5.439239	19.863904	5.439239	5.439239	5.439239	5.439239	5.439239	
60000	0.085832	2	5.368926	18.492321	5.368926	5.368926	5.368926	5.368926	5.368926	
61000	0.085832	2	6.005383	18.615592	6.005383	6.005383	6.005383	6.005383	6.005383	
62000	0.085832	2	5.776714	16.195543	5.776714	5.776714	5.776714	5.776714	5.776714	
63000	0.085832	2	5.889048	16.384334	5.889048	5.889048	5.889048	5.889048	5.889048	
64000	0.085832	2	5.938417	16.261790	5.938417	5.938417	5.938417	5.938417	5.938417	
65000	0.085832	2	5.948311	18.981158	5.948311	5.948311	5.948311	5.948311	5.948311	
66000	0.085832	2	5.799601	19.701471	5.799601	5.799601	5.799601	5.799601	5.799601	
67000	0.085832	2	5.565434	19.643786	5.565434	5.565434	5.565434	5.565434	5.565434	
68000	0.085832	2	5.584670	18.833383	5.584670	5.584670	5.584670	5.584670	5.584670	
69000	0.085832	2	5.637127	18.466112	5.637127	5.637127	5.637127	5.637127	5.637127	
70000	0.085832	2	5.786406	16.943537	5.786406	5.786406	5.786406	5.786406	5.786406	
71000	0.085832	2	5.233224	17.398940	5.233224	5.233224	5.233224	5.233224	5.233224	
72000	0.085832	2	5.319873	19.190041	5.319873	5.319873	5.319873	5.319873	5.319873	
73000	0.085832	2	5.725105	18.470260	5.725105	5.725105	5.725105	5.725105	5.725105	
74000	0.085832	2	4.737663	17.930566	4.737663	4.737663	4.737663	4.737663	4.737663	
75000	0.085832	2	5.200182	17.381090	5.200182	5.200182	5.200182	5.200182	5.200182	
76000	0.085832	2	5.507412	18.314588	5.507412	5.507412	5.507412	5.507412	5.507412	
77000	0.085832	2	5.693259	17.745770	5.693259	5.693259	5.693259	5.693259	5.693259	
78000	0.085832	2	5.446519	18.506274	5.446519	5.446519	5.446519	5.446519	5.446519	
79000	0.085832	2	5.112717	16.835723	5.112717	5.112717	5.112717	5.112717	5.112717	
80000	0.085832	2	5.540028	18.198411	5.540028	5.540028	5.540028	5.540028	5.540028	
81000	0.085832	2	5.791155	19.797473	5.791155	5.791155	5.791155	5.791155	5.791155	
82000	0.085832	2	5.709299	17.446469	5.709299	5.709299	5.709299	5.709299	5.709299	
83000	0.085832	2	5.390928	17.869076	5.390928	5.390928	5.390928	5.390928	5.390928	
84000	0.085832	2	5.722668	18.894212	5.722668	5.722668	5.722668	5.722668	5.722668	
85000	0.085832	2	5.019635	16.489033	5.019635	5.019635	5.019635	5.019635	5.019635	
86000	0.085832	2	5.843813	20.116104	5.843813	5.843813	5.843813	5.843813	5.843813	
87000	0.085832	2	5.363664	18.421630	5.363664	5.363664	5.363664	5.363664	5.363664	
88000	0.085832	2	5.877504	16.872829	5.877504	5.877504	5.877504	5.877504	5.877504	
89000	0.085832	2	5.419191	20.042581	5.419191	5.419191	5.419191	5.419191	5.419191	
90000	0.085832	2	6.060517	16.295764	6.060517	6.060517	6.060517	6.060517	6.060517	
91000	0.085832	2	5.506591	17.715527	5.506591	5.506591	5.506591	5.506591	5.506591	
92000	0.085832	2	5.636593	19.361925	5.636593	5.636593	5.636593	5.636593	5.636593	
93000	0.085832	2	5.821423	17.543264	5.821423	5.821423	5.821423	5.821423	5.821423	
94000	0.085832	2	5.354437	18.806702	5.354437	5.354437	5.354437	5.354437	5.354437	
95000	0.085832	2	5.570513	18.567868	5.570513	5.570513	5.570513	5.570513	5.570513	
96000	0.085832	2	5.580884	18.007300	5.580884	5.580884	5.580884	5.580884	5.580884	
