Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
1000	0.529975	3	0.286414	0.841988	0.286414	0.129330	0.286414	0.129330	0.841988	
2000	0.529975	3	0.272893	1.389416	0.272893	0.123431	0.272893	0.123431	1.389416	
3000	0.529975	3	0.259973	1.576419	0.259973	0.159466	0.159466	0.159466	1.576419	
4000	0.529975	3	0.269540	1.590331	0.269540	0.246953	0.269540	0.246953	1.590331	
5000	0.529975	2	0.234963	1.718673	0.234963	0.234963	0.234963	0.234963	1.718673	
6000	0.529975	3	0.262183	1.508544	0.262183	0.144615	0.262183	0.144615	1.508544	
7000	0.529975	4	0.297620	1.550541	0.297620	0.117976	0.253622	0.117976	1.550541	
8000	0.529975	3	0.269856	1.806307	0.269856	0.117259	0.269856	0.117259	1.806307	
9000	0.529975	4	0.282109	1.322634	0.282109	0.114798	0.173370	0.173370	1.322634	
10000	0.529975	3	0.291225	1.594941	0.291225	0.149997	0.149997	0.149997	1.594941	
11000	0.529975	3	0.281781	1.511135	0.281781	0.158502	0.158502	0.158502	1.511135	
12000	0.529975	5	0.265547	1.191190	0.296152	0.155476	0.155476	0.155476	1.303501	
13000	0.529975	3	0.270522	1.417205	0.270522	0.169912	0.169912	0.169912	1.417205	
14000	0.529975	3	0.265865	1.486079	0.265865	0.161041	0.161041	0.161041	1.486079	
15000	0.529975	4	0.266712	1.526706	0.266712	0.124588	0.266712	0.143857	1.526706	
16000	0.529975	3	0.246959	1.102304	0.246959	0.161381	0.161381	0.161381	1.102304	
17000	0.529975	3	0.278251	1.598873	0.278251	0.141223	0.141223	0.141223	1.598873	
18000	0.529975	4	0.248528	1.285253	0.248528	0.135383	0.248528	0.166740	1.285253	
19000	0.529975	3	0.275812	1.489937	0.275812	0.165498	0.165498	0.165498	1.489937	
20000	0.529975	3	0.272020	1.366299	0.272020	0.159413	0.159413	0.159413	1.366299	
21000	0.529975	3	0.252052	1.460626	0.252052	0.157192	0.157192	0.157192	1.460626	
22000	0.529975	3	0.310957	1.625270	0.310957	0.150532	0.150532	0.150532	1.625270	
23000	0.529975	3	0.268739	1.791897	0.268739	0.150322	0.150322	0.150322	1.791897	
24000	0.529975	4	0.262653	1.265209	0.262653	0.155812	0.155812	0.155812	1.611103	
25000	0.529975	3	0.277277	1.114317	0.277277	0.146814	0.146814	0.146814	1.114317	
26000	0.529975	4	0.264421	1.426725	0.264421	0.138673	0.138673	0.161865	1.426725	
27000	0.529975	5	0.233822	1.443710	0.226619	0.135203	0.226619	0.135203	1.566863	
28000	0.529975	4	0.269460	1.359431	0.269460	0.113045	0.154793	0.154793	1.359431	
29000	0.529975	3	0.268528	1.402676	0.268528	0.157312	0.157312	0.157312	1.402676	
30000	0.529975	3	0.245727	1.288616	0.245727	0.155380	0.155380	0.155380	1.288616	
31000	0.529975	3	0.261558	1.458100	0.261558	0.189535	0.189535	0.189535	1.458100	
32000	0.529975	4	0.253542	1.228380	0.253542	0.174486	0.174486	0.174486	1.490470	
33000	0.529975	4	0.262180	1.180614	0.262180	0.170099	0.206209	0.170099	1.180614	
34000	0.529975	4	0.252998	1.392582	0.252998	0.130225	0.177640	0.177640	1.392582	
35000	0.529975	5	0.237689	1.657329	0.276619	0.155017	0.155017	0.155017	1.301712	
36000	0.529975	3	0.254012	1.364346	0.254012	0.156186	0.156186	0.156186	1.364346	
37000	0.529975	3	0.264110	1.345343	0.264110	0.138929	0.138929	0.138929	1.345343	
38000	0.529975	3	0.263001	1.372135	0.263001	0.150048	0.150048	0.150048	1.372135	
39000	0.529975	3	0.264287	1.012315	0.264287	0.145787	0.145787	0.145787	1.012315	
40000	0.529975	3	0.259736	1.179549	0.259736	0.141842	0.141842	0.141842	1.179549	
41000	0.529975	3	0.271582	1.335655	0.271582	0.165691	0.165691	0.165691	1.335655	
42000	0.529975	4	0.222363	1.450293	0.222363	0.107073	0.167819	0.167819	1.450293	
43000	0.529975	3	0.263246	1.261183	0.263246	0.143798	0.143798	0.143798	1.261183	
44000	0.529975	4	0.291851	1.559637	0.291851	0.134523	0.179517	0.134523	1.559637	
45000	0.529975	3	0.267131	1.352954	0.267131	0.145472	0.145472	0.145472	1.352954	
46000	0.529975	3	0.265815	1.264771	0.265815	0.156254	0.156254	0.156254	1.264771	
47000	0.529975	3	0.263308	1.447174	0.263308	0.170679	0.170679	0.170679	1.447174	
48000	0.529975	3	0.245546	1.363914	0.245546	0.112635	0.245546	0.112635	1.363914	
49000	0.529975	4	0.254268	1.320859	0.254268	0.123599	0.153890	0.153890	1.320859	
50000	0.529975	3	0.260839	1.479706	0.260839	0.150315	0.150315	0.150315	1.479706	
51000	0.529975	4	0.279515	1.262850	0.279515	0.154561	0.154561	0.171851	1.262850	
52000	0.529975	3	0.274757	1.599844	0.274757	0.186185	0.186185	0.186185	1.599844	
53000	0.529975	5	0.265588	1.241141	0.265588	0.097216	0.170090	0.141787	1.241141	
54000	0.529975	4	0.262152	1.101550	0.262152	0.148635	0.148635	0.148635	1.286635	
55000	0.529975	3	0.268445	1.340448	0.268445	0.159821	0.159821	0.159821	1.340448	
56000	0.529975	3	0.256239	1.305263	0.256239	0.141493	0.141493	0.141493	1.305263	
57000	0.529975	3	0.273045	1.285111	0.273045	0.149775	0.149775	0.149775	1.285111	
58000	0.529975	3	0.262245	1.182706	0.262245	0.163822	0.163822	0.163822	1.182706	
59000	0.529975	3	0.264068	1.361020	0.264068	0.148441	0.148441	0.148441	1.361020	
60000	0.529975	3	0.263959	1.226672	0.263959	0.154525	0.154525	0.154525	1.226672	
61000	0.529975	3	0.249648	1.326698	0.249648	0.178736	0.178736	0.178736	1.326698	
62000	0.529975	3	0.264397	1.643863	0.264397	0.157451	0.157451	0.157451	1.643863	
63000	0.529975	4	0.253813	1.475912	0.253813	0.140471	0.156299	0.156299	1.475912	
64000	0.529975	3	0.250239	1.508870	0.250239	0.154263	0.250239	0.154263	1.508870	
65000	0.529975	3	0.267366	1.478165	0.267366	0.149959	0.149959	0.149959	1.478165	
66000	0.529975	3	0.266547	1.376423	0.266547	0.157851	0.157851	0.157851	1.376423	
67000	0.529975	4	0.258718	1.147201	0.258718	0.132263	0.181441	0.181441	1.147201	
68000	0.529975	3	0.262452	1.550870	0.262452	0.182719	0.182719	0.182719	1.550870	
69000	0.529975	3	0.256207	1.719425	0.256207	0.166917	0.256207	0.166917	1.719425	
70000	0.529975	5	0.251353	1.352937	0.235879	0.157834	0.181872	0.157834	1.352937	
71000	0.529975	3	0.260834	1.073985	0.260834	0.150336	0.150336	0.150336	1.073985	
72000	0.529975	4	0.259160	1.399094	0.294360	0.158468	0.158468	0.158468	1.399094	
73000	0.529975	3	0.257221	1.194853	0.257221	0.153332	0.153332	0.153332	1.194853	
74000	0.529975	3	0.272797	1.459891	0.272797	0.153261	0.153261	0.153261	1.459891	
75000	0.529975	3	0.282412	1.614728	0.282412	0.162176	0.162176	0.162176	1.614728	
76000	0.529975	3	0.280691	1.428596	0.280691	0.155743	0.155743	0.155743	1.428596	
77000	0.529975	3	0.268231	1.402830	0.268231	0.175487	0.175487	0.175487	1.402830	
78000	0.529975	4	0.262991	1.347963	0.262991	0.156477	0.170519	0.156477	1.347963	
79000	0.529975	4	0.261907	1.283199	0.261907	0.125806	0.165970	0.165970	1.283199	
80000	0.529975	3	0.265968	0.847969	0.265968	0.151471	0.151471	0.151471	0.847969	
