Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
1000	0.529975	2	0.304382	0.333239	0.145327	0.217052	0.304382	0.333239	0.145327	0.217052	0.173504	0.277503	0.328841	0.220152	0.173504	0.277503	0.328841	0.220152	0.173504	0.277503	0.328841	0.220152	0.304382	0.333239	0.145327	0.217052	0.173504	0.277503	0.328841	0.220152	
2000	0.529975	2	0.292855	0.327453	0.129905	0.249787	0.292855	0.327453	0.129905	0.249787	0.149406	0.336882	0.262320	0.251393	0.149406	0.336882	0.262320	0.251393	0.149406	0.336882	0.262320	0.251393	0.292855	0.327453	0.129905	0.249787	0.149406	0.336882	0.262320	0.251393	
3000	0.529975	2	0.310556	0.306541	0.125641	0.257261	0.310556	0.306541	0.125641	0.257261	0.193072	0.239584	0.328049	0.239295	0.193072	0.239584	0.328049	0.239295	0.193072	0.239584	0.328049	0.239295	0.310556	0.306541	0.125641	0.257261	0.193072	0.239584	0.328049	0.239295	
4000	0.529975	2	0.328573	0.297650	0.124177	0.249600	0.328573	0.297650	0.124177	0.249600	0.183919	0.256902	0.256289	0.302890	0.183919	0.256902	0.256289	0.302890	0.183919	0.256902	0.256289	0.302890	0.328573	0.297650	0.124177	0.249600	0.183919	0.256902	0.256289	0.302890	
5000	0.529975	3	0.343051	0.282335	0.115469	0.259145	0.343051	0.282335	0.115469	0.259145	0.178047	0.279973	0.265713	0.276267	0.178047	0.279973	0.265713	0.276267	0.231052	0.162296	0.382032	0.224619	0.343051	0.282335	0.115469	0.259145	0.178047	0.279973	0.265713	0.276267	
6000	0.529975	2	0.334131	0.283513	0.123290	0.259067	0.334131	0.283513	0.123290	0.259067	0.210083	0.273983	0.267499	0.248435	0.210083	0.273983	0.267499	0.248435	0.210083	0.273983	0.267499	0.248435	0.334131	0.283513	0.123290	0.259067	0.210083	0.273983	0.267499	0.248435	
7000	0.529975	3	0.325647	0.289105	0.135194	0.250054	0.325647	0.289105	0.135194	0.250054	0.204736	0.256702	0.268354	0.270208	0.204736	0.256702	0.268354	0.270208	0.334412	0.146702	0.381670	0.137216	0.325647	0.289105	0.135194	0.250054	0.204736	0.256702	0.268354	0.270208	
8000	0.529975	2	0.327132	0.286790	0.132128	0.253949	0.327132	0.286790	0.132128	0.253949	0.188593	0.277033	0.264157	0.270217	0.188593	0.277033	0.264157	0.270217	0.188593	0.277033	0.264157	0.270217	0.327132	0.286790	0.132128	0.253949	0.188593	0.277033	0.264157	0.270217	
9000	0.529975	2	0.329106	0.277022	0.124142	0.269730	0.329106	0.277022	0.124142	0.269730	0.173970	0.282200	0.256744	0.287085	0.173970	0.282200	0.256744	0.287085	0.173970	0.282200	0.256744	0.287085	0.329106	0.277022	0.124142	0.269730	0.173970	0.282200	0.256744	0.287085	
10000	0.529975	2	0.327813	0.270526	0.128172	0.273489	0.327813	0.270526	0.128172	0.273489	0.179456	0.263987	0.276334	0.280223	0.179456	0.263987	0.276334	0.280223	0.179456	0.263987	0.276334	0.280223	0.327813	0.270526	0.128172	0.273489	0.179456	0.263987	0.276334	0.280223	
