Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
1000	0.529975	2	9.196716	20.612510	9.196716	9.196716	9.196716	9.196716	9.196716	
2000	0.529975	2	5.741539	19.178364	5.741539	5.741539	5.741539	5.741539	5.741539	
3000	0.529975	2	5.971729	22.274752	5.971729	5.971729	5.971729	5.971729	5.971729	
4000	0.529975	2	5.531578	17.961716	5.531578	5.531578	5.531578	5.531578	5.531578	
5000	0.529975	2	5.218973	18.211288	5.218973	5.218973	5.218973	5.218973	5.218973	
6000	0.529975	2	6.362440	18.359949	6.362440	6.362440	6.362440	6.362440	6.362440	
7000	0.529975	3	5.794134	17.538914	5.794134	5.794134	5.794134	18.952295	5.794134	
8000	0.529975	2	5.762085	20.129964	5.762085	5.762085	5.762085	20.129964	5.762085	
9000	0.529975	2	5.853219	17.620882	5.853219	5.853219	5.853219	5.853219	5.853219	
10000	0.529975	2	5.623659	16.060797	5.623659	5.623659	5.623659	5.623659	5.623659	
11000	0.529975	2	5.666141	18.490682	5.666141	5.666141	5.666141	5.666141	5.666141	
12000	0.529975	2	5.361823	20.807615	5.361823	5.361823	5.361823	5.361823	5.361823	
13000	0.529975	2	5.525388	17.512971	5.525388	5.525388	5.525388	5.525388	5.525388	
14000	0.529975	2	5.657891	17.366249	5.657891	5.657891	5.657891	5.657891	5.657891	
15000	0.529975	2	5.297195	16.234464	5.297195	5.297195	5.297195	5.297195	5.297195	
16000	0.529975	2	6.184996	18.717213	6.184996	6.184996	6.184996	6.184996	6.184996	
17000	0.529975	2	5.818310	16.976856	5.818310	5.818310	5.818310	5.818310	5.818310	
18000	0.529975	2	4.935256	18.184035	4.935256	4.935256	4.935256	4.935256	4.935256	
19000	0.529975	2	5.429872	17.440407	5.429872	5.429872	5.429872	5.429872	5.429872	
20000	0.529975	2	5.206765	18.131842	5.206765	5.206765	5.206765	5.206765	5.206765	
21000	0.529975	2	5.420700	16.420600	5.420700	5.420700	5.420700	5.420700	5.420700	
22000	0.529975	2	5.690221	19.297683	5.690221	5.690221	5.690221	5.690221	5.690221	
23000	0.529975	2	5.373723	15.619599	5.373723	5.373723	5.373723	5.373723	5.373723	
24000	0.529975	2	6.111746	16.604740	6.111746	6.111746	6.111746	6.111746	6.111746	
25000	0.529975	2	5.830250	16.241215	5.830250	5.830250	5.830250	5.830250	5.830250	
26000	0.529975	2	5.698795	18.416658	5.698795	5.698795	5.698795	5.698795	5.698795	
27000	0.529975	2	5.416889	17.449476	5.416889	5.416889	5.416889	5.416889	5.416889	
28000	0.529975	2	5.835213	17.249526	5.835213	5.835213	5.835213	5.835213	5.835213	
29000	0.529975	2	5.799963	20.307643	5.799963	5.799963	5.799963	5.799963	5.799963	
30000	0.529975	2	5.286128	17.521286	5.286128	5.286128	5.286128	5.286128	5.286128	
