Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1000	100.687501	2	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	0.034509	0.436206	0.014703	0.390832	0.088202	0.035547	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	0.052588	0.258393	0.063008	0.041708	0.543424	0.040879	
2000	100.687501	2	0.057649	0.307029	0.057990	0.026762	0.501068	0.049502	0.057649	0.307029	0.057990	0.026762	0.501068	0.049502	0.057649	0.307029	0.057990	0.026762	0.501068	0.049502	0.022472	0.326719	0.109459	0.246798	0.201861	0.092690	0.022472	0.326719	0.109459	0.246798	0.201861	0.092690	0.022472	0.326719	0.109459	0.246798	0.201861	0.092690	0.057649	0.307029	0.057990	0.026762	0.501068	0.049502	
3000	100.687501	3	0.055501	0.347787	0.055421	0.033633	0.456651	0.051007	0.055501	0.347787	0.055421	0.033633	0.456651	0.051007	0.055501	0.347787	0.055421	0.033633	0.456651	0.051007	0.065882	0.067951	0.091898	0.490101	0.211802	0.072367	0.083955	0.379827	0.118161	0.132391	0.247114	0.038552	0.083955	0.379827	0.118161	0.132391	0.247114	0.038552	0.055501	0.347787	0.055421	0.033633	0.456651	0.051007	
4000	100.687501	2	0.058665	0.406015	0.061424	0.032403	0.394058	0.047435	0.058665	0.406015	0.061424	0.032403	0.394058	0.047435	0.058665	0.406015	0.061424	0.032403	0.394058	0.047435	0.108978	0.360515	0.092638	0.148424	0.229621	0.059824	0.108978	0.360515	0.092638	0.148424	0.229621	0.059824	0.108978	0.360515	0.092638	0.148424	0.229621	0.059824	0.058665	0.406015	0.061424	0.032403	0.394058	0.047435	
5000	100.687501	2	0.055311	0.428525	0.063707	0.026441	0.375280	0.050737	0.055311	0.428525	0.063707	0.026441	0.375280	0.050737	0.055311	0.428525	0.063707	0.026441	0.375280	0.050737	0.139960	0.366825	0.079175	0.166162	0.166279	0.081599	0.139960	0.366825	0.079175	0.166162	0.166279	0.081599	0.139960	0.366825	0.079175	0.166162	0.166279	0.081599	0.055311	0.428525	0.063707	0.026441	0.375280	0.050737	
6000	100.687501	2	0.059672	0.393086	0.060408	0.026752	0.411972	0.048110	0.059672	0.393086	0.060408	0.026752	0.411972	0.048110	0.059672	0.393086	0.060408	0.026752	0.411972	0.048110	0.122939	0.320966	0.056003	0.126333	0.337482	0.036277	0.122939	0.320966	0.056003	0.126333	0.337482	0.036277	0.122939	0.320966	0.056003	0.126333	0.337482	0.036277	0.059672	0.393086	0.060408	0.026752	0.411972	0.048110	
7000	100.687501	3	0.059148	0.409086	0.057841	0.030787	0.389149	0.053989	0.059148	0.409086	0.057841	0.030787	0.389149	0.053989	0.059148	0.409086	0.057841	0.030787	0.389149	0.053989	0.012833	0.333287	0.118173	0.336080	0.151068	0.048559	0.117871	0.290607	0.123575	0.224063	0.211760	0.032123	0.059148	0.409086	0.057841	0.030787	0.389149	0.053989	0.059148	0.409086	0.057841	0.030787	0.389149	0.053989	
8000	100.687501	2	0.059744	0.422813	0.053731	0.026237	0.384933	0.052542	0.059744	0.422813	0.053731	0.026237	0.384933	0.052542	0.059744	0.422813	0.053731	0.026237	0.384933	0.052542	0.072030	0.291995	0.094961	0.352939	0.179009	0.009065	0.059744	0.422813	0.053731	0.026237	0.384933	0.052542	0.072030	0.291995	0.094961	0.352939	0.179009	0.009065	0.059744	0.422813	0.053731	0.026237	0.384933	0.052542	
9000	100.687501	2	0.060881	0.386281	0.057201	0.037285	0.412086	0.046266	0.060881	0.386281	0.057201	0.037285	0.412086	0.046266	0.060881	0.386281	0.057201	0.037285	0.412086	0.046266	0.068576	0.302148	0.147638	0.139642	0.275847	0.066150	0.068576	0.302148	0.147638	0.139642	0.275847	0.066150	0.060881	0.386281	0.057201	0.037285	0.412086	0.046266	0.060881	0.386281	0.057201	0.037285	0.412086	0.046266	
10000	100.687501	3	0.063834	0.392535	0.055224	0.031301	0.406324	0.050782	0.063834	0.392535	0.055224	0.031301	0.406324	0.050782	0.063834	0.392535	0.055224	0.031301	0.406324	0.050782	0.092449	0.321581	0.070655	0.297165	0.188066	0.030084	0.108918	0.485523	0.065292	0.059441	0.243322	0.037503	0.108918	0.485523	0.065292	0.059441	0.243322	0.037503	0.063834	0.392535	0.055224	0.031301	0.406324	0.050782	
11000	100.687501	3	0.063592	0.374941	0.057036	0.032328	0.419656	0.052448	0.063592	0.374941	0.057036	0.032328	0.419656	0.052448	0.063592	0.374941	0.057036	0.032328	0.419656	0.052448	0.014864	0.073378	0.046262	0.463730	0.354062	0.047705	0.112968	0.278839	0.093249	0.220596	0.208324	0.086024	0.112968	0.278839	0.093249	0.220596	0.208324	0.086024	0.063592	0.374941	0.057036	0.032328	0.419656	0.052448	
12000	100.687501	3	0.058561	0.390783	0.063447	0.030112	0.406566	0.050531	0.058561	0.390783	0.063447	0.030112	0.406566	0.050531	0.058561	0.390783	0.063447	0.030112	0.406566	0.050531	0.046182	0.055317	0.209142	0.057737	0.540981	0.090641	0.058561	0.390783	0.063447	0.030112	0.406566	0.050531	0.052832	0.437302	0.049594	0.319531	0.078854	0.061886	0.058561	0.390783	0.063447	0.030112	0.406566	0.050531	
13000	100.687501	3	0.058043	0.364368	0.058623	0.030738	0.435363	0.052866	0.058043	0.364368	0.058623	0.030738	0.435363	0.052866	0.058043	0.364368	0.058623	0.030738	0.435363	0.052866	0.141815	0.109801	0.022258	0.483912	0.190751	0.051464	0.073624	0.375888	0.152400	0.111911	0.219826	0.066350	0.073624	0.375888	0.152400	0.111911	0.219826	0.066350	0.058043	0.364368	0.058623	0.030738	0.435363	0.052866	
14000	100.687501	2	0.063116	0.390701	0.053200	0.037047	0.402585	0.053351	0.063116	0.390701	0.053200	0.037047	0.402585	0.053351	0.063116	0.390701	0.053200	0.037047	0.402585	0.053351	0.044251	0.258800	0.197303	0.145956	0.183820	0.169871	0.044251	0.258800	0.197303	0.145956	0.183820	0.169871	0.063116	0.390701	0.053200	0.037047	0.402585	0.053351	0.063116	0.390701	0.053200	0.037047	0.402585	0.053351	
15000	100.687501	3	0.062863	0.375186	0.057600	0.028501	0.428545	0.047304	0.062863	0.375186	0.057600	0.028501	0.428545	0.047304	0.062863	0.375186	0.057600	0.028501	0.428545	0.047304	0.048619	0.321002	0.115674	0.043186	0.251441	0.220078	0.047444	0.164280	0.186132	0.110033	0.335524	0.156586	0.062863	0.375186	0.057600	0.028501	0.428545	0.047304	0.062863	0.375186	0.057600	0.028501	0.428545	0.047304	
16000	100.687501	4	0.076719	0.298202	0.076508	0.009341	0.477382	0.061848	0.076719	0.298202	0.076508	0.009341	0.477382	0.061848	0.076719	0.298202	0.076508	0.009341	0.477382	0.061848	0.059942	0.346065	0.284185	0.065179	0.140584	0.104045	0.207239	0.138209	0.122978	0.128206	0.343520	0.059849	0.036246	0.185097	0.003937	0.423378	0.143360	0.207982	0.076719	0.298202	0.076508	0.009341	0.477382	0.061848	
17000	100.687501	2	0.067044	0.339807	0.060261	0.019086	0.466190	0.047612	0.067044	0.339807	0.060261	0.019086	0.466190	0.047612	0.067044	0.339807	0.060261	0.019086	0.466190	0.047612	0.018634	0.314071	0.057871	0.186121	0.288047	0.135256	0.018634	0.314071	0.057871	0.186121	0.288047	0.135256	0.018634	0.314071	0.057871	0.186121	0.288047	0.135256	0.067044	0.339807	0.060261	0.019086	0.466190	0.047612	
18000	100.687501	2	0.062593	0.391685	0.057930	0.020516	0.417111	0.050165	0.062593	0.391685	0.057930	0.020516	0.417111	0.050165	0.062593	0.391685	0.057930	0.020516	0.417111	0.050165	0.129312	0.359384	0.047805	0.096217	0.314555	0.052727	0.129312	0.359384	0.047805	0.096217	0.314555	0.052727	0.129312	0.359384	0.047805	0.096217	0.314555	0.052727	0.129312	0.359384	0.047805	0.096217	0.314555	0.052727	
19000	100.687501	4	0.061416	0.400543	0.055284	0.021184	0.404140	0.057432	0.061416	0.400543	0.055284	0.021184	0.404140	0.057432	0.061416	0.400543	0.055284	0.021184	0.404140	0.057432	0.125908	0.220592	0.037984	0.202914	0.291050	0.121553	0.178645	0.273840	0.205299	0.119249	0.209375	0.013592	0.072179	0.368677	0.068110	0.138137	0.303219	0.049677	0.072179	0.368677	0.068110	0.138137	0.303219	0.049677	
20000	100.687501	2	0.058530	0.378553	0.059857	0.032554	0.415188	0.055318	0.058530	0.378553	0.059857	0.032554	0.415188	0.055318	0.058530	0.378553	0.059857	0.032554	0.415188	0.055318	0.119334	0.186529	0.162061	0.116285	0.362581	0.053211	0.119334	0.186529	0.162061	0.116285	0.362581	0.053211	0.058530	0.378553	0.059857	0.032554	0.415188	0.055318	0.058530	0.378553	0.059857	0.032554	0.415188	0.055318	
21000	100.687501	4	0.059106	0.372044	0.066616	0.030592	0.419277	0.052364	0.059106	0.372044	0.066616	0.030592	0.419277	0.052364	0.059106	0.372044	0.066616	0.030592	0.419277	0.052364	0.042879	0.181654	0.048563	0.348295	0.262200	0.116410	0.045304	0.216273	0.201441	0.078124	0.274185	0.184672	0.030828	0.220528	0.126573	0.189466	0.362834	0.069772	0.059106	0.372044	0.066616	0.030592	0.419277	0.052364	
22000	100.687501	3	0.064636	0.381074	0.065696	0.031335	0.403631	0.053628	0.064636	0.381074	0.065696	0.031335	0.403631	0.053628	0.064636	0.381074	0.065696	0.031335	0.403631	0.053628	0.042777	0.042260	0.028419	0.079294	0.702502	0.104748	0.064636	0.381074	0.065696	0.031335	0.403631	0.053628	0.021551	0.302512	0.080194	0.074580	0.498413	0.022750	0.064636	0.381074	0.065696	0.031335	0.403631	0.053628	
23000	100.687501	3	0.071096	0.383986	0.059129	0.025222	0.403389	0.057178	0.071096	0.383986	0.059129	0.025222	0.403389	0.057178	0.071096	0.383986	0.059129	0.025222	0.403389	0.057178	0.130992	0.327284	0.120413	0.167028	0.164597	0.089686	0.130992	0.327284	0.120413	0.167028	0.164597	0.089686	0.070691	0.582509	0.039255	0.124554	0.088207	0.094784	0.071096	0.383986	0.059129	0.025222	0.403389	0.057178	
24000	100.687501	2	0.067003	0.381379	0.061868	0.024478	0.414214	0.051058	0.067003	0.381379	0.061868	0.024478	0.414214	0.051058	0.067003	0.381379	0.061868	0.024478	0.414214	0.051058	0.070967	0.347157	0.081023	0.169252	0.255809	0.075791	0.070967	0.347157	0.081023	0.169252	0.255809	0.075791	0.070967	0.347157	0.081023	0.169252	0.255809	0.075791	0.067003	0.381379	0.061868	0.024478	0.414214	0.051058	
25000	100.687501	2	0.067551	0.384501	0.061581	0.034374	0.400517	0.051476	0.067551	0.384501	0.061581	0.034374	0.400517	0.051476	0.067551	0.384501	0.061581	0.034374	0.400517	0.051476	0.126431	0.062151	0.040365	0.324944	0.366797	0.079313	0.126431	0.062151	0.040365	0.324944	0.366797	0.079313	0.067551	0.384501	0.061581	0.034374	0.400517	0.051476	0.067551	0.384501	0.061581	0.034374	0.400517	0.051476	
26000	100.687501	3	0.065820	0.385336	0.065748	0.028567	0.398147	0.056383	0.065820	0.385336	0.065748	0.028567	0.398147	0.056383	0.065820	0.385336	0.065748	0.028567	0.398147	0.056383	0.159002	0.217923	0.113030	0.187398	0.288376	0.034271	0.118566	0.185408	0.199163	0.073148	0.399441	0.024274	0.065820	0.385336	0.065748	0.028567	0.398147	0.056383	0.065820	0.385336	0.065748	0.028567	0.398147	0.056383	
27000	100.687501	3	0.069006	0.378522	0.056502	0.026968	0.422403	0.046600	0.069006	0.378522	0.056502	0.026968	0.422403	0.046600	0.069006	0.378522	0.056502	0.026968	0.422403	0.046600	0.009150	0.093329	0.209897	0.201271	0.391578	0.094775	0.067864	0.356631	0.129727	0.103977	0.246191	0.095610	0.067864	0.356631	0.129727	0.103977	0.246191	0.095610	0.069006	0.378522	0.056502	0.026968	0.422403	0.046600	
28000	100.687501	2	0.066607	0.390841	0.063820	0.026031	0.407722	0.044980	0.066607	0.390841	0.063820	0.026031	0.407722	0.044980	0.066607	0.390841	0.063820	0.026031	0.407722	0.044980	0.074677	0.370484	0.115442	0.176938	0.183275	0.079184	0.074677	0.370484	0.115442	0.176938	0.183275	0.079184	0.074677	0.370484	0.115442	0.176938	0.183275	0.079184	0.066607	0.390841	0.063820	0.026031	0.407722	0.044980	
29000	100.687501	3	0.063768	0.399704	0.067960	0.027720	0.392950	0.047898	0.063768	0.399704	0.067960	0.027720	0.392950	0.047898	0.063768	0.399704	0.067960	0.027720	0.392950	0.047898	0.073980	0.358931	0.120436	0.204631	0.200349	0.041673	0.107103	0.171342	0.322550	0.077794	0.227869	0.093342	0.073980	0.358931	0.120436	0.204631	0.200349	0.041673	0.063768	0.399704	0.067960	0.027720	0.392950	0.047898	
30000	100.687501	2	0.063913	0.400612	0.060527	0.027783	0.389688	0.057478	0.063913	0.400612	0.060527	0.027783	0.389688	0.057478	0.063913	0.400612	0.060527	0.027783	0.389688	0.057478	0.092080	0.178912	0.095835	0.220812	0.319044	0.093317	0.092080	0.178912	0.095835	0.220812	0.319044	0.093317	0.063913	0.400612	0.060527	0.027783	0.389688	0.057478	0.063913	0.400612	0.060527	0.027783	0.389688	0.057478	
31000	100.687501	2	0.064551	0.404792	0.064223	0.021111	0.393001	0.052322	0.064551	0.404792	0.064223	0.021111	0.393001	0.052322	0.064551	0.404792	0.064223	0.021111	0.393001	0.052322	0.067733	0.324871	0.153323	0.165289	0.236907	0.051876	0.067733	0.324871	0.153323	0.165289	0.236907	0.051876	0.067733	0.324871	0.153323	0.165289	0.236907	0.051876	0.064551	0.404792	0.064223	0.021111	0.393001	0.052322	
32000	100.687501	3	0.073716	0.322396	0.051373	0.024409	0.471506	0.056600	0.073716	0.322396	0.051373	0.024409	0.471506	0.056600	0.073716	0.322396	0.051373	0.024409	0.471506	0.056600	0.094019	0.279099	0.192055	0.149716	0.273329	0.011782	0.094019	0.279099	0.192055	0.149716	0.273329	0.011782	0.102943	0.364088	0.177443	0.147600	0.140083	0.067844	0.073716	0.322396	0.051373	0.024409	0.471506	0.056600	
