Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1000	16.777027	2	0.057373	0.570223	0.040443	0.014860	0.249225	0.067876	0.057373	0.570223	0.040443	0.014860	0.249225	0.067876	0.057373	0.570223	0.040443	0.014860	0.249225	0.067876	0.024684	0.443126	0.070057	0.234857	0.160552	0.066724	0.024684	0.443126	0.070057	0.234857	0.160552	0.066724	0.024684	0.443126	0.070057	0.234857	0.160552	0.066724	0.057373	0.570223	0.040443	0.014860	0.249225	0.067876	
2000	16.777027	2	0.062983	0.463170	0.059837	0.034690	0.321693	0.057628	0.062983	0.463170	0.059837	0.034690	0.321693	0.057628	0.062983	0.463170	0.059837	0.034690	0.321693	0.057628	0.072042	0.443519	0.058067	0.229148	0.137524	0.059699	0.072042	0.443519	0.058067	0.229148	0.137524	0.059699	0.072042	0.443519	0.058067	0.229148	0.137524	0.059699	0.062983	0.463170	0.059837	0.034690	0.321693	0.057628	
3000	16.777027	2	0.071322	0.418946	0.057525	0.033350	0.362830	0.056028	0.071322	0.418946	0.057525	0.033350	0.362830	0.056028	0.071322	0.418946	0.057525	0.033350	0.362830	0.056028	0.046478	0.483209	0.123903	0.193977	0.113318	0.039115	0.046478	0.483209	0.123903	0.193977	0.113318	0.039115	0.046478	0.483209	0.123903	0.193977	0.113318	0.039115	0.071322	0.418946	0.057525	0.033350	0.362830	0.056028	
4000	16.777027	2	0.067504	0.419106	0.062009	0.035063	0.369863	0.046455	0.067504	0.419106	0.062009	0.035063	0.369863	0.046455	0.067504	0.419106	0.062009	0.035063	0.369863	0.046455	0.074877	0.267107	0.078090	0.228478	0.294452	0.056997	0.074877	0.267107	0.078090	0.228478	0.294452	0.056997	0.074877	0.267107	0.078090	0.228478	0.294452	0.056997	0.067504	0.419106	0.062009	0.035063	0.369863	0.046455	
5000	16.777027	2	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.084942	0.420849	0.031712	0.242542	0.121936	0.098019	0.084942	0.420849	0.031712	0.242542	0.121936	0.098019	0.084942	0.420849	0.031712	0.242542	0.121936	0.098019	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	
6000	16.777027	3	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	0.052505	0.305388	0.048257	0.142042	0.325932	0.125877	0.031859	0.339086	0.410816	0.095278	0.077279	0.045681	0.052505	0.305388	0.048257	0.142042	0.325932	0.125877	0.071992	0.420093	0.066182	0.023270	0.364792	0.053672	
7000	16.777027	3	0.074087	0.420894	0.060497	0.020234	0.381275	0.043013	0.074087	0.420894	0.060497	0.020234	0.381275	0.043013	0.074087	0.420894	0.060497	0.020234	0.381275	0.043013	0.285922	0.145942	0.140184	0.171125	0.166454	0.090372	0.098542	0.251807	0.142463	0.303472	0.106894	0.096822	0.098542	0.251807	0.142463	0.303472	0.106894	0.096822	0.074087	0.420894	0.060497	0.020234	0.381275	0.043013	
8000	16.777027	2	0.066948	0.414086	0.064201	0.037735	0.363154	0.053876	0.066948	0.414086	0.064201	0.037735	0.363154	0.053876	0.066948	0.414086	0.064201	0.037735	0.363154	0.053876	0.124577	0.375687	0.059521	0.216495	0.191871	0.031850	0.124577	0.375687	0.059521	0.216495	0.191871	0.031850	0.124577	0.375687	0.059521	0.216495	0.191871	0.031850	0.066948	0.414086	0.064201	0.037735	0.363154	0.053876	
9000	16.777027	2	0.073225	0.400679	0.054044	0.038063	0.386663	0.047326	0.073225	0.400679	0.054044	0.038063	0.386663	0.047326	0.073225	0.400679	0.054044	0.038063	0.386663	0.047326	0.111299	0.297589	0.125930	0.191476	0.193298	0.080409	0.111299	0.297589	0.125930	0.191476	0.193298	0.080409	0.111299	0.297589	0.125930	0.191476	0.193298	0.080409	0.073225	0.400679	0.054044	0.038063	0.386663	0.047326	
10000	16.777027	2	0.069970	0.416881	0.062805	0.028784	0.377276	0.044284	0.069970	0.416881	0.062805	0.028784	0.377276	0.044284	0.069970	0.416881	0.062805	0.028784	0.377276	0.044284	0.023718	0.366985	0.130770	0.280426	0.167784	0.030318	0.023718	0.366985	0.130770	0.280426	0.167784	0.030318	0.023718	0.366985	0.130770	0.280426	0.167784	0.030318	0.069970	0.416881	0.062805	0.028784	0.377276	0.044284	
11000	16.777027	2	0.065208	0.413054	0.057818	0.021230	0.386742	0.055948	0.065208	0.413054	0.057818	0.021230	0.386742	0.055948	0.065208	0.413054	0.057818	0.021230	0.386742	0.055948	0.101469	0.360966	0.106841	0.190078	0.170263	0.070382	0.101469	0.360966	0.106841	0.190078	0.170263	0.070382	0.101469	0.360966	0.106841	0.190078	0.170263	0.070382	0.065208	0.413054	0.057818	0.021230	0.386742	0.055948	
12000	16.777027	3	0.057689	0.428267	0.050661	0.044419	0.368902	0.050063	0.057689	0.428267	0.050661	0.044419	0.368902	0.050063	0.057689	0.428267	0.050661	0.044419	0.368902	0.050063	0.025262	0.335295	0.037742	0.263318	0.298614	0.039769	0.217698	0.434151	0.131884	0.125038	0.045935	0.045294	0.025262	0.335295	0.037742	0.263318	0.298614	0.039769	0.057689	0.428267	0.050661	0.044419	0.368902	0.050063	
13000	16.777027	3	0.072036	0.380186	0.051676	0.025370	0.413505	0.057226	0.072036	0.380186	0.051676	0.025370	0.413505	0.057226	0.041019	0.295754	0.097480	0.025575	0.421706	0.118465	0.128662	0.207891	0.080855	0.134533	0.359373	0.088686	0.128662	0.207891	0.080855	0.134533	0.359373	0.088686	0.128662	0.207891	0.080855	0.134533	0.359373	0.088686	0.072036	0.380186	0.051676	0.025370	0.413505	0.057226	
14000	16.777027	2	0.073517	0.406289	0.061050	0.026060	0.383060	0.050023	0.073517	0.406289	0.061050	0.026060	0.383060	0.050023	0.073517	0.406289	0.061050	0.026060	0.383060	0.050023	0.082402	0.499827	0.046380	0.146760	0.171821	0.052810	0.082402	0.499827	0.046380	0.146760	0.171821	0.052810	0.082402	0.499827	0.046380	0.146760	0.171821	0.052810	0.073517	0.406289	0.061050	0.026060	0.383060	0.050023	
15000	16.777027	2	0.068750	0.397732	0.058500	0.027209	0.400093	0.047715	0.068750	0.397732	0.058500	0.027209	0.400093	0.047715	0.068750	0.397732	0.058500	0.027209	0.400093	0.047715	0.065796	0.337859	0.116632	0.148866	0.222403	0.108444	0.065796	0.337859	0.116632	0.148866	0.222403	0.108444	0.065796	0.337859	0.116632	0.148866	0.222403	0.108444	0.068750	0.397732	0.058500	0.027209	0.400093	0.047715	
16000	16.777027	2	0.064504	0.392375	0.066209	0.032098	0.396319	0.048494	0.064504	0.392375	0.066209	0.032098	0.396319	0.048494	0.064504	0.392375	0.066209	0.032098	0.396319	0.048494	0.039252	0.358128	0.096571	0.142868	0.259132	0.104048	0.039252	0.358128	0.096571	0.142868	0.259132	0.104048	0.039252	0.358128	0.096571	0.142868	0.259132	0.104048	0.064504	0.392375	0.066209	0.032098	0.396319	0.048494	
17000	16.777027	3	0.063775	0.423120	0.059176	0.028684	0.380722	0.044522	0.063775	0.423120	0.059176	0.028684	0.380722	0.044522	0.063775	0.423120	0.059176	0.028684	0.380722	0.044522	0.039173	0.439476	0.039011	0.234305	0.170858	0.077176	0.088691	0.336735	0.180823	0.188456	0.137443	0.067851	0.039173	0.439476	0.039011	0.234305	0.170858	0.077176	0.063775	0.423120	0.059176	0.028684	0.380722	0.044522	
18000	16.777027	2	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.068575	0.362587	0.169696	0.170367	0.189695	0.039080	0.068575	0.362587	0.169696	0.170367	0.189695	0.039080	0.068575	0.362587	0.169696	0.170367	0.189695	0.039080	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	
19000	16.777027	2	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.106274	0.366219	0.217086	0.098937	0.077957	0.133526	0.106274	0.366219	0.217086	0.098937	0.077957	0.133526	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	0.065072	0.423896	0.059285	0.024343	0.374545	0.052859	
20000	16.777027	3	0.060887	0.452264	0.056514	0.036310	0.352081	0.041943	0.060887	0.452264	0.056514	0.036310	0.352081	0.041943	0.060887	0.452264	0.056514	0.036310	0.352081	0.041943	0.116495	0.396270	0.051064	0.298823	0.051921	0.085427	0.258445	0.190012	0.247326	0.178075	0.087375	0.038767	0.060887	0.452264	0.056514	0.036310	0.352081	0.041943	0.060887	0.452264	0.056514	0.036310	0.352081	0.041943	
21000	16.777027	2	0.062948	0.443611	0.058360	0.028190	0.363578	0.043313	0.062948	0.443611	0.058360	0.028190	0.363578	0.043313	0.062948	0.443611	0.058360	0.028190	0.363578	0.043313	0.116188	0.099041	0.278392	0.152633	0.349389	0.004358	0.116188	0.099041	0.278392	0.152633	0.349389	0.004358	0.062948	0.443611	0.058360	0.028190	0.363578	0.043313	0.062948	0.443611	0.058360	0.028190	0.363578	0.043313	
22000	16.777027	3	0.065667	0.456357	0.061195	0.032136	0.349987	0.034658	0.065667	0.456357	0.061195	0.032136	0.349987	0.034658	0.065667	0.456357	0.061195	0.032136	0.349987	0.034658	0.064581	0.532955	0.086873	0.140041	0.139468	0.036082	0.284521	0.238188	0.110330	0.061348	0.270109	0.035505	0.064581	0.532955	0.086873	0.140041	0.139468	0.036082	0.065667	0.456357	0.061195	0.032136	0.349987	0.034658	
23000	16.777027	2	0.055412	0.429377	0.061679	0.032648	0.359855	0.061029	0.055412	0.429377	0.061679	0.032648	0.359855	0.061029	0.055412	0.429377	0.061679	0.032648	0.359855	0.061029	0.074543	0.435769	0.119568	0.163788	0.160011	0.046321	0.074543	0.435769	0.119568	0.163788	0.160011	0.046321	0.074543	0.435769	0.119568	0.163788	0.160011	0.046321	0.055412	0.429377	0.061679	0.032648	0.359855	0.061029	
24000	16.777027	3	0.065258	0.429399	0.052408	0.034817	0.359873	0.058245	0.065258	0.429399	0.052408	0.034817	0.359873	0.058245	0.065258	0.429399	0.052408	0.034817	0.359873	0.058245	0.046768	0.398827	0.054226	0.130159	0.206356	0.163665	0.098035	0.325197	0.188080	0.078057	0.236214	0.074416	0.046768	0.398827	0.054226	0.130159	0.206356	0.163665	0.065258	0.429399	0.052408	0.034817	0.359873	0.058245	
25000	16.777027	2	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	0.084288	0.203360	0.193454	0.391019	0.024376	0.103503	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	0.066938	0.434305	0.056158	0.031519	0.355771	0.055309	
