parameter,E(K),16S,COI 1st position,COI 2nd position,COI 3rd position,TMO 1st position,TMO 2nd position,TMO 3rd position,HPD
ASRV,1.2,1,1,3,2,3,3,2,10
ASRV,2,1,1,3,2,3,3,2,10
ASRV,4,1,1,3,2,3,3,2,10
ASRV,6,1,1,3,2,3,3,2,10
ASRV,6.8,1,1,3,2,3,3,2,9
Base frequencies,1.2,1,2,2,1,2,1,2,4
Base frequencies,2,1,2,2,1,2,1,2,3
Base frequencies,4,1,2,2,1,2,1,2,4
Base frequencies,6,1,2,2,1,2,1,2,6
Base frequencies,6.8,1,2,2,1,2,1,2,10
Substitution rates,1.2,1,1,2,1,2,2,1,14
Substitution rates,2,1,1,2,1,2,2,1,14
Substitution rates,4,1,1,2,1,2,2,1,15
Substitution rates,6,1,1,2,1,2,2,1,14
Substitution rates,6.8,1,1,2,1,2,2,1,11
Tree length,1.2,1,1,1,2,1,1,1,3
Tree length,2,1,1,1,2,1,1,1,2
Tree length,4,1,1,1,2,1,1,1,5
Tree length,6,1,1,1,2,1,1,1,6
Tree length,6.8,1,1,1,2,1,1,1,9
