Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
1000	0.879386	2	0.275484	0.236444	0.219066	0.269006	0.275484	0.236444	0.219066	0.269006	0.281240	0.227977	0.136262	0.354521	0.281240	0.227977	0.136262	0.354521	
2000	0.879386	1	0.301043	0.209138	0.185597	0.304223	0.301043	0.209138	0.185597	0.304223	0.301043	0.209138	0.185597	0.304223	0.301043	0.209138	0.185597	0.304223	
3000	0.879386	1	0.293125	0.206204	0.189405	0.311266	0.293125	0.206204	0.189405	0.311266	0.293125	0.206204	0.189405	0.311266	0.293125	0.206204	0.189405	0.311266	
4000	0.879386	1	0.282119	0.213439	0.189316	0.315125	0.282119	0.213439	0.189316	0.315125	0.282119	0.213439	0.189316	0.315125	0.282119	0.213439	0.189316	0.315125	
5000	0.879386	2	0.251691	0.215717	0.226844	0.305749	0.251691	0.215717	0.226844	0.305749	0.330873	0.150088	0.149372	0.369667	0.330873	0.150088	0.149372	0.369667	
6000	0.879386	1	0.296246	0.199761	0.174941	0.329052	0.296246	0.199761	0.174941	0.329052	0.296246	0.199761	0.174941	0.329052	0.296246	0.199761	0.174941	0.329052	
7000	0.879386	1	0.301484	0.193772	0.192400	0.312343	0.301484	0.193772	0.192400	0.312343	0.301484	0.193772	0.192400	0.312343	0.301484	0.193772	0.192400	0.312343	
8000	0.879386	1	0.278480	0.208142	0.192543	0.320835	0.278480	0.208142	0.192543	0.320835	0.278480	0.208142	0.192543	0.320835	0.278480	0.208142	0.192543	0.320835	
9000	0.879386	1	0.308097	0.197085	0.202852	0.291966	0.308097	0.197085	0.202852	0.291966	0.308097	0.197085	0.202852	0.291966	0.308097	0.197085	0.202852	0.291966	
10000	0.879386	2	0.194576	0.319977	0.189637	0.295810	0.289637	0.197445	0.154839	0.358078	0.289637	0.197445	0.154839	0.358078	0.289637	0.197445	0.154839	0.358078	
11000	0.879386	1	0.291862	0.208403	0.193144	0.306591	0.291862	0.208403	0.193144	0.306591	0.291862	0.208403	0.193144	0.306591	0.291862	0.208403	0.193144	0.306591	
12000	0.879386	1	0.277839	0.210298	0.196971	0.314892	0.277839	0.210298	0.196971	0.314892	0.277839	0.210298	0.196971	0.314892	0.277839	0.210298	0.196971	0.314892	
13000	0.879386	1	0.292453	0.212358	0.182719	0.312470	0.292453	0.212358	0.182719	0.312470	0.292453	0.212358	0.182719	0.312470	0.292453	0.212358	0.182719	0.312470	
14000	0.879386	1	0.278949	0.217921	0.180061	0.323069	0.278949	0.217921	0.180061	0.323069	0.278949	0.217921	0.180061	0.323069	0.278949	0.217921	0.180061	0.323069	
15000	0.879386	1	0.295235	0.214950	0.192619	0.297196	0.295235	0.214950	0.192619	0.297196	0.295235	0.214950	0.192619	0.297196	0.295235	0.214950	0.192619	0.297196	
16000	0.879386	1	0.296681	0.217613	0.190710	0.294995	0.296681	0.217613	0.190710	0.294995	0.296681	0.217613	0.190710	0.294995	0.296681	0.217613	0.190710	0.294995	
17000	0.879386	1	0.290861	0.200062	0.194115	0.314962	0.290861	0.200062	0.194115	0.314962	0.290861	0.200062	0.194115	0.314962	0.290861	0.200062	0.194115	0.314962	
18000	0.879386	1	0.278790	0.231244	0.188234	0.301733	0.278790	0.231244	0.188234	0.301733	0.278790	0.231244	0.188234	0.301733	0.278790	0.231244	0.188234	0.301733	
19000	0.879386	1	0.273196	0.206960	0.179064	0.340780	0.273196	0.206960	0.179064	0.340780	0.273196	0.206960	0.179064	0.340780	0.273196	0.206960	0.179064	0.340780	
20000	0.879386	1	0.286911	0.208530	0.199915	0.304645	0.286911	0.208530	0.199915	0.304645	0.286911	0.208530	0.199915	0.304645	0.286911	0.208530	0.199915	0.304645	
21000	0.879386	1	0.292350	0.206056	0.183606	0.317988	0.292350	0.206056	0.183606	0.317988	0.292350	0.206056	0.183606	0.317988	0.292350	0.206056	0.183606	0.317988	
22000	0.879386	2	0.249848	0.212759	0.182659	0.354735	0.249848	0.212759	0.182659	0.354735	0.290285	0.179060	0.132229	0.398426	0.290285	0.179060	0.132229	0.398426	
23000	0.879386	1	0.304975	0.215284	0.175548	0.304193	0.304975	0.215284	0.175548	0.304193	0.304975	0.215284	0.175548	0.304193	0.304975	0.215284	0.175548	0.304193	
24000	0.879386	2	0.252616	0.255347	0.189308	0.302729	0.252616	0.255347	0.189308	0.302729	0.315641	0.163559	0.133112	0.387687	0.315641	0.163559	0.133112	0.387687	
25000	0.879386	1	0.262269	0.214941	0.206892	0.315898	0.262269	0.214941	0.206892	0.315898	0.262269	0.214941	0.206892	0.315898	0.262269	0.214941	0.206892	0.315898	
