Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
1000	0.879386	1	1.585736	1.585736	1.585736	1.585736	
2000	0.879386	1	0.875279	0.875279	0.875279	0.875279	
3000	0.879386	1	0.860907	0.860907	0.860907	0.860907	
4000	0.879386	1	0.796850	0.796850	0.796850	0.796850	
5000	0.879386	1	0.838994	0.838994	0.838994	0.838994	
6000	0.879386	1	0.882382	0.882382	0.882382	0.882382	
7000	0.879386	1	0.826866	0.826866	0.826866	0.826866	
8000	0.879386	1	0.956242	0.956242	0.956242	0.956242	
9000	0.879386	1	0.791679	0.791679	0.791679	0.791679	
10000	0.879386	1	0.889271	0.889271	0.889271	0.889271	
11000	0.879386	1	0.895375	0.895375	0.895375	0.895375	
12000	0.879386	1	0.870438	0.870438	0.870438	0.870438	
13000	0.879386	1	0.854974	0.854974	0.854974	0.854974	
14000	0.879386	1	0.770114	0.770114	0.770114	0.770114	
15000	0.879386	1	0.919872	0.919872	0.919872	0.919872	
16000	0.879386	1	0.815105	0.815105	0.815105	0.815105	
17000	0.879386	1	0.802511	0.802511	0.802511	0.802511	
18000	0.879386	1	0.871860	0.871860	0.871860	0.871860	
19000	0.879386	1	0.828472	0.828472	0.828472	0.828472	
20000	0.879386	1	0.917304	0.917304	0.917304	0.917304	
21000	0.879386	1	0.954113	0.954113	0.954113	0.954113	
22000	0.879386	1	0.871458	0.871458	0.871458	0.871458	
23000	0.879386	1	0.784710	0.784710	0.784710	0.784710	
24000	0.879386	1	0.868446	0.868446	0.868446	0.868446	
25000	0.879386	1	0.894452	0.894452	0.894452	0.894452	
26000	0.879386	1	0.822446	0.822446	0.822446	0.822446	
27000	0.879386	1	0.832855	0.832855	0.832855	0.832855	
28000	0.879386	1	0.872655	0.872655	0.872655	0.872655	
29000	0.879386	1	0.805305	0.805305	0.805305	0.805305	
30000	0.879386	1	0.921700	0.921700	0.921700	0.921700	
31000	0.879386	1	0.920988	0.920988	0.920988	0.920988	
32000	0.879386	1	0.851681	0.851681	0.851681	0.851681	
33000	0.879386	1	0.960288	0.960288	0.960288	0.960288	
34000	0.879386	1	0.880701	0.880701	0.880701	0.880701	
35000	0.879386	1	0.884917	0.884917	0.884917	0.884917	
36000	0.879386	1	0.898327	0.898327	0.898327	0.898327	
37000	0.879386	1	0.899287	0.899287	0.899287	0.899287	
38000	0.879386	1	0.858838	0.858838	0.858838	0.858838	
39000	0.879386	1	0.951805	0.951805	0.951805	0.951805	
40000	0.879386	1	0.897634	0.897634	0.897634	0.897634	
41000	0.879386	1	0.853593	0.853593	0.853593	0.853593	
42000	0.879386	1	0.853046	0.853046	0.853046	0.853046	
43000	0.879386	1	0.878816	0.878816	0.878816	0.878816	
44000	0.879386	1	0.901183	0.901183	0.901183	0.901183	
45000	0.879386	1	0.901690	0.901690	0.901690	0.901690	
46000	0.879386	1	0.916442	0.916442	0.916442	0.916442	
47000	0.879386	1	0.857681	0.857681	0.857681	0.857681	
48000	0.879386	1	0.881311	0.881311	0.881311	0.881311	
49000	0.879386	1	0.910715	0.910715	0.910715	0.910715	
50000	0.879386	1	0.907137	0.907137	0.907137	0.907137	
51000	0.879386	1	0.921696	0.921696	0.921696	0.921696	
52000	0.879386	1	0.906631	0.906631	0.906631	0.906631	
53000	0.879386	1	0.873427	0.873427	0.873427	0.873427	
54000	0.879386	1	0.879953	0.879953	0.879953	0.879953	
55000	0.879386	1	0.885180	0.885180	0.885180	0.885180	
56000	0.879386	1	0.867176	0.867176	0.867176	0.867176	
57000	0.879386	1	0.919739	0.919739	0.919739	0.919739	
58000	0.879386	1	0.954071	0.954071	0.954071	0.954071	
59000	0.879386	1	0.948271	0.948271	0.948271	0.948271	
60000	0.879386	1	0.860806	0.860806	0.860806	0.860806	
61000	0.879386	1	0.849975	0.849975	0.849975	0.849975	
62000	0.879386	1	0.884034	0.884034	0.884034	0.884034	
63000	0.879386	1	0.925316	0.925316	0.925316	0.925316	
64000	0.879386	1	0.922887	0.922887	0.922887	0.922887	
65000	0.879386	1	0.936481	0.936481	0.936481	0.936481	
66000	0.879386	1	0.812846	0.812846	0.812846	0.812846	
67000	0.879386	1	0.863393	0.863393	0.863393	0.863393	
68000	0.879386	1	0.843547	0.843547	0.843547	0.843547	
69000	0.879386	1	0.805966	0.805966	0.805966	0.805966	
70000	0.879386	1	0.942293	0.942293	0.942293	0.942293	
71000	0.879386	1	0.884610	0.884610	0.884610	0.884610	
72000	0.879386	1	0.884111	0.884111	0.884111	0.884111	
73000	0.879386	1	0.956952	0.956952	0.956952	0.956952	
74000	0.879386	1	0.864703	0.864703	0.864703	0.864703	
75000	0.879386	1	0.888065	0.888065	0.888065	0.888065	
76000	0.879386	1	0.875365	0.875365	0.875365	0.875365	
77000	0.879386	1	0.880617	0.880617	0.880617	0.880617	
78000	0.879386	1	0.792898	0.792898	0.792898	0.792898	
79000	0.879386	1	0.903035	0.903035	0.903035	0.903035	
80000	0.879386	1	1.020433	1.020433	1.020433	1.020433	
81000	0.879386	1	0.918630	0.918630	0.918630	0.918630	
82000	0.879386	1	0.935622	0.935622	0.935622	0.935622	
83000	0.879386	1	0.854824	0.854824	0.854824	0.854824	
84000	0.879386	1	0.889260	0.889260	0.889260	0.889260	
85000	0.879386	1	0.924232	0.924232	0.924232	0.924232	
86000	0.879386	1	0.876429	0.876429	0.876429	0.876429	
87000	0.879386	1	0.878976	0.878976	0.878976	0.878976	
88000	0.879386	1	0.865986	0.865986	0.865986	0.865986	
89000	0.879386	1	0.957669	0.957669	0.957669	0.957669	
90000	0.879386	1	0.869689	0.869689	0.869689	0.869689	
91000	0.879386	1	0.854230	0.854230	0.854230	0.854230	
92000	0.879386	1	0.894868	0.894868	0.894868	0.894868	
93000	0.879386	1	0.874959	0.874959	0.874959	0.874959	
94000	0.879386	1	0.948788	0.948788	0.948788	0.948788	
95000	0.879386	1	0.881566	0.881566	0.881566	0.881566	
96000	0.879386	1	0.904338	0.904338	0.904338	0.904338	
97000	0.879386	1	0.857541	0.857541	0.857541	0.857541	
98000	0.879386	1	0.816156	0.816156	0.816156	0.816156	
99000	0.879386	1	0.839232	0.839232	0.839232	0.839232	
100000	0.879386	1	0.893065	0.893065	0.893065	0.893065	
101000	0.879386	1	0.822790	0.822790	0.822790	0.822790	
102000	0.879386	1	0.880746	0.880746	0.880746	0.880746	
103000	0.879386	1	0.918903	0.918903	0.918903	0.918903	
104000	0.879386	1	0.876932	0.876932	0.876932	0.876932	
105000	0.879386	1	0.859531	0.859531	0.859531	0.859531	
106000	0.879386	1	0.957175	0.957175	0.957175	0.957175	
107000	0.879386	1	0.903844	0.903844	0.903844	0.903844	
108000	0.879386	1	0.900747	0.900747	0.900747	0.900747	
109000	0.879386	1	0.897680	0.897680	0.897680	0.897680	
110000	0.879386	1	0.931324	0.931324	0.931324	0.931324	
111000	0.879386	1	0.975800	0.975800	0.975800	0.975800	
112000	0.879386	1	0.952810	0.952810	0.952810	0.952810	
113000	0.879386	1	0.880714	0.880714	0.880714	0.880714	
114000	0.879386	1	0.919403	0.919403	0.919403	0.919403	
115000	0.879386	1	0.897572	0.897572	0.897572	0.897572	
116000	0.879386	1	0.865053	0.865053	0.865053	0.865053	
117000	0.879386	1	0.946100	0.946100	0.946100	0.946100	
118000	0.879386	1	0.895412	0.895412	0.895412	0.895412	
119000	0.879386	1	0.986359	0.986359	0.986359	0.986359	
120000	0.879386	1	0.934247	0.934247	0.934247	0.934247	
121000	0.879386	1	0.880044	0.880044	0.880044	0.880044	
122000	0.879386	1	0.955836	0.955836	0.955836	0.955836	
123000	0.879386	1	0.938266	0.938266	0.938266	0.938266	
124000	0.879386	1	0.918296	0.918296	0.918296	0.918296	
125000	0.879386	1	0.942400	0.942400	0.942400	0.942400	
126000	0.879386	1	0.964068	0.964068	0.964068	0.964068	
127000	0.879386	1	0.955944	0.955944	0.955944	0.955944	
128000	0.879386	1	0.895073	0.895073	0.895073	0.895073	
129000	0.879386	1	0.889986	0.889986	0.889986	0.889986	
130000	0.879386	1	0.827699	0.827699	0.827699	0.827699	
131000	0.879386	1	0.891571	0.891571	0.891571	0.891571	
132000	0.879386	1	0.914918	0.914918	0.914918	0.914918	
133000	0.879386	1	1.052161	1.052161	1.052161	1.052161	
134000	0.879386	1	0.918916	0.918916	0.918916	0.918916	
135000	0.879386	1	0.886182	0.886182	0.886182	0.886182	
136000	0.879386	1	0.925186	0.925186	0.925186	0.925186	
137000	0.879386	1	0.952177	0.952177	0.952177	0.952177	
138000	0.879386	1	0.969795	0.969795	0.969795	0.969795	
139000	0.879386	1	0.887107	0.887107	0.887107	0.887107	
140000	0.879386	1	0.899009	0.899009	0.899009	0.899009	
141000	0.879386	1	0.827738	0.827738	0.827738	0.827738	
142000	0.879386	1	0.886432	0.886432	0.886432	0.886432	
143000	0.879386	1	0.931212	0.931212	0.931212	0.931212	
144000	0.879386	1	0.906647	0.906647	0.906647	0.906647	
145000	0.879386	1	0.939068	0.939068	0.939068	0.939068	
146000	0.879386	1	0.883922	0.883922	0.883922	0.883922	
147000	0.879386	1	0.972735	0.972735	0.972735	0.972735	
148000	0.879386	1	0.922383	0.922383	0.922383	0.922383	
149000	0.879386	1	0.917025	0.917025	0.917025	0.917025	
150000	0.879386	1	1.066017	1.066017	1.066017	1.066017	
151000	0.879386	1	0.808926	0.808926	0.808926	0.808926	
152000	0.879386	1	1.015337	1.015337	1.015337	1.015337	
153000	0.879386	1	1.006802	1.006802	1.006802	1.006802	
154000	0.879386	1	0.894494	0.894494	0.894494	0.894494	
155000	0.879386	1	0.863848	0.863848	0.863848	0.863848	
156000	0.879386	1	0.938840	0.938840	0.938840	0.938840	
157000	0.879386	1	0.861873	0.861873	0.861873	0.861873	
158000	0.879386	1	0.953941	0.953941	0.953941	0.953941	
159000	0.879386	1	0.926563	0.926563	0.926563	0.926563	
160000	0.879386	1	0.852461	0.852461	0.852461	0.852461	
161000	0.879386	1	0.852622	0.852622	0.852622	0.852622	
162000	0.879386	1	0.925810	0.925810	0.925810	0.925810	
163000	0.879386	1	0.899677	0.899677	0.899677	0.899677	
164000	0.879386	1	0.952534	0.952534	0.952534	0.952534	
165000	0.879386	1	0.780801	0.780801	0.780801	0.780801	
166000	0.879386	1	0.946212	0.946212	0.946212	0.946212	
167000	0.879386	1	0.904212	0.904212	0.904212	0.904212	
168000	0.879386	1	1.001618	1.001618	1.001618	1.001618	
169000	0.879386	1	1.043802	1.043802	1.043802	1.043802	
170000	0.879386	1	0.981666	0.981666	0.981666	0.981666	
171000	0.879386	1	0.913464	0.913464	0.913464	0.913464	
172000	0.879386	1	0.823861	0.823861	0.823861	0.823861	
173000	0.879386	1	0.933609	0.933609	0.933609	0.933609	
174000	0.879386	1	0.917897	0.917897	0.917897	0.917897	
175000	0.879386	1	0.787071	0.787071	0.787071	0.787071	
176000	0.879386	1	0.938236	0.938236	0.938236	0.938236	
177000	0.879386	1	0.897910	0.897910	0.897910	0.897910	
178000	0.879386	1	0.875393	0.875393	0.875393	0.875393	
179000	0.879386	1	0.829231	0.829231	0.829231	0.829231	
180000	0.879386	1	0.872729	0.872729	0.872729	0.872729	
181000	0.879386	1	0.887100	0.887100	0.887100	0.887100	
182000	0.879386	1	0.928053	0.928053	0.928053	0.928053	
183000	0.879386	1	0.900320	0.900320	0.900320	0.900320	
184000	0.879386	1	0.867082	0.867082	0.867082	0.867082	
185000	0.879386	1	0.951269	0.951269	0.951269	0.951269	
