Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	
1000	0.879386	2	0.423822	0.215519	0.215519	0.215519	
2000	0.879386	2	0.342227	0.342227	0.342227	0.560062	
3000	0.879386	1	0.332123	0.332123	0.332123	0.332123	
4000	0.879386	1	0.383452	0.383452	0.383452	0.383452	
5000	0.879386	3	0.388974	0.441292	0.388974	0.455806	
6000	0.879386	3	0.358758	0.358758	0.358184	0.525510	
7000	0.879386	2	0.301604	0.301604	0.301604	1.045810	
8000	0.879386	2	0.436388	0.436388	0.390184	0.436388	
9000	0.879386	1	0.388118	0.388118	0.388118	0.388118	
10000	0.879386	3	0.426834	0.426834	0.245240	0.451100	
11000	0.879386	1	0.346545	0.346545	0.346545	0.346545	
12000	0.879386	2	0.406579	0.406579	0.406579	0.626384	
13000	0.879386	2	0.336799	0.336799	0.336799	0.813026	
14000	0.879386	1	0.366063	0.366063	0.366063	0.366063	
15000	0.879386	2	0.318714	0.318714	0.318714	0.511135	
16000	0.879386	3	0.347710	0.255863	0.347710	0.573933	
17000	0.879386	1	0.393866	0.393866	0.393866	0.393866	
18000	0.879386	2	0.320983	0.320983	0.320983	0.423208	
19000	0.879386	1	0.364965	0.364965	0.364965	0.364965	
20000	0.879386	2	0.343730	0.343730	0.343730	1.021775	
21000	0.879386	2	0.353306	0.353306	0.353306	0.515546	
22000	0.879386	2	0.348872	0.348872	0.272070	0.348872	
23000	0.879386	2	0.329789	0.329789	0.329789	0.580756	
24000	0.879386	1	0.374104	0.374104	0.374104	0.374104	
25000	0.879386	1	0.311500	0.311500	0.311500	0.311500	
26000	0.879386	1	0.367063	0.367063	0.367063	0.367063	
27000	0.879386	1	0.370591	0.370591	0.370591	0.370591	
28000	0.879386	1	0.369020	0.369020	0.369020	0.369020	
29000	0.879386	1	0.356248	0.356248	0.356248	0.356248	
30000	0.879386	3	0.299828	0.432680	0.376386	0.432680	
31000	0.879386	1	0.368436	0.368436	0.368436	0.368436	
32000	0.879386	3	0.338097	0.338097	0.292285	0.682331	
33000	0.879386	1	0.347063	0.347063	0.347063	0.347063	
34000	0.879386	2	0.293390	0.378565	0.378565	0.378565	
35000	0.879386	2	0.371054	0.295883	0.295883	0.371054	
36000	0.879386	1	0.368900	0.368900	0.368900	0.368900	
37000	0.879386	2	0.364182	0.364182	0.364182	0.587048	
38000	0.879386	1	0.384858	0.384858	0.384858	0.384858	
39000	0.879386	1	0.368550	0.368550	0.368550	0.368550	
40000	0.879386	1	0.322581	0.322581	0.322581	0.322581	
41000	0.879386	1	0.367533	0.367533	0.367533	0.367533	
42000	0.879386	1	0.369729	0.369729	0.369729	0.369729	
43000	0.879386	1	0.284799	0.284799	0.284799	0.284799	
44000	0.879386	1	0.322606	0.322606	0.322606	0.322606	
45000	0.879386	2	0.339682	0.339682	0.339682	0.806315	
46000	0.879386	1	0.340864	0.340864	0.340864	0.340864	
47000	0.879386	2	0.358768	0.358768	0.358768	0.519530	
48000	0.879386	1	0.320749	0.320749	0.320749	0.320749	
49000	0.879386	1	0.329852	0.329852	0.329852	0.329852	
50000	0.879386	2	0.320584	0.320584	0.320584	0.361743	
51000	0.879386	1	0.388328	0.388328	0.388328	0.388328	
52000	0.879386	1	0.353643	0.353643	0.353643	0.353643	
53000	0.879386	1	0.304802	0.304802	0.304802	0.304802	
54000	0.879386	1	0.341470	0.341470	0.341470	0.341470	
55000	0.879386	2	0.319550	0.319550	0.319550	0.405145	
56000	0.879386	1	0.360495	0.360495	0.360495	0.360495	
57000	0.879386	2	0.248458	0.248458	0.248458	0.401659	
58000	0.879386	3	0.350035	0.311738	0.311738	0.430787	
59000	0.879386	2	0.303752	0.303752	0.303752	0.650350	
60000	0.879386	1	0.360629	0.360629	0.360629	0.360629	
61000	0.879386	1	0.368173	0.368173	0.368173	0.368173	
62000	0.879386	2	0.326374	0.326374	0.326374	0.402571	
63000	0.879386	1	0.348513	0.348513	0.348513	0.348513	
64000	0.879386	1	0.357758	0.357758	0.357758	0.357758	
65000	0.879386	2	0.311260	0.365355	0.311260	0.311260	
66000	0.879386	2	0.324584	0.324584	0.324584	0.739158	
67000	0.879386	1	0.394923	0.394923	0.394923	0.394923	
68000	0.879386	1	0.333237	0.333237	0.333237	0.333237	
69000	0.879386	2	0.340373	0.290489	0.290489	0.340373	
70000	0.879386	1	0.381611	0.381611	0.381611	0.381611	
71000	0.879386	1	0.409727	0.409727	0.409727	0.409727	
72000	0.879386	1	0.359589	0.359589	0.359589	0.359589	
73000	0.879386	3	0.308315	0.308315	0.293823	0.654994	
74000	0.879386	2	0.400296	0.364783	0.364783	0.400296	
75000	0.879386	1	0.357006	0.357006	0.357006	0.357006	
76000	0.879386	1	0.290190	0.290190	0.290190	0.290190	
77000	0.879386	1	0.412708	0.412708	0.412708	0.412708	
78000	0.879386	2	0.333301	0.333301	0.333301	0.504850	
79000	0.879386	2	0.384098	0.384098	0.384098	0.466276	
80000	0.879386	2	0.380753	0.380753	0.407773	0.407773	
81000	0.879386	3	0.321963	0.336991	0.336991	0.404804	
82000	0.879386	2	0.429991	0.324709	0.324709	0.429991	
83000	0.879386	2	0.360680	0.338163	0.338163	0.360680	
84000	0.879386	2	0.287491	0.287491	0.287491	0.465751	
85000	0.879386	3	0.283312	0.362327	0.252870	0.362327	
86000	0.879386	2	0.384568	0.384568	0.384568	0.485129	
87000	0.879386	2	0.358119	0.358119	0.358119	0.414345	
88000	0.879386	1	0.347595	0.347595	0.347595	0.347595	
89000	0.879386	1	0.371994	0.371994	0.371994	0.371994	
90000	0.879386	1	0.378449	0.378449	0.378449	0.378449	
91000	0.879386	1	0.357457	0.357457	0.357457	0.357457	
92000	0.879386	1	0.336892	0.336892	0.336892	0.336892	
93000	0.879386	2	0.368010	0.368010	0.368010	0.601970	
94000	0.879386	1	0.339758	0.339758	0.339758	0.339758	
95000	0.879386	1	0.361088	0.361088	0.361088	0.361088	
96000	0.879386	1	0.343233	0.343233	0.343233	0.343233	
97000	0.879386	1	0.324665	0.324665	0.324665	0.324665	
98000	0.879386	2	0.315129	0.315129	0.315129	0.479898	
99000	0.879386	1	0.343402	0.343402	0.343402	0.343402	
100000	0.879386	2	0.299536	0.299536	0.299536	0.518028	
101000	0.879386	3	0.423652	0.324876	0.240338	0.423652	
102000	0.879386	2	0.303952	0.303952	0.303952	0.497688	
103000	0.879386	1	0.371174	0.371174	0.371174	0.371174	
104000	0.879386	1	0.371217	0.371217	0.371217	0.371217	
105000	0.879386	2	0.355445	0.355445	0.355445	0.588931	
106000	0.879386	1	0.341976	0.341976	0.341976	0.341976	
107000	0.879386	1	0.315469	0.315469	0.315469	0.315469	
108000	0.879386	1	0.287493	0.287493	0.287493	0.287493	
109000	0.879386	1	0.373007	0.373007	0.373007	0.373007	
110000	0.879386	3	0.345229	0.333177	0.345229	0.449107	
111000	0.879386	1	0.325477	0.325477	0.325477	0.325477	
112000	0.879386	2	0.342649	0.342649	0.342649	0.456029	
113000	0.879386	1	0.312595	0.312595	0.312595	0.312595	
114000	0.879386	1	0.342713	0.342713	0.342713	0.342713	
115000	0.879386	1	0.299881	0.299881	0.299881	0.299881	
116000	0.879386	2	0.264692	0.264692	0.264692	0.319040	
117000	0.879386	2	0.314377	0.314377	0.314377	0.687869	
118000	0.879386	1	0.312416	0.312416	0.312416	0.312416	
119000	0.879386	2	0.318987	0.242115	0.318987	0.318987	
120000	0.879386	2	0.352985	0.352985	0.266806	0.352985	
121000	0.879386	2	0.363253	0.271462	0.271462	0.363253	
122000	0.879386	1	0.328433	0.328433	0.328433	0.328433	
123000	0.879386	2	0.346745	0.346745	0.346745	0.536694	
124000	0.879386	2	0.326102	0.326102	0.326102	0.582028	
125000	0.879386	2	0.313320	0.313320	0.313320	0.562069	
126000	0.879386	2	0.391084	0.391084	0.321779	0.391084	
127000	0.879386	3	0.342448	0.427793	0.427793	0.701826	
128000	0.879386	1	0.336362	0.336362	0.336362	0.336362	
129000	0.879386	3	0.378206	0.267283	0.267283	0.663677	
130000	0.879386	3	0.267997	0.267997	0.408103	0.730398	
131000	0.879386	3	0.298556	0.330614	0.298556	0.487125	
132000	0.879386	2	0.300152	0.300152	0.300152	0.317606	
133000	0.879386	2	0.290501	0.290501	0.290501	0.870591	
134000	0.879386	2	0.337425	0.337425	0.337425	0.580535	
135000	0.879386	3	0.278924	0.278924	0.376056	0.500428	
136000	0.879386	1	0.324648	0.324648	0.324648	0.324648	
137000	0.879386	1	0.340110	0.340110	0.340110	0.340110	
138000	0.879386	1	0.382630	0.382630	0.382630	0.382630	
139000	0.879386	2	0.308940	0.407500	0.308940	0.407500	
140000	0.879386	2	0.328687	0.328687	0.328687	0.482095	
141000	0.879386	1	0.356323	0.356323	0.356323	0.356323	
142000	0.879386	1	0.355311	0.355311	0.355311	0.355311	
143000	0.879386	2	0.299447	0.299447	0.299447	0.362349	
144000	0.879386	1	0.350552	0.350552	0.350552	0.350552	
145000	0.879386	2	0.345721	0.352880	0.345721	0.345721	
146000	0.879386	2	0.321441	0.321441	0.321441	0.489707	
147000	0.879386	1	0.335335	0.335335	0.335335	0.335335	
148000	0.879386	2	0.435861	0.334749	0.334749	0.435861	
149000	0.879386	2	0.335080	0.335080	0.335080	0.609796	
150000	0.879386	3	0.346987	0.330465	0.303503	0.303503	
151000	0.879386	2	0.364687	0.364687	0.364687	0.477128	
152000	0.879386	2	0.411676	0.411676	0.300644	0.411676	
153000	0.879386	2	0.335104	0.335104	0.409611	0.409611	
154000	0.879386	1	0.341717	0.341717	0.341717	0.341717	
155000	0.879386	3	0.330773	0.348626	0.330773	0.507250	
156000	0.879386	2	0.283233	0.283233	0.283233	0.423169	
157000	0.879386	1	0.349221	0.349221	0.349221	0.349221	
158000	0.879386	1	0.356248	0.356248	0.356248	0.356248	
159000	0.879386	2	0.354556	0.354556	0.354556	0.430648	
160000	0.879386	1	0.376047	0.376047	0.376047	0.376047	
161000	0.879386	2	0.289349	0.327020	0.327020	0.327020	
162000	0.879386	2	0.334192	0.334192	0.334192	0.403193	
163000	0.879386	3	0.366862	0.397964	0.294947	0.397964	
164000	0.879386	2	0.466898	0.269276	0.269276	0.466898	
165000	0.879386	2	0.322677	0.322677	0.322677	0.612108	
166000	0.879386	1	0.328521	0.328521	0.328521	0.328521	
167000	0.879386	1	0.344082	0.344082	0.344082	0.344082	
168000	0.879386	2	0.283383	0.283383	0.283383	0.442624	
169000	0.879386	1	0.293110	0.293110	0.293110	0.293110	
170000	0.879386	2	0.365976	0.365976	0.365976	0.549215	
171000	0.879386	2	0.421601	0.421601	0.421601	0.525348	
172000	0.879386	1	0.398831	0.398831	0.398831	0.398831	
173000	0.879386	2	0.467645	0.341805	0.341805	0.467645	
174000	0.879386	2	0.372947	0.372947	0.372947	0.475340	
175000	0.879386	1	0.358534	0.358534	0.358534	0.358534	
176000	0.879386	2	0.340409	0.340409	0.340409	0.424378	
177000	0.879386	1	0.356317	0.356317	0.356317	0.356317	
178000	0.879386	2	0.352506	0.352506	0.352506	0.478362	
179000	0.879386	1	0.361725	0.361725	0.361725	0.361725	
180000	0.879386	1	0.379646	0.379646	0.379646	0.379646	
181000	0.879386	1	0.398351	0.398351	0.398351	0.398351	
182000	0.879386	2	0.356980	0.356980	0.356980	0.386705	
183000	0.879386	2	0.365522	0.365522	0.270571	0.365522	
184000	0.879386	2	0.332363	0.332363	0.332363	0.499922	
