Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1000	27.685548	1	0.163930	0.233958	0.054384	0.130260	0.290858	0.126610	0.163930	0.233958	0.054384	0.130260	0.290858	0.126610	0.163930	0.233958	0.054384	0.130260	0.290858	0.126610	0.163930	0.233958	0.054384	0.130260	0.290858	0.126610	
2000	27.685548	1	0.138848	0.215195	0.026188	0.177205	0.308659	0.133905	0.138848	0.215195	0.026188	0.177205	0.308659	0.133905	0.138848	0.215195	0.026188	0.177205	0.308659	0.133905	0.138848	0.215195	0.026188	0.177205	0.308659	0.133905	
3000	27.685548	1	0.143523	0.232209	0.032097	0.185008	0.251159	0.156003	0.143523	0.232209	0.032097	0.185008	0.251159	0.156003	0.143523	0.232209	0.032097	0.185008	0.251159	0.156003	0.143523	0.232209	0.032097	0.185008	0.251159	0.156003	
4000	27.685548	1	0.118030	0.276937	0.034604	0.192990	0.248287	0.129152	0.118030	0.276937	0.034604	0.192990	0.248287	0.129152	0.118030	0.276937	0.034604	0.192990	0.248287	0.129152	0.118030	0.276937	0.034604	0.192990	0.248287	0.129152	
5000	27.685548	1	0.123871	0.227019	0.026194	0.212138	0.281817	0.128961	0.123871	0.227019	0.026194	0.212138	0.281817	0.128961	0.123871	0.227019	0.026194	0.212138	0.281817	0.128961	0.123871	0.227019	0.026194	0.212138	0.281817	0.128961	
6000	27.685548	1	0.120069	0.228443	0.029857	0.186277	0.273081	0.162273	0.120069	0.228443	0.029857	0.186277	0.273081	0.162273	0.120069	0.228443	0.029857	0.186277	0.273081	0.162273	0.120069	0.228443	0.029857	0.186277	0.273081	0.162273	
7000	27.685548	2	0.122549	0.256963	0.048228	0.158215	0.285558	0.128487	0.122549	0.256963	0.048228	0.158215	0.285558	0.128487	0.157507	0.343240	0.025662	0.113372	0.255882	0.104338	0.157507	0.343240	0.025662	0.113372	0.255882	0.104338	
8000	27.685548	1	0.132157	0.251503	0.051687	0.180602	0.241551	0.142500	0.132157	0.251503	0.051687	0.180602	0.241551	0.142500	0.132157	0.251503	0.051687	0.180602	0.241551	0.142500	0.132157	0.251503	0.051687	0.180602	0.241551	0.142500	
9000	27.685548	1	0.161085	0.234047	0.029990	0.187819	0.241425	0.145634	0.161085	0.234047	0.029990	0.187819	0.241425	0.145634	0.161085	0.234047	0.029990	0.187819	0.241425	0.145634	0.161085	0.234047	0.029990	0.187819	0.241425	0.145634	
10000	27.685548	1	0.135641	0.251998	0.023322	0.213623	0.254057	0.121359	0.135641	0.251998	0.023322	0.213623	0.254057	0.121359	0.135641	0.251998	0.023322	0.213623	0.254057	0.121359	0.135641	0.251998	0.023322	0.213623	0.254057	0.121359	
11000	27.685548	1	0.109073	0.230263	0.031894	0.228646	0.264863	0.135260	0.109073	0.230263	0.031894	0.228646	0.264863	0.135260	0.109073	0.230263	0.031894	0.228646	0.264863	0.135260	0.109073	0.230263	0.031894	0.228646	0.264863	0.135260	
