run	parameter	mean_partition	hist
1.2	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0044,0.9956,0.0
1.2	pi	1,1,2,2,3,2,2,2,2,3,2	0.0017,0.1262,0.5668,0.2719,0.0324,0.0008,0.0
1.2	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.002,0.0876,0.6958,0.1985,0.0155,0.0005
1.2	alpha	1,2,3,4,3,3,4,3,3,3,1	0.0,0.0,0.0174,0.7838,0.1847,0.0136,0.0005
10.0	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0006,0.9222,0.0766,0.0005
10.0	pi	1,2,3,2,4,3,3,2,3,4,3	0.0002,0.0252,0.2107,0.3831,0.2673,0.0947,0.0166,0.0021,0.0001
10.0	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0006,0.0277,0.2724,0.4514,0.2071,0.0377,0.003,0.0001
10.0	alpha	1,2,3,4,5,6,7,8,9,3,10	0.0,0.0,0.0,0.0001,0.0038,0.0296,0.125,0.2749,0.3343,0.1922,0.0402
10.8	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0002,0.9227,0.076,0.0011,0.0
10.8	pi	1,2,3,2,4,5,5,2,5,4,5	0.0001,0.0132,0.1276,0.3088,0.319,0.1708,0.0514,0.0081,0.0007,0.0001
10.8	r	1,1,2,3,4,4,3,3,5,1,1	0.0,0.0002,0.0145,0.1441,0.379,0.3225,0.1197,0.0188,0.0011,0.0
10.8	alpha	1,2,3,4,5,6,7,8,9,3,10	0.0,0.0,0.0,0.0,0.0003,0.0034,0.0264,0.126,0.3142,0.3827,0.1471
2.0	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0002,0.9989,0.0009
2.0	pi	1,1,2,2,3,2,2,2,2,3,2	0.0012,0.0897,0.4897,0.3467,0.0683,0.0043,0.0001
2.0	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0009,0.0528,0.6118,0.2957,0.0379,0.0009
2.0	alpha	1,2,3,4,3,3,4,3,3,3,1	0.0,0.0,0.0064,0.4053,0.423,0.1422,0.0212,0.0018,0.0
4.0	length	1,2,3,2,3,3,2,3,3,3,2	0.0,0.0012,0.9898,0.009
4.0	pi	1,1,2,1,3,2,2,2,2,3,2	0.001,0.0635,0.4128,0.3986,0.1103,0.013,0.0008
4.0	r	1,1,2,3,4,4,3,3,2,1,1	0.0,0.0006,0.0406,0.5066,0.3789,0.069,0.0041,0.0
