run	parameter	mean_partition	hist
1.2	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0012,0.9988,0.0001
1.2	pi	1,1,2,3,4,4,3,2,3	0.0,0.0004,0.0645,0.8709,0.0629,0.0012
1.2	r	1,1,2,1,3,3,1,2,1	0.0,0.0023,0.9295,0.0681,0.0001
1.2	alpha	1,1,1,2,3,4,1,5,4	0.0,0.0002,0.1194,0.4205,0.3989,0.0592,0.0018
2.0	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0024,0.9969,0.0006
2.0	pi	1,1,2,3,4,4,3,2,3	0.0,0.0006,0.0728,0.8406,0.084,0.002
2.0	r	1,1,2,1,3,3,1,2,1	0.0,0.0059,0.9655,0.0285,0.0001
2.0	alpha	1,1,1,2,3,4,1,5,4	0.0,0.0,0.0492,0.2821,0.4633,0.1847,0.02,0.0006
4.0	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.005,0.9934,0.0017
4.0	pi	1,1,2,3,4,4,3,2,3	0.0,0.0012,0.0879,0.799,0.1077,0.0041,0.0
4.0	r	1,1,2,1,3,3,1,2,1	0.0,0.0136,0.9445,0.0417,0.0001
4.0	alpha	1,1,1,2,3,4,1,5,4	0.0,0.0,0.0206,0.1544,0.3895,0.3286,0.0957,0.0107,0.0003
6.0	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0051,0.9918,0.0031
6.0	pi	1,1,2,3,4,4,3,2,3	0.0,0.0018,0.1011,0.768,0.1234,0.0057,0.0
6.0	r	1,1,2,1,3,3,1,2,1	0.0,0.0189,0.8958,0.0845,0.0008
6.0	alpha	1,2,1,3,4,5,1,6,5	0.0,0.0,0.0072,0.0807,0.2812,0.3745,0.2078,0.0457,0.6305
8.0	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0051,0.9879,0.0069,0.0001
8.0	pi	1,1,2,3,4,4,3,2,3	0.0,0.0035,0.1299,0.7082,0.1491,0.0092,0.0002
8.0	r	1,1,2,2,3,3,1,2,1	0.0,0.0368,0.8768,0.0855,0.0009
8.0	alpha	1,2,1,3,4,5,1,6,7	0.0,0.0,0.0011,0.0226,0.1242,0.3075,0.3441,0.1711,0.5976
8.8	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0066,0.978,0.0153
8.8	pi	1,1,2,3,4,4,3,2,3	0.0,0.0057,0.1631,0.6467,0.1697,0.0146,0.0002
8.8	r	1,1,2,1,3,3,1,3,1	0.0,0.0753,0.854,0.0697,0.0009
8.8	alpha	1,2,1,3,4,5,6,7,8	0.0,0.0,0.0001,0.0043,0.0397,0.1715,0.352,0.3244,0.7316
1.2_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0045,0.9938,0.0017
1.2_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0016,0.0908,0.7993,0.1046,0.0036,0.0
1.2_hyper	r	1,1,2,1,3,3,1,2,1	0.0,0.0122,0.9526,0.035,0.0002
1.2_hyper	alpha	1,2,1,3,4,5,1,6,5	0.0,0.0,0.0143,0.1156,0.3202,0.343,0.1649,0.0387,0.5533
2.0_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0036,0.9951,0.0013
2.0_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0008,0.0807,0.8123,0.1021,0.0041,0.0
2.0_hyper	r	1,1,2,1,3,3,1,2,1	0.0,0.0082,0.938,0.0535,0.0003
2.0_hyper	alpha	1,1,1,2,3,4,1,5,4	0.0,0.0001,0.0207,0.1543,0.3723,0.3209,0.1134,0.0173,0.001
4.0_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0038,0.9946,0.0016
4.0_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0007,0.085,0.8062,0.1035,0.0045,0.0001
4.0_hyper	r	1,1,2,1,3,3,1,2,1	0.0,0.0119,0.9424,0.0453,0.0003
4.0_hyper	alpha	1,2,1,3,4,5,1,6,5	0.0,0.0,0.0185,0.1502,0.3727,0.3303,0.113,0.0145,0.6203
6.0_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0052,0.9913,0.0034
6.0_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0025,0.1059,0.7611,0.1247,0.0057,0.0001
6.0_hyper	r	1,1,2,1,3,3,1,2,1	0.0,0.0252,0.9383,0.0361,0.0003
6.0_hyper	alpha	1,2,1,3,4,5,1,6,5	0.0,0.0,0.0081,0.0824,0.2763,0.3761,0.2081,0.0452,0.5513
8.0_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0039,0.9891,0.007
8.0_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0035,0.1286,0.7131,0.1453,0.0094,0.0002
8.0_hyper	r	1,1,2,1,3,3,1,2,2	0.0,0.0377,0.8672,0.094,0.001
8.0_hyper	alpha	1,2,1,3,4,5,1,6,7	0.0,0.0,0.0013,0.0221,0.1249,0.3022,0.3459,0.1723,0.6634
8.8_hyper	length	1,1,2,3,4,4,1,4,3	0.0,0.0,0.0052,0.9803,0.0145,0.0
8.8_hyper	pi	1,1,2,3,4,4,3,2,3	0.0,0.0062,0.1623,0.6435,0.1747,0.0131,0.0002
8.8_hyper	r	1,1,2,1,3,3,1,3,1	0.0,0.0739,0.8484,0.0764,0.0013
8.8_hyper	alpha	1,2,1,3,4,5,6,7,8	0.0,0.0,0.0001,0.0039,0.0409,0.1744,0.3502,0.3217,0.7516
