run	parameter	mean_partition	hist
1.2	length	1,2,1,3,3,2,1,3,1,3,2	0.0,0.0088,0.4844,0.476,0.0301,0.0008
1.2	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.3546,0.5004,0.1362,0.0086,0.0001
1.2	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.7521,0.2413,0.0066
1.2	alpha	1,1,2,1,1,3,4,2,1,1,1	0.0,0.0036,0.1419,0.7512,0.0999,0.0033,0.0
10.0	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0,0.0014,0.0314,0.2356,0.5302,0.1877,0.0136
10.0	pi	1,2,1,2,3,4,1,3,1,3,5	0.0,0.0293,0.1883,0.3719,0.2966,0.0981,0.0148,0.001,0.0
10.0	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.4813,0.4085,0.1011,0.0088,0.0002
10.0	alpha	1,2,3,4,1,5,6,7,8,9,10	0.0,0.0,0.0,0.0031,0.0253,0.1025,0.2302,0.3015,0.228,0.0935,0.0159
10.8	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0,0.0,0.0011,0.0402,0.4291,0.4405,0.089
10.8	pi	1,2,1,2,2,3,1,4,4,2,5	0.0,0.0085,0.0895,0.3148,0.3724,0.1715,0.0384,0.0046,0.0002,0.0
10.8	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.3017,0.4692,0.2055,0.0226,0.0009,0.0
10.8	alpha	1,2,3,4,5,6,7,8,9,10,11	0.0,0.0,0.0,0.0,0.0008,0.0094,0.0537,0.1748,0.3239,0.3127,0.1246
2.0	length	1,2,1,3,3,2,1,3,1,4,2	0.0,0.0008,0.173,0.5974,0.2083,0.02,0.0005
2.0	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.2591,0.5026,0.2113,0.0257,0.0013
2.0	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.7226,0.2675,0.0098,0.0
2.0	alpha	1,1,2,1,1,3,4,2,1,2,1	0.0,0.0018,0.1,0.6436,0.2269,0.0264,0.0012
4.0	length	1,2,1,3,4,2,1,4,1,5,2	0.0,0.0001,0.0359,0.3319,0.4466,0.1684,0.0165,0.0005,0.0
4.0	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.1692,0.4639,0.296,0.0646,0.0061,0.0002
4.0	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.6741,0.3051,0.0203,0.0004
4.0	alpha	1,1,2,1,1,3,4,2,1,2,1	0.0,0.0005,0.0463,0.39,0.3861,0.1457,0.0284,0.0029,0.0001
6.0	length	1,2,1,3,4,2,1,5,1,6,2	0.0,0.0,0.0065,0.1294,0.3986,0.3633,0.0963,0.0058,0.0001
6.0	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.1158,0.3955,0.3533,0.117,0.0169,0.0014,0.0
6.0	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.6322,0.3349,0.0318,0.0011,0.0
6.0	alpha	1,2,3,1,1,4,5,3,1,3,1	0.0,0.0001,0.0161,0.1896,0.3575,0.2857,0.1181,0.0285,0.0038,0.0005,0.6248
8.0	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0007,0.0294,0.2065,0.4478,0.2799,0.035,0.0007
8.0	pi	1,2,1,2,2,3,1,4,4,2,2	0.0,0.0723,0.3144,0.383,0.1876,0.0384,0.0041,0.0002
8.0	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.5923,0.3551,0.05,0.0025,0.0
8.0	alpha	1,2,3,1,1,4,5,6,1,6,7	0.0,0.0001,0.0032,0.0565,0.1925,0.3111,0.261,0.1337,0.0358,0.006,0.6048
1.2_hyper	length	1,2,1,3,4,2,1,4,1,5,2	0.0,0.0004,0.0428,0.2651,0.3766,0.2447,0.0644,0.0059,0.0001
1.2_hyper	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.2349,0.4698,0.2418,0.0483,0.0049,0.0003
1.2_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.7347,0.2525,0.0125,0.0003
1.2_hyper	alpha	1,1,2,1,1,3,4,2,1,2,1	0.0,0.0006,0.0402,0.3245,0.3378,0.192,0.076,0.0221,0.0059,0.0007,0.6273
10.0_hyper	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0,0.0019,0.0307,0.2386,0.547,0.169,0.0127
10.0_hyper	pi	1,2,1,2,2,3,1,2,1,2,4	0.0,0.0309,0.1862,0.3704,0.2995,0.0985,0.0135,0.001
10.0_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.4859,0.41,0.0968,0.0071,0.0001
10.0_hyper	alpha	1,2,3,4,1,5,6,7,8,9,10	0.0,0.0,0.0001,0.003,0.0264,0.1056,0.2278,0.3007,0.2267,0.0924,0.0174
10.8_hyper	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0,0.0,0.0007,0.0361,0.426,0.4451,0.0921
10.8_hyper	pi	1,2,1,2,2,3,1,4,1,4,5	0.0,0.0081,0.0902,0.3167,0.3689,0.1749,0.0368,0.004,0.0003
10.8_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.3056,0.4648,0.2045,0.0238,0.0012,0.0
10.8_hyper	alpha	1,2,3,4,5,6,7,8,9,10,11	0.0,0.0,0.0,0.0001,0.001,0.0097,0.0547,0.1774,0.319,0.3143,0.1238
2.0_hyper	length	1,2,1,3,4,2,1,4,1,5,2	0.0,0.0004,0.0566,0.3307,0.39,0.1863,0.0335,0.0024,0.0001
2.0_hyper	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.2432,0.4728,0.2386,0.0412,0.004,0.0002
2.0_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.728,0.2598,0.0122
2.0_hyper	alpha	1,1,2,1,1,3,4,2,1,2,1	0.0,0.0009,0.0497,0.3961,0.3461,0.1533,0.045,0.0076,0.0012,0.0001
4.0_hyper	length	1,2,1,3,4,2,1,4,1,5,2	0.0,0.0,0.038,0.3199,0.4199,0.1927,0.0283,0.0011
4.0_hyper	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.182,0.4666,0.2864,0.0584,0.0063,0.0003,0.0
4.0_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.6944,0.2893,0.016,0.0002
4.0_hyper	alpha	1,1,2,1,1,3,4,2,1,2,1	0.0,0.0009,0.0462,0.3726,0.3751,0.1591,0.0392,0.0062,0.0006,0.0
6.0_hyper	length	1,2,1,3,4,2,1,5,1,6,2	0.0,0.0,0.0086,0.141,0.4002,0.3529,0.0915,0.0058,0.0
6.0_hyper	pi	1,2,1,2,2,3,1,2,1,2,2	0.0,0.1305,0.4106,0.3369,0.1056,0.0153,0.001,0.0001
6.0_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.6452,0.3244,0.0292,0.0012
6.0_hyper	alpha	1,2,3,1,1,4,5,3,1,3,1	0.0,0.0002,0.0176,0.1987,0.3567,0.2771,0.1174,0.0281,0.0036,0.0004,0.6473
8.0_hyper	length	1,2,1,3,4,2,1,5,1,6,7	0.0,0.0,0.0009,0.0319,0.2147,0.4441,0.2722,0.0351,0.001
8.0_hyper	pi	1,2,1,2,2,3,1,2,1,2,4	0.0,0.0735,0.3196,0.3825,0.183,0.0373,0.0039,0.0001
8.0_hyper	r	1,2,1,2,1,1,2,1,2,2,2	0.0,0.5981,0.3525,0.047,0.0022,0.0001
8.0_hyper	alpha	1,2,3,1,1,4,5,6,1,6,7	0.0,0.0001,0.0031,0.0556,0.1988,0.308,0.262,0.1293,0.037,0.0058,0.6244
