Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-112122	1,1,1,2,3,1	71.354689	4.825408	4.825408	4.825408	4.816920	5.740873	4.825408	1,2,3,3,3,2	71.354689	0.478788	0.119336	0.057280	0.344596	0.684570	0.078368	0.070558	0.166504	0.108832	0.262102	0.450512	0.178554	0.108832	0.262102	0.450512	0.178554	0.108832	0.262102	0.450512	0.178554	0.684570	0.078368	0.070558	0.166504	1,1,2,3,4,4	71.354689	0.031369	0.296465	0.505174	0.000154	0.094519	0.072320	0.031369	0.296465	0.505174	0.000154	0.094519	0.072320	0.042464	0.028772	0.398615	0.207163	0.113447	0.209539	0.322996	0.180567	0.157856	0.022291	0.004872	0.311418	0.148188	0.308420	0.004311	0.140008	0.168434	0.230639	0.148188	0.308420	0.004311	0.140008	0.168434	0.230639	1,2,3,4,5,6	71.354689	2.373556	1.821292	0.072028	2.916123	1.104576	1.331469	
1000	-107868	1,2,1,3,4,1	71.354689	4.568310	4.840258	4.568310	5.616375	6.338196	4.568310	1,2,3,4,4,2	71.354689	0.475717	0.175665	0.034341	0.314277	0.599611	0.160423	0.139510	0.100456	0.061242	0.258333	0.574118	0.106307	0.419255	0.127954	0.393369	0.059422	0.419255	0.127954	0.393369	0.059422	0.599611	0.160423	0.139510	0.100456	1,2,3,4,2,4	71.354689	0.080972	0.038580	0.475479	0.087074	0.063748	0.254147	0.010309	0.019908	0.535910	0.150337	0.063415	0.220122	0.132199	0.060070	0.006346	0.036983	0.294833	0.469569	0.411114	0.349242	0.038505	0.134069	0.003956	0.063114	0.010309	0.019908	0.535910	0.150337	0.063415	0.220122	0.411114	0.349242	0.038505	0.134069	0.003956	0.063114	1,2,3,1,4,5	71.354689	3.328108	2.026826	0.099074	3.328108	0.500578	1.603508	
2000	-108881	1,2,3,4,5,2	71.354689	4.989445	4.737872	7.307652	5.481044	7.160749	4.737872	1,2,3,4,5,4	71.354689	0.324593	0.177543	0.027811	0.470053	0.659977	0.003203	0.207471	0.129349	0.111077	0.286102	0.456439	0.146381	0.411464	0.139860	0.424656	0.024020	0.191674	0.294923	0.439956	0.073448	0.411464	0.139860	0.424656	0.024020	1,1,2,3,4,5	71.354689	0.065217	0.097343	0.664014	0.033255	0.036984	0.103187	0.065217	0.097343	0.664014	0.033255	0.036984	0.103187	0.128311	0.108677	0.026681	0.040908	0.127772	0.567651	0.160746	0.302447	0.237699	0.076943	0.106732	0.115432	0.032262	0.020921	0.491648	0.056099	0.234440	0.164630	0.186578	0.058277	0.294948	0.017757	0.230121	0.212318	1,2,3,1,4,2	71.354689	2.008945	1.485665	0.170936	2.008945	0.564224	1.485665	
3000	-108816	1,2,3,1,4,3	71.354689	5.050860	5.286319	4.446481	5.050860	6.074889	4.446481	1,1,2,2,2,3	71.354689	0.606097	0.040912	0.069237	0.283754	0.606097	0.040912	0.069237	0.283754	0.237653	0.227009	0.475010	0.060328	0.237653	0.227009	0.475010	0.060328	0.237653	0.227009	0.475010	0.060328	0.794599	0.077380	0.053682	0.074339	1,2,3,4,5,4	71.354689	0.145301	0.109195	0.182188	0.224016	0.306189	0.033110	0.033416	0.269710	0.336309	0.145809	0.161967	0.052789	0.185612	0.044493	0.010487	0.245567	0.284357	0.229484	0.380240	0.345469	0.046389	0.016574	0.101798	0.109531	0.171029	0.113401	0.286297	0.212241	0.065139	0.151892	0.380240	0.345469	0.046389	0.016574	0.101798	0.109531	1,2,3,4,5,6	71.354689	2.370203	1.869384	0.143296	3.528203	0.564223	1.453469	
4000	-107787	1,1,2,1,3,2	71.354689	4.831994	4.831994	4.761647	4.831994	5.597937	4.761647	1,2,3,4,5,2	71.354689	0.336725	0.064172	0.173634	0.425470	0.676054	0.097332	0.093935	0.132679	0.009569	0.391399	0.549991	0.049041	0.338711	0.076585	0.487763	0.096941	0.148769	0.187958	0.606881	0.056393	0.676054	0.097332	0.093935	0.132679	1,1,2,3,4,3	71.354689	0.057467	0.197785	0.476102	0.037604	0.221316	0.009726	0.057467	0.197785	0.476102	0.037604	0.221316	0.009726	0.214775	0.069132	0.328027	0.062405	0.116667	0.208994	0.395729	0.299332	0.042028	0.121686	0.056620	0.084606	0.042013	0.158284	0.250389	0.115550	0.209843	0.223921	0.395729	0.299332	0.042028	0.121686	0.056620	0.084606	1,2,3,1,4,5	71.354689	2.515032	2.086278	0.103448	2.515032	0.466285	1.962830	
5000	-110361	1,2,3,3,4,5	71.354689	5.521115	5.319780	4.944852	4.944852	5.948786	5.358793	1,1,2,3,2,4	71.354689	0.552796	0.021461	0.055968	0.369775	0.552796	0.021461	0.055968	0.369775	0.049746	0.258121	0.633204	0.058929	0.580619	0.024800	0.321492	0.073089	0.049746	0.258121	0.633204	0.058929	0.382994	0.440815	0.017060	0.159131	1,2,3,4,2,5	71.354689	0.318717	0.115300	0.133415	0.077712	0.231858	0.122998	0.045208	0.280141	0.442073	0.062544	0.022824	0.147210	0.090284	0.069029	0.168987	0.044698	0.429429	0.197573	0.155241	0.320253	0.082576	0.281404	0.095403	0.065122	0.045208	0.280141	0.442073	0.062544	0.022824	0.147210	0.165821	0.291858	0.090461	0.140312	0.107105	0.204442	1,2,3,2,4,5	71.354689	2.830596	2.461492	0.046942	2.461492	0.925040	1.014075	
6000	-110176	1,1,1,2,3,1	71.354689	4.404520	4.404520	4.404520	5.628254	5.419835	4.404520	1,2,3,4,5,4	71.354689	0.441214	0.204287	0.021915	0.332584	0.451480	0.131240	0.062131	0.355149	0.106988	0.317131	0.244557	0.331324	0.424954	0.204415	0.299443	0.071189	0.047035	0.165220	0.748062	0.039682	0.424954	0.204415	0.299443	0.071189	1,1,1,2,1,3	71.354689	0.067559	0.147905	0.457152	0.169517	0.049643	0.108225	0.067559	0.147905	0.457152	0.169517	0.049643	0.108225	0.067559	0.147905	0.457152	0.169517	0.049643	0.108225	0.191634	0.194865	0.008426	0.040939	0.221028	0.343108	0.067559	0.147905	0.457152	0.169517	0.049643	0.108225	0.274690	0.226419	0.031567	0.142556	0.103349	0.221419	1,2,3,4,5,6	71.354689	2.806206	1.752237	0.150177	2.712484	0.493554	1.511451	
7000	-109328	1,1,2,1,3,1	71.354689	4.683923	4.683923	6.629881	4.683923	5.626133	4.683923	1,2,3,4,4,5	71.354689	0.311035	0.056999	0.166991	0.464975	0.447659	0.113159	0.215713	0.223469	0.151507	0.229184	0.433744	0.185565	0.185566	0.202391	0.581612	0.030431	0.185566	0.202391	0.581612	0.030431	0.439610	0.309036	0.142506	0.108848	1,1,2,3,2,3	71.354689	0.182673	0.123735	0.481783	0.150589	0.040699	0.020522	0.182673	0.123735	0.481783	0.150589	0.040699	0.020522	0.094696	0.083076	0.337618	0.067624	0.105258	0.311729	0.372689	0.286311	0.009878	0.025546	0.165644	0.139932	0.094696	0.083076	0.337618	0.067624	0.105258	0.311729	0.372689	0.286311	0.009878	0.025546	0.165644	0.139932	1,2,3,4,5,6	71.354689	2.358227	1.962862	0.203967	2.925418	0.544188	1.467740	
8000	-107737	1,2,3,4,5,3	71.354689	5.602981	5.654598	5.148408	6.057448	6.418762	5.148408	1,1,2,3,2,4	71.354689	0.612329	0.035004	0.044863	0.307804	0.612329	0.035004	0.044863	0.307804	0.087541	0.242853	0.608688	0.060918	0.446781	0.108655	0.412170	0.032394	0.087541	0.242853	0.608688	0.060918	0.751247	0.091109	0.112362	0.045281	1,2,3,4,2,4	71.354689	0.337605	0.025377	0.110062	0.433071	0.024190	0.069695	0.018373	0.138062	0.415475	0.159701	0.010779	0.257611	0.285980	0.282249	0.044404	0.062925	0.151745	0.172697	0.577846	0.178482	0.189660	0.033912	0.005092	0.015008	0.018373	0.138062	0.415475	0.159701	0.010779	0.257611	0.577846	0.178482	0.189660	0.033912	0.005092	0.015008	1,1,2,1,3,4	71.354689	2.526231	2.526231	0.162996	2.526231	0.584191	1.154254	
9000	-107660	1,2,3,4,5,1	71.354689	4.889578	5.361723	6.632026	5.208672	6.637405	4.889578	1,2,3,4,3,5	71.354689	0.555864	0.169998	0.010515	0.263623	0.791595	0.001667	0.083738	0.123000	0.117521	0.329057	0.461431	0.091991	0.430992	0.081381	0.450115	0.037512	0.117521	0.329057	0.461431	0.091991	0.498912	0.316712	0.150570	0.033806	1,2,3,4,3,4	71.354689	0.131999	0.296665	0.167335	0.242131	0.023025	0.138844	0.148185	0.040522	0.188670	0.270372	0.202909	0.149342	0.032267	0.202605	0.232246	0.075399	0.223377	0.234105	0.252470	0.239757	0.148889	0.111331	0.241792	0.005761	0.032267	0.202605	0.232246	0.075399	0.223377	0.234105	0.252470	0.239757	0.148889	0.111331	0.241792	0.005761	1,2,3,4,5,6	71.354689	3.867269	2.308775	0.049189	2.009159	0.672130	1.442953	
