Gen	lnL	RGF(Length)	L(Alpha)	L(1,1)	L(2,1)	L(3,1)	L(4,1)	L(5,1)	L(6,1)	RGF(Pi)	Pi(Alpha)	Pi(1,A)	Pi(1,C)	Pi(1,G)	Pi(1,T)	Pi(2,A)	Pi(2,C)	Pi(2,G)	Pi(2,T)	Pi(3,A)	Pi(3,C)	Pi(3,G)	Pi(3,T)	Pi(4,A)	Pi(4,C)	Pi(4,G)	Pi(4,T)	Pi(5,A)	Pi(5,C)	Pi(5,G)	Pi(5,T)	Pi(6,A)	Pi(6,C)	Pi(6,G)	Pi(6,T)	RGF(R)	R(Alpha)	R(1,AC)	R(1,AG)	R(1,AT)	R(1,CG)	R(1,CT)	R(1,GT)	R(2,AC)	R(2,AG)	R(2,AT)	R(2,CG)	R(2,CT)	R(2,GT)	R(3,AC)	R(3,AG)	R(3,AT)	R(3,CG)	R(3,CT)	R(3,GT)	R(4,AC)	R(4,AG)	R(4,AT)	R(4,CG)	R(4,CT)	R(4,GT)	R(5,AC)	R(5,AG)	R(5,AT)	R(5,CG)	R(5,CT)	R(5,GT)	R(6,AC)	R(6,AG)	R(6,AT)	R(6,CG)	R(6,CT)	R(6,GT)	RGF(Alpha)	Alpha(Alpha)	Alpha(1,1)	Alpha(2,1)	Alpha(3,1)	Alpha(4,1)	Alpha(5,1)	Alpha(6,1)	
1	-88564.1	1,1,1,1,1,1	0.000000	6.680741	6.680741	6.680741	6.680741	6.680741	6.680741	1,1,1,1,1,1	0.000005	0.138752	0.148324	0.120763	0.592161	0.138752	0.148324	0.120763	0.592161	0.138752	0.148324	0.120763	0.592161	0.138752	0.148324	0.120763	0.592161	0.138752	0.148324	0.120763	0.592161	0.138752	0.148324	0.120763	0.592161	1,1,1,1,1,1	0.000000	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	0.138460	0.418215	0.325467	0.044136	0.038864	0.034858	1,2,1,2,2,3	1.334409	0.141629	0.180823	0.141629	0.180823	0.180823	0.273291	
1000	-88535.6	1,1,1,1,1,1	0.000000	6.766122	6.766122	6.766122	6.766122	6.766122	6.766122	1,1,1,1,1,1	0.000000	0.139455	0.151780	0.117698	0.591068	0.139455	0.151780	0.117698	0.591068	0.139455	0.151780	0.117698	0.591068	0.139455	0.151780	0.117698	0.591068	0.139455	0.151780	0.117698	0.591068	0.139455	0.151780	0.117698	0.591068	1,1,1,1,1,1	0.000000	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	0.126751	0.416227	0.334191	0.048299	0.042107	0.032425	1,2,1,2,3,4	1.575484	0.126868	0.182699	0.126868	0.182699	0.197658	0.292177	
2000	-88557.1	1,1,1,1,1,1	0.000000	6.684798	6.684798	6.684798	6.684798	6.684798	6.684798	1,1,1,1,1,1	0.000000	0.138793	0.153504	0.120261	0.587442	0.138793	0.153504	0.120261	0.587442	0.138793	0.153504	0.120261	0.587442	0.138793	0.153504	0.120261	0.587442	0.138793	0.153504	0.120261	0.587442	0.138793	0.153504	0.120261	0.587442	1,1,1,1,1,1	0.000000	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	0.130208	0.406985	0.335611	0.051596	0.041264	0.034336	1,2,1,2,2,3	0.183403	0.126112	0.191129	0.126112	0.191129	0.191129	0.338964	
3000	-88568.7	1,1,1,1,1,1	0.000000	6.769034	6.769034	6.769034	6.769034	6.769034	6.769034	1,1,1,1,1,1	0.000000	0.139196	0.153264	0.116881	0.590660	0.139196	0.153264	0.116881	0.590660	0.139196	0.153264	0.116881	0.590660	0.139196	0.153264	0.116881	0.590660	0.139196	0.153264	0.116881	0.590660	0.139196	0.153264	0.116881	0.590660	1,1,1,1,1,1	0.000000	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	0.131284	0.421661	0.332456	0.047029	0.038811	0.028758	1,2,1,2,2,2	0.021637	0.124972	0.192275	0.124972	0.192275	0.192275	0.192275	
4000	-88550.9	1,1,1,1,1,1	0.000000	6.589355	6.589355	6.589355	6.589355	6.589355	6.589355	1,1,1,1,1,1	0.016791	0.140900	0.153579	0.115205	0.590316	0.140900	0.153579	0.115205	0.590316	0.140900	0.153579	0.115205	0.590316	0.140900	0.153579	0.115205	0.590316	0.140900	0.153579	0.115205	0.590316	0.140900	0.153579	0.115205	0.590316	1,1,1,1,1,1	0.004809	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	0.122907	0.429350	0.327726	0.046174	0.039092	0.034752	1,2,1,2,2,3	0.635768	0.131958	0.204306	0.131958	0.204306	0.204306	0.266069	
5000	-88557	1,1,1,1,1,1	0.000000	6.763293	6.763293	6.763293	6.763293	6.763293	6.763293	1,1,1,1,1,1	0.052270	0.138071	0.153131	0.121467	0.587331	0.138071	0.153131	0.121467	0.587331	0.138071	0.153131	0.121467	0.587331	0.138071	0.153131	0.121467	0.587331	0.138071	0.153131	0.121467	0.587331	0.138071	0.153131	0.121467	0.587331	1,1,1,1,1,1	0.000000	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	0.124722	0.435115	0.326137	0.045874	0.039101	0.029051	1,2,1,1,2,3	2.555235	0.129201	0.216078	0.129201	0.129201	0.216078	0.260234	
6000	-88547	1,1,1,1,1,1	0.000000	6.661644	6.661644	6.661644	6.661644	6.661644	6.661644	1,1,1,1,1,1	0.000000	0.138810	0.155022	0.117862	0.588305	0.138810	0.155022	0.117862	0.588305	0.138810	0.155022	0.117862	0.588305	0.138810	0.155022	0.117862	0.588305	0.138810	0.155022	0.117862	0.588305	0.138810	0.155022	0.117862	0.588305	1,1,1,1,1,1	0.000000	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	0.124826	0.423033	0.330035	0.050205	0.041213	0.030687	1,2,1,3,2,2	2.383706	0.131026	0.203625	0.131026	0.166144	0.203625	0.203625	
7000	-88548.8	1,1,1,1,1,1	0.000000	6.551970	6.551970	6.551970	6.551970	6.551970	6.551970	1,1,1,1,1,1	0.000000	0.140146	0.152731	0.117889	0.589233	0.140146	0.152731	0.117889	0.589233	0.140146	0.152731	0.117889	0.589233	0.140146	0.152731	0.117889	0.589233	0.140146	0.152731	0.117889	0.589233	0.140146	0.152731	0.117889	0.589233	1,1,1,1,1,1	0.000000	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	0.133139	0.421989	0.324929	0.045817	0.040427	0.033699	1,2,1,3,2,4	0.314414	0.142282	0.181837	0.142282	0.177762	0.181837	0.219561	
8000	-88574.3	1,1,1,1,1,1	0.000000	6.518000	6.518000	6.518000	6.518000	6.518000	6.518000	1,1,1,1,1,1	0.000000	0.139727	0.157024	0.116945	0.586304	0.139727	0.157024	0.116945	0.586304	0.139727	0.157024	0.116945	0.586304	0.139727	0.157024	0.116945	0.586304	0.139727	0.157024	0.116945	0.586304	0.139727	0.157024	0.116945	0.586304	1,1,1,1,1,1	0.000000	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	0.133935	0.417859	0.326008	0.046755	0.040063	0.035380	1,2,1,2,2,2	4.035331	0.127012	0.192325	0.127012	0.192325	0.192325	0.192325	
9000	-88552.8	1,1,1,1,1,1	0.000000	6.709625	6.709625	6.709625	6.709625	6.709625	6.709625	1,1,1,1,1,1	0.000000	0.139398	0.151764	0.117586	0.591252	0.139398	0.151764	0.117586	0.591252	0.139398	0.151764	0.117586	0.591252	0.139398	0.151764	0.117586	0.591252	0.139398	0.151764	0.117586	0.591252	0.139398	0.151764	0.117586	0.591252	1,1,1,1,1,1	0.000000	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	0.121148	0.427757	0.330666	0.048937	0.041485	0.030007	1,2,1,3,2,2	6.089914	0.121488	0.204870	0.121488	0.156863	0.204870	0.204870	
