Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	1.695768	3	0.193815	0.057659	0.598249	0.598249	0.057659	0.193815	
2000	1.695768	3	0.200600	0.059316	0.694251	0.694251	0.059316	0.200600	
3000	1.695768	4	0.191548	0.056853	0.755800	0.750335	0.056853	0.191548	
4000	1.695768	3	0.198774	0.057057	0.708728	0.708728	0.057057	0.198774	
5000	1.695768	3	0.195963	0.056990	0.663804	0.663804	0.056990	0.195963	
6000	1.695768	4	0.195602	0.055611	0.741938	0.741938	0.055611	0.187301	
7000	1.695768	3	0.193715	0.055619	0.673387	0.673387	0.055619	0.193715	
8000	1.695768	3	0.191881	0.059218	0.679050	0.679050	0.059218	0.191881	
9000	1.695768	4	0.201873	0.058689	0.674190	0.674190	0.058689	0.195303	
10000	1.695768	3	0.196335	0.057887	0.696152	0.696152	0.057887	0.196335	
11000	1.695768	3	0.194166	0.055692	0.724010	0.724010	0.055692	0.194166	
12000	1.695768	3	0.179781	0.058997	0.720081	0.720081	0.058997	0.179781	
13000	1.695768	4	0.190495	0.059115	0.753789	0.753789	0.059115	0.183900	
14000	1.695768	3	0.187423	0.057174	0.710972	0.710972	0.057174	0.187423	
15000	1.695768	3	0.188770	0.056870	0.686649	0.686649	0.056870	0.188770	
16000	1.695768	3	0.189282	0.055395	0.721938	0.721938	0.055395	0.189282	
17000	1.695768	3	0.190534	0.054322	0.712728	0.712728	0.054322	0.190534	
18000	1.695768	4	0.192822	0.057628	0.784436	0.616662	0.057628	0.192822	
19000	1.695768	3	0.186219	0.056510	0.671397	0.671397	0.056510	0.186219	
20000	1.695768	3	0.191395	0.055934	0.659737	0.659737	0.055934	0.191395	
21000	1.695768	4	0.182707	0.056749	0.786750	0.670124	0.056749	0.182707	
22000	1.695768	4	0.182917	0.061284	0.723761	0.667061	0.061284	0.182917	
23000	1.695768	3	0.189347	0.058240	0.770843	0.770843	0.058240	0.189347	
24000	1.695768	4	0.189646	0.060540	0.720914	0.650337	0.060540	0.189646	
25000	1.695768	3	0.186427	0.059202	0.736172	0.736172	0.059202	0.186427	
26000	1.695768	3	0.187053	0.062519	0.760166	0.760166	0.062519	0.187053	
27000	1.695768	3	0.195855	0.062475	0.826384	0.826384	0.062475	0.195855	
28000	1.695768	3	0.190908	0.062408	0.741167	0.741167	0.062408	0.190908	
29000	1.695768	4	0.188646	0.062786	0.787398	0.787398	0.055488	0.188646	
30000	1.695768	3	0.198067	0.059881	0.708900	0.708900	0.059881	0.198067	
31000	1.695768	3	0.191677	0.060293	0.754415	0.754415	0.060293	0.191677	
32000	1.695768	3	0.195053	0.059526	0.693645	0.693645	0.059526	0.195053	
33000	1.695768	3	0.189277	0.063782	0.784131	0.784131	0.063782	0.189277	
34000	1.695768	3	0.186157	0.062379	0.736648	0.736648	0.062379	0.186157	
35000	1.695768	3	0.197146	0.063196	0.772378	0.772378	0.063196	0.197146	
36000	1.695768	3	0.189362	0.060160	0.755760	0.755760	0.060160	0.189362	
37000	1.695768	3	0.182214	0.061270	0.762435	0.762435	0.061270	0.182214	
38000	1.695768	3	0.182932	0.060729	0.804173	0.804173	0.060729	0.182932	
39000	1.695768	3	0.196248	0.062169	0.747514	0.747514	0.062169	0.196248	
40000	1.695768	3	0.191348	0.061028	0.763224	0.763224	0.061028	0.191348	
41000	1.695768	4	0.191357	0.058220	0.774592	0.774592	0.058220	0.185907	
