Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	5	9.403751	11.027600	24.083783	8.856642	10.468891	24.083783	
2000	71.353907	5	7.361945	11.080296	20.664621	8.646927	9.043903	20.664621	
3000	71.353907	5	8.617513	10.304980	20.663492	8.647848	9.693582	20.663492	
4000	71.353907	4	8.125980	10.967511	20.105599	8.125980	9.921419	20.105599	
5000	71.353907	4	9.284345	9.870475	19.869138	8.468206	9.284345	19.869138	
6000	71.353907	5	9.054211	10.256068	21.302186	8.325871	8.853344	21.302186	
7000	71.353907	5	10.100697	10.895024	21.733792	9.236786	9.954074	21.733792	
8000	71.353907	5	10.072931	10.211231	21.210676	9.014490	9.772170	21.210676	
9000	71.353907	5	9.048914	9.852529	21.266957	7.619671	9.858189	21.266957	
10000	71.353907	5	9.170307	10.653269	21.620780	8.687001	10.166929	21.620780	
11000	71.353907	5	9.145241	10.127295	23.208054	8.259862	10.442829	23.208054	
12000	71.353907	5	9.842001	10.944105	20.855885	7.487349	10.414480	20.855885	
13000	71.353907	5	9.326252	10.929303	20.682799	8.053219	9.457119	20.682799	
14000	71.353907	5	9.822508	10.478613	21.064628	9.133015	10.978162	21.064628	
15000	71.353907	5	10.324214	10.532012	21.833966	8.644969	9.926610	21.833966	
16000	71.353907	5	10.211503	10.699707	21.669298	8.477884	10.661319	21.669298	
17000	71.353907	5	9.555419	11.339638	20.727954	8.574768	10.133670	20.727954	
18000	71.353907	5	9.286490	10.458552	20.987111	8.860419	10.598678	20.987111	
19000	71.353907	5	9.723370	10.870202	20.313377	7.483727	10.254787	20.313377	
20000	71.353907	5	9.514913	11.493849	21.215366	8.830350	11.107021	21.215366	
21000	71.353907	4	10.654394	10.871724	21.836399	9.624177	10.871724	21.836399	
22000	71.353907	5	9.780680	11.086133	21.248202	9.052918	10.626178	21.248202	
23000	71.353907	4	9.590785	10.619571	20.229475	8.079217	10.619571	20.229475	
24000	71.353907	5	9.425818	10.582524	21.539152	8.321013	10.021653	21.539152	
25000	71.353907	5	11.947561	10.972887	20.932063	7.490470	11.078857	20.932063	
26000	71.353907	5	11.125068	10.772650	21.192487	8.300939	11.118249	21.192487	
27000	71.353907	5	11.111216	10.734770	20.809041	8.301891	11.273174	20.809041	
28000	71.353907	5	11.019056	10.329981	22.192058	7.875827	10.358704	22.192058	
29000	71.353907	5	10.822277	11.663115	20.595376	7.555621	10.590442	20.595376	
30000	71.353907	5	10.341320	10.698191	21.557374	8.066198	10.684804	21.557374	
31000	71.353907	5	11.829979	10.407569	21.080804	8.812682	11.132682	21.080804	
32000	71.353907	5	11.944412	9.997331	21.154302	8.053160	10.013416	21.154302	
33000	71.353907	5	11.047071	11.325401	20.891255	8.691481	10.346662	20.891255	
34000	71.353907	5	10.302898	10.656168	21.816069	8.134764	11.045061	21.816069	
35000	71.353907	5	10.636843	11.072442	21.399868	9.199784	10.262357	21.399868	
36000	71.353907	5	11.788483	11.152851	21.288091	7.640186	11.039982	21.288091	
37000	71.353907	4	10.385212	10.385212	21.924948	8.519214	10.571456	21.924948	
38000	71.353907	5	11.184831	11.058582	21.798397	8.625971	9.958017	21.798397	
39000	71.353907	5	11.452536	10.668005	21.201204	9.085264	10.312695	21.201204	
40000	71.353907	5	10.722477	10.982014	21.879314	8.000038	10.906881	21.879314	
41000	71.353907	5	11.238949	10.223245	21.312545	9.181977	10.741165	21.312545	
42000	71.353907	4	11.866792	10.879786	20.798971	10.808143	10.879786	20.798971	
43000	71.353907	5	11.955761	10.279579	21.293516	9.471777	10.517185	21.293516	
44000	71.353907	5	10.118796	10.211776	21.321511	9.525905	10.098442	21.321511	
45000	71.353907	5	10.147515	10.153642	21.788407	7.467378	10.890704	21.788407	
46000	71.353907	5	10.995806	10.503530	22.516501	7.664274	9.907378	22.516501	
47000	71.353907	5	10.434342	10.948097	20.652534	7.754815	10.566850	20.652534	
48000	71.353907	5	12.477384	10.599202	20.869827	8.734068	10.593530	20.869827	
49000	71.353907	5	11.090097	11.185776	20.719960	8.793646	11.126916	20.719960	
50000	71.353907	5	10.327999	10.254307	20.767089	9.000732	10.968514	20.767089	
51000	71.353907	5	11.511705	10.210689	20.686136	8.906101	10.191739	20.686136	
52000	71.353907	5	9.898786	10.176377	20.625182	7.783472	10.089573	20.625182	
53000	71.353907	5	10.486777	10.119135	20.974315	7.151764	10.014011	20.974315	
54000	71.353907	5	12.277622	10.362519	21.119409	9.162433	10.224571	21.119409	
55000	71.353907	5	12.387701	10.000307	21.189346	8.160643	11.377731	21.189346	
56000	71.353907	5	11.285803	10.548724	20.417705	7.330606	9.701365	20.417705	
57000	71.353907	5	11.145245	10.601512	20.801158	9.120245	10.688269	20.801158	
58000	71.353907	4	10.633360	10.842654	21.430766	8.524112	10.842654	21.430766	
59000	71.353907	5	11.558943	10.693381	19.866004	8.954399	11.749192	19.866004	
60000	71.353907	5	10.640367	10.562172	21.118762	8.526624	9.702751	21.118762	
61000	71.353907	5	10.072319	10.963546	20.576996	9.277830	10.216895	20.576996	
62000	71.353907	4	10.919523	10.919523	21.480121	7.673810	10.740056	21.480121	
63000	71.353907	4	11.337712	11.337712	20.774590	8.392882	9.610925	20.774590	
64000	71.353907	5	10.154643	10.540355	20.611768	8.481920	9.886089	20.611768	
65000	71.353907	5	11.327040	10.296150	20.714220	7.856199	10.181013	20.714220	
66000	71.353907	5	10.687657	10.714347	20.436960	6.925234	9.175402	20.436960	
67000	71.353907	5	12.722273	10.085357	21.139073	8.752092	9.875797	21.139073	
68000	71.353907	5	10.196721	10.047988	20.080051	7.752523	10.702225	20.080051	
69000	71.353907	5	11.277541	10.641321	20.872635	9.128510	10.349094	20.872635	
70000	71.353907	5	9.761413	10.730473	20.231735	8.764550	10.566449	20.231735	
71000	71.353907	5	10.792465	10.114819	21.113893	8.830054	9.548222	21.113893	
72000	71.353907	5	9.989658	10.896103	20.927016	8.157414	10.749471	20.927016	
73000	71.353907	5	11.761339	9.837473	20.182419	9.040781	10.654036	20.182419	
74000	71.353907	5	9.871991	9.306143	20.869880	8.639188	10.983728	20.869880	
75000	71.353907	5	12.018248	10.516943	20.234059	8.428818	9.497928	20.234059	
76000	71.353907	5	11.270996	10.567189	20.556185	8.873118	9.962946	20.556185	
77000	71.353907	5	10.501190	10.482416	21.440471	8.026382	10.763999	21.440471	
78000	71.353907	5	12.085051	9.899658	21.059429	7.473580	10.313538	21.059429	
79000	71.353907	5	9.892959	10.724673	20.055805	9.025427	10.495747	20.055805	
80000	71.353907	5	10.923263	10.696292	21.162852	7.998804	10.478880	21.162852	
81000	71.353907	5	11.225225	10.198440	21.046373	9.197283	11.873212	21.046373	
82000	71.353907	5	9.996474	9.781233	20.291542	8.013373	9.663232	20.291542	
83000	71.353907	5	11.248556	9.947190	19.460100	8.386960	9.664639	19.460100	
84000	71.353907	5	11.729491	9.986526	19.824414	8.897241	9.305380	19.824414	
85000	71.353907	5	9.898076	9.403414	21.577596	7.321972	10.576905	21.577596	
86000	71.353907	5	11.025065	10.918273	19.767790	8.872005	9.547302	19.767790	
87000	71.353907	5	10.728474	9.970403	20.603789	7.833370	10.176916	20.603789	
88000	71.353907	5	9.501391	10.013018	21.339493	8.044025	9.782068	21.339493	
89000	71.353907	5	11.221702	9.841181	20.517666	8.330365	10.973357	20.517666	
90000	71.353907	5	12.585777	10.851039	20.862098	8.654986	9.990342	20.862098	
91000	71.353907	4	11.625692	8.832509	19.520635	8.832509	9.757974	19.520635	
92000	71.353907	5	9.829916	8.799244	19.423334	8.410146	9.190594	19.423334	
93000	71.353907	5	11.449235	9.597850	18.997939	8.392435	8.352775	18.997939	
94000	71.353907	5	10.438300	7.716217	18.327620	8.185163	9.317935	18.327620	
95000	71.353907	5	11.367009	9.021700	18.595268	8.893525	9.450484	18.595268	
96000	71.353907	5	9.876913	8.993771	18.285179	8.876377	8.733484	18.285179	
97000	71.353907	4	9.185181	9.185181	18.642109	8.033946	9.213427	18.642109	
98000	71.353907	5	11.099279	9.609472	19.189596	8.067705	9.153302	19.189596	
99000	71.353907	5	9.794700	9.003226	18.895275	7.690207	8.650644	18.895275	
100000	71.353907	5	11.116363	8.790059	17.869922	8.296051	8.158993	17.869922	
101000	71.353907	5	10.507511	8.724539	17.873868	8.170063	8.667122	17.873868	
102000	71.353907	4	10.227354	8.702359	17.060774	7.322827	8.702359	17.060774	
103000	71.353907	5	9.188447	8.820735	18.189577	8.432094	9.632301	18.189577	
104000	71.353907	4	8.445548	8.862091	18.338751	8.445548	8.580700	18.338751	
105000	71.353907	4	7.567382	9.294656	16.717588	7.212836	7.567382	16.717588	
106000	71.353907	5	10.437775	9.013862	17.553223	8.122736	8.643527	17.553223	
107000	71.353907	5	10.310052	9.207236	18.542139	7.919738	8.055251	18.542139	
108000	71.353907	5	9.734622	8.678456	19.389137	7.943971	8.721458	19.389137	
109000	71.353907	4	10.370899	8.059461	17.055022	8.059461	8.917284	17.055022	
110000	71.353907	5	10.144937	8.769496	17.979683	7.939605	8.601694	17.979683	
111000	71.353907	5	9.145647	8.751926	18.334100	7.914452	8.954273	18.334100	
112000	71.353907	5	10.112556	8.283374	16.948748	8.671622	8.151730	16.948748	
113000	71.353907	4	11.369114	7.363289	18.018965	7.363289	9.254205	18.018965	
