Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	0.092720	3	0.103532	0.391765	0.405408	0.099295	0.234167	0.282462	0.233584	0.249788	0.393228	0.106389	0.101586	0.398797	0.103532	0.391765	0.405408	0.099295	0.234167	0.282462	0.233584	0.249788	0.393228	0.106389	0.101586	0.398797	
2000	0.092720	3	0.103532	0.391765	0.405408	0.099295	0.247060	0.246346	0.249390	0.257204	0.393228	0.106389	0.101586	0.398797	0.103532	0.391765	0.405408	0.099295	0.247060	0.246346	0.249390	0.257204	0.393228	0.106389	0.101586	0.398797	
3000	0.092720	3	0.110540	0.389770	0.392366	0.107323	0.238205	0.269082	0.250062	0.242652	0.393228	0.106389	0.101586	0.398797	0.110540	0.389770	0.392366	0.107323	0.238205	0.269082	0.250062	0.242652	0.393228	0.106389	0.101586	0.398797	
4000	0.092720	3	0.104325	0.392440	0.396813	0.106423	0.245708	0.247902	0.252339	0.254051	0.393228	0.106389	0.101586	0.398797	0.104325	0.392440	0.396813	0.106423	0.245708	0.247902	0.252339	0.254051	0.393228	0.106389	0.101586	0.398797	
5000	0.092720	3	0.105017	0.387537	0.401637	0.105810	0.237794	0.255070	0.256558	0.250577	0.393621	0.103076	0.101426	0.401877	0.105017	0.387537	0.401637	0.105810	0.237794	0.255070	0.256558	0.250577	0.393621	0.103076	0.101426	0.401877	
6000	0.092720	3	0.105581	0.408084	0.384427	0.101908	0.242180	0.259891	0.248519	0.249410	0.393621	0.103076	0.101426	0.401877	0.105581	0.408084	0.384427	0.101908	0.242180	0.259891	0.248519	0.249410	0.393621	0.103076	0.101426	0.401877	
7000	0.092720	3	0.104561	0.391921	0.394763	0.108755	0.249114	0.255384	0.252563	0.242939	0.396187	0.104682	0.104387	0.394744	0.104561	0.391921	0.394763	0.108755	0.249114	0.255384	0.252563	0.242939	0.396187	0.104682	0.104387	0.394744	
8000	0.092720	3	0.107393	0.389281	0.401445	0.101881	0.251171	0.260044	0.247102	0.241684	0.396187	0.104682	0.104387	0.394744	0.107393	0.389281	0.401445	0.101881	0.251171	0.260044	0.247102	0.241684	0.396187	0.104682	0.104387	0.394744	
9000	0.092720	3	0.107393	0.389281	0.401445	0.101881	0.246093	0.256588	0.252857	0.244461	0.396187	0.104682	0.104387	0.394744	0.107393	0.389281	0.401445	0.101881	0.246093	0.256588	0.252857	0.244461	0.396187	0.104682	0.104387	0.394744	
10000	0.092720	3	0.101069	0.405000	0.393188	0.100742	0.258289	0.248726	0.249862	0.243123	0.396187	0.104682	0.104387	0.394744	0.101069	0.405000	0.393188	0.100742	0.258289	0.248726	0.249862	0.243123	0.396187	0.104682	0.104387	0.394744	
11000	0.092720	3	0.100280	0.398433	0.401745	0.099542	0.246192	0.252295	0.248869	0.252644	0.396187	0.104682	0.104387	0.394744	0.100280	0.398433	0.401745	0.099542	0.246192	0.252295	0.248869	0.252644	0.396187	0.104682	0.104387	0.394744	
12000	0.092720	3	0.105195	0.404969	0.391488	0.098349	0.250344	0.242041	0.257706	0.249909	0.400478	0.100320	0.101102	0.398099	0.105195	0.404969	0.391488	0.098349	0.250344	0.242041	0.257706	0.249909	0.400478	0.100320	0.101102	0.398099	
13000	0.092720	3	0.108904	0.392810	0.394218	0.104068	0.247178	0.266754	0.246608	0.239461	0.406958	0.097864	0.102112	0.393066	0.108904	0.392810	0.394218	0.104068	0.247178	0.266754	0.246608	0.239461	0.406958	0.097864	0.102112	0.393066	
14000	0.092720	3	0.105472	0.402032	0.392215	0.100282	0.234685	0.275831	0.255231	0.234253	0.386526	0.103461	0.102539	0.407474	0.105472	0.402032	0.392215	0.100282	0.234685	0.275831	0.255231	0.234253	0.386526	0.103461	0.102539	0.407474	
15000	0.092720	3	0.104291	0.390067	0.397775	0.107867	0.247456	0.242767	0.252453	0.257323	0.392491	0.103450	0.104450	0.399608	0.104291	0.390067	0.397775	0.107867	0.247456	0.242767	0.252453	0.257323	0.392491	0.103450	0.104450	0.399608	
16000	0.092720	3	0.100988	0.390416	0.407480	0.101117	0.240738	0.254644	0.248986	0.255632	0.393807	0.098535	0.101542	0.406116	0.100988	0.390416	0.407480	0.101117	0.240738	0.254644	0.248986	0.255632	0.393807	0.098535	0.101542	0.406116	
17000	0.092720	3	0.100988	0.390416	0.407480	0.101117	0.238771	0.256520	0.260243	0.244465	0.391903	0.103685	0.101135	0.403277	0.100988	0.390416	0.407480	0.101117	0.238771	0.256520	0.260243	0.244465	0.391903	0.103685	0.101135	0.403277	
18000	0.092720	3	0.101487	0.390331	0.406906	0.101277	0.257422	0.244184	0.254030	0.244363	0.398920	0.103629	0.098954	0.398497	0.101487	0.390331	0.406906	0.101277	0.257422	0.244184	0.254030	0.244363	0.398920	0.103629	0.098954	0.398497	
19000	0.092720	3	0.099861	0.399432	0.396404	0.104303	0.244049	0.256142	0.252368	0.247441	0.402968	0.098620	0.102137	0.396275	0.099861	0.399432	0.396404	0.104303	0.244049	0.256142	0.252368	0.247441	0.402968	0.098620	0.102137	0.396275	
20000	0.092720	3	0.110269	0.385942	0.398168	0.105621	0.244049	0.256142	0.252368	0.247441	0.402968	0.098620	0.102137	0.396275	0.110269	0.385942	0.398168	0.105621	0.244049	0.256142	0.252368	0.247441	0.402968	0.098620	0.102137	0.396275	
21000	0.092720	3	0.110269	0.385942	0.398168	0.105621	0.244049	0.256142	0.252368	0.247441	0.404181	0.096818	0.101407	0.397594	0.110269	0.385942	0.398168	0.105621	0.244049	0.256142	0.252368	0.247441	0.404181	0.096818	0.101407	0.397594	
22000	0.092720	3	0.110269	0.385942	0.398168	0.105621	0.235508	0.253432	0.266049	0.245011	0.396974	0.100733	0.103116	0.399176	0.110269	0.385942	0.398168	0.105621	0.235508	0.253432	0.266049	0.245011	0.396974	0.100733	0.103116	0.399176	
23000	0.092720	3	0.108227	0.399423	0.391210	0.101141	0.237441	0.257434	0.260800	0.244325	0.396974	0.100733	0.103116	0.399176	0.108227	0.399423	0.391210	0.101141	0.237441	0.257434	0.260800	0.244325	0.396974	0.100733	0.103116	0.399176	
24000	0.092720	3	0.102324	0.388812	0.405539	0.103325	0.246988	0.272004	0.242336	0.238671	0.400319	0.102286	0.097213	0.400181	0.102324	0.388812	0.405539	0.103325	0.246988	0.272004	0.242336	0.238671	0.400319	0.102286	0.097213	0.400181	
