Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	1.695768	2	0.119616	0.232270	0.137492	0.144512	0.234655	0.131455	0.119616	0.232270	0.137492	0.144512	0.234655	0.131455	0.119616	0.232270	0.137492	0.144512	0.234655	0.131455	0.242841	0.136757	0.137407	0.120197	0.115523	0.247276	0.242841	0.136757	0.137407	0.120197	0.115523	0.247276	0.242841	0.136757	0.137407	0.120197	0.115523	0.247276	
2000	1.695768	2	0.122728	0.234028	0.134518	0.136979	0.236360	0.135387	0.122728	0.234028	0.134518	0.136979	0.236360	0.135387	0.122728	0.234028	0.134518	0.136979	0.236360	0.135387	0.249711	0.136006	0.131977	0.113464	0.117728	0.251114	0.249711	0.136006	0.131977	0.113464	0.117728	0.251114	0.249711	0.136006	0.131977	0.113464	0.117728	0.251114	
3000	1.695768	2	0.127370	0.234793	0.130945	0.119166	0.241076	0.146650	0.127370	0.234793	0.130945	0.119166	0.241076	0.146650	0.127370	0.234793	0.130945	0.119166	0.241076	0.146650	0.255281	0.116678	0.138592	0.115995	0.119676	0.253777	0.255281	0.116678	0.138592	0.115995	0.119676	0.253777	0.255281	0.116678	0.138592	0.115995	0.119676	0.253777	
4000	1.695768	2	0.131287	0.231051	0.130132	0.132309	0.250785	0.124437	0.131287	0.231051	0.130132	0.132309	0.250785	0.124437	0.131287	0.231051	0.130132	0.132309	0.250785	0.124437	0.259454	0.129665	0.128599	0.116120	0.117448	0.248714	0.259454	0.129665	0.128599	0.116120	0.117448	0.248714	0.259454	0.129665	0.128599	0.116120	0.117448	0.248714	
5000	1.695768	2	0.126919	0.234089	0.133179	0.132837	0.255270	0.117706	0.126919	0.234089	0.133179	0.132837	0.255270	0.117706	0.126919	0.234089	0.133179	0.132837	0.255270	0.117706	0.258327	0.130052	0.129221	0.118522	0.116216	0.247663	0.258327	0.130052	0.129221	0.118522	0.116216	0.247663	0.258327	0.130052	0.129221	0.118522	0.116216	0.247663	
6000	1.695768	2	0.125143	0.236439	0.131698	0.133291	0.243897	0.129532	0.125143	0.236439	0.131698	0.133291	0.243897	0.129532	0.125143	0.236439	0.131698	0.133291	0.243897	0.129532	0.251891	0.134010	0.137721	0.113517	0.113447	0.249414	0.251891	0.134010	0.137721	0.113517	0.113447	0.249414	0.251891	0.134010	0.137721	0.113517	0.113447	0.249414	
7000	1.695768	2	0.127011	0.249806	0.127034	0.126020	0.239175	0.130954	0.127011	0.249806	0.127034	0.126020	0.239175	0.130954	0.127011	0.249806	0.127034	0.126020	0.239175	0.130954	0.254740	0.129586	0.134709	0.110589	0.117735	0.252640	0.254740	0.129586	0.134709	0.110589	0.117735	0.252640	0.254740	0.129586	0.134709	0.110589	0.117735	0.252640	
8000	1.695768	2	0.121849	0.231875	0.129242	0.134249	0.246409	0.136375	0.121849	0.231875	0.129242	0.134249	0.246409	0.136375	0.121849	0.231875	0.129242	0.134249	0.246409	0.136375	0.255210	0.125229	0.134180	0.114711	0.115916	0.254755	0.255210	0.125229	0.134180	0.114711	0.115916	0.254755	0.255210	0.125229	0.134180	0.114711	0.115916	0.254755	
9000	1.695768	2	0.127222	0.240633	0.126918	0.133186	0.235322	0.136720	0.127222	0.240633	0.126918	0.133186	0.235322	0.136720	0.127222	0.240633	0.126918	0.133186	0.235322	0.136720	0.261534	0.132245	0.132575	0.117414	0.116780	0.239452	0.261534	0.132245	0.132575	0.117414	0.116780	0.239452	0.261534	0.132245	0.132575	0.117414	0.116780	0.239452	
10000	1.695768	2	0.128017	0.236180	0.123103	0.134019	0.245272	0.133409	0.128017	0.236180	0.123103	0.134019	0.245272	0.133409	0.128017	0.236180	0.123103	0.134019	0.245272	0.133409	0.249192	0.130236	0.137099	0.111717	0.117436	0.254320	0.249192	0.130236	0.137099	0.111717	0.117436	0.254320	0.249192	0.130236	0.137099	0.111717	0.117436	0.254320	
11000	1.695768	2	0.123833	0.241332	0.120595	0.143148	0.247825	0.123267	0.123833	0.241332	0.120595	0.143148	0.247825	0.123267	0.123833	0.241332	0.120595	0.143148	0.247825	0.123267	0.248721	0.122302	0.127957	0.117147	0.117321	0.266553	0.248721	0.122302	0.127957	0.117147	0.117321	0.266553	0.248721	0.122302	0.127957	0.117147	0.117321	0.266553	
12000	1.695768	2	0.125471	0.245411	0.121802	0.131702	0.229353	0.146261	0.125471	0.245411	0.121802	0.131702	0.229353	0.146261	0.125471	0.245411	0.121802	0.131702	0.229353	0.146261	0.263374	0.130470	0.122515	0.124779	0.114222	0.244640	0.263374	0.130470	0.122515	0.124779	0.114222	0.244640	0.263374	0.130470	0.122515	0.124779	0.114222	0.244640	
13000	1.695768	2	0.116222	0.234585	0.118440	0.141195	0.259664	0.129893	0.116222	0.234585	0.118440	0.141195	0.259664	0.129893	0.116222	0.234585	0.118440	0.141195	0.259664	0.129893	0.254648	0.121915	0.136124	0.120948	0.123529	0.242836	0.254648	0.121915	0.136124	0.120948	0.123529	0.242836	0.254648	0.121915	0.136124	0.120948	0.123529	0.242836	
14000	1.695768	2	0.124269	0.242486	0.126287	0.138683	0.234320	0.133955	0.124269	0.242486	0.126287	0.138683	0.234320	0.133955	0.124269	0.242486	0.126287	0.138683	0.234320	0.133955	0.268504	0.125223	0.130033	0.119960	0.120206	0.236075	0.268504	0.125223	0.130033	0.119960	0.120206	0.236075	0.268504	0.125223	0.130033	0.119960	0.120206	0.236075	
15000	1.695768	2	0.119555	0.233424	0.121192	0.136675	0.250179	0.138975	0.119555	0.233424	0.121192	0.136675	0.250179	0.138975	0.119555	0.233424	0.121192	0.136675	0.250179	0.138975	0.249810	0.133981	0.130309	0.110113	0.117036	0.258751	0.249810	0.133981	0.130309	0.110113	0.117036	0.258751	0.249810	0.133981	0.130309	0.110113	0.117036	0.258751	
16000	1.695768	2	0.115689	0.238817	0.120968	0.140563	0.250632	0.133331	0.115689	0.238817	0.120968	0.140563	0.250632	0.133331	0.115689	0.238817	0.120968	0.140563	0.250632	0.133331	0.260987	0.126480	0.128794	0.126566	0.109961	0.247211	0.260987	0.126480	0.128794	0.126566	0.109961	0.247211	0.260987	0.126480	0.128794	0.126566	0.109961	0.247211	
17000	1.695768	2	0.126753	0.238339	0.118073	0.129021	0.247252	0.140563	0.126753	0.238339	0.118073	0.129021	0.247252	0.140563	0.126753	0.238339	0.118073	0.129021	0.247252	0.140563	0.252252	0.124648	0.132176	0.108385	0.119822	0.262717	0.252252	0.124648	0.132176	0.108385	0.119822	0.262717	0.252252	0.124648	0.132176	0.108385	0.119822	0.262717	
18000	1.695768	2	0.121583	0.237141	0.127799	0.131542	0.243961	0.137975	0.121583	0.237141	0.127799	0.131542	0.243961	0.137975	0.121583	0.237141	0.127799	0.131542	0.243961	0.137975	0.255154	0.124771	0.136454	0.113399	0.117767	0.252455	0.255154	0.124771	0.136454	0.113399	0.117767	0.252455	0.255154	0.124771	0.136454	0.113399	0.117767	0.252455	
19000	1.695768	2	0.129539	0.225799	0.129265	0.141726	0.239738	0.133932	0.129539	0.225799	0.129265	0.141726	0.239738	0.133932	0.129539	0.225799	0.129265	0.141726	0.239738	0.133932	0.247480	0.121324	0.137027	0.124446	0.126214	0.243507	0.247480	0.121324	0.137027	0.124446	0.126214	0.243507	0.247480	0.121324	0.137027	0.124446	0.126214	0.243507	
20000	1.695768	2	0.125977	0.243319	0.127073	0.132984	0.242849	0.127799	0.125977	0.243319	0.127073	0.132984	0.242849	0.127799	0.125977	0.243319	0.127073	0.132984	0.242849	0.127799	0.250480	0.139624	0.127017	0.114795	0.115703	0.252381	0.250480	0.139624	0.127017	0.114795	0.115703	0.252381	0.250480	0.139624	0.127017	0.114795	0.115703	0.252381	
21000	1.695768	2	0.115480	0.233664	0.120477	0.135454	0.256074	0.138850	0.115480	0.233664	0.120477	0.135454	0.256074	0.138850	0.115480	0.233664	0.120477	0.135454	0.256074	0.138850	0.254922	0.143089	0.138103	0.113984	0.114609	0.235293	0.254922	0.143089	0.138103	0.113984	0.114609	0.235293	0.254922	0.143089	0.138103	0.113984	0.114609	0.235293	
22000	1.695768	2	0.126063	0.235467	0.122807	0.141391	0.243284	0.130988	0.126063	0.235467	0.122807	0.141391	0.243284	0.130988	0.126063	0.235467	0.122807	0.141391	0.243284	0.130988	0.239482	0.143856	0.133686	0.115777	0.114207	0.252993	0.239482	0.143856	0.133686	0.115777	0.114207	0.252993	0.239482	0.143856	0.133686	0.115777	0.114207	0.252993	
23000	1.695768	2	0.131985	0.239317	0.124768	0.123021	0.246890	0.134020	0.131985	0.239317	0.124768	0.123021	0.246890	0.134020	0.131985	0.239317	0.124768	0.123021	0.246890	0.134020	0.259724	0.126771	0.125432	0.119573	0.122778	0.245722	0.259724	0.126771	0.125432	0.119573	0.122778	0.245722	0.259724	0.126771	0.125432	0.119573	0.122778	0.245722	
24000	1.695768	2	0.120645	0.237058	0.122771	0.132082	0.255569	0.131875	0.120645	0.237058	0.122771	0.132082	0.255569	0.131875	0.120645	0.237058	0.122771	0.132082	0.255569	0.131875	0.241807	0.129685	0.135165	0.118011	0.123797	0.251536	0.241807	0.129685	0.135165	0.118011	0.123797	0.251536	0.241807	0.129685	0.135165	0.118011	0.123797	0.251536	
25000	1.695768	2	0.130428	0.237449	0.131345	0.133711	0.239012	0.128055	0.130428	0.237449	0.131345	0.133711	0.239012	0.128055	0.130428	0.237449	0.131345	0.133711	0.239012	0.128055	0.240674	0.124768	0.134228	0.115111	0.120191	0.265028	0.240674	0.124768	0.134228	0.115111	0.120191	0.265028	0.240674	0.124768	0.134228	0.115111	0.120191	0.265028	
