Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1000	0.092720	3	0.184123	0.060026	0.728495	0.728495	0.060026	0.184123	
2000	0.092720	3	0.195097	0.062698	0.734889	0.734889	0.062698	0.195097	
3000	0.092720	3	0.190359	0.062131	0.725177	0.725177	0.062131	0.190359	
4000	0.092720	3	0.193306	0.061170	0.694850	0.694850	0.061170	0.193306	
5000	0.092720	3	0.195066	0.062483	0.742744	0.742744	0.062483	0.195066	
6000	0.092720	3	0.189913	0.060535	0.723480	0.723480	0.060535	0.189913	
7000	0.092720	3	0.182140	0.059760	0.710220	0.710220	0.059760	0.182140	
8000	0.092720	3	0.194532	0.063000	0.729128	0.729128	0.063000	0.194532	
9000	0.092720	3	0.201568	0.063439	0.783582	0.783582	0.063439	0.201568	
10000	0.092720	3	0.197316	0.060962	0.759151	0.759151	0.060962	0.197316	
11000	0.092720	3	0.203998	0.060967	0.743579	0.743579	0.060967	0.203998	
12000	0.092720	3	0.199490	0.063582	0.733837	0.733837	0.063582	0.199490	
13000	0.092720	3	0.198770	0.061327	0.746598	0.746598	0.061327	0.198770	
14000	0.092720	3	0.198454	0.062620	0.759658	0.759658	0.062620	0.198454	
15000	0.092720	3	0.195908	0.060592	0.757223	0.757223	0.060592	0.195908	
16000	0.092720	3	0.197114	0.060467	0.808445	0.808445	0.060467	0.197114	
17000	0.092720	3	0.194143	0.061382	0.829224	0.829224	0.061382	0.194143	
18000	0.092720	3	0.201779	0.064607	0.780954	0.780954	0.064607	0.201779	
19000	0.092720	3	0.200235	0.062377	0.771602	0.771602	0.062377	0.200235	
20000	0.092720	3	0.201333	0.060181	0.782035	0.782035	0.060181	0.201333	
21000	0.092720	3	0.195372	0.062092	0.783914	0.783914	0.062092	0.195372	
22000	0.092720	3	0.191531	0.058537	0.784389	0.784389	0.058537	0.191531	
23000	0.092720	3	0.196937	0.059711	0.778144	0.778144	0.059711	0.196937	
24000	0.092720	3	0.195571	0.062442	0.792357	0.792357	0.062442	0.195571	
25000	0.092720	3	0.196303	0.062256	0.808301	0.808301	0.062256	0.196303	
26000	0.092720	3	0.197334	0.061765	0.802313	0.802313	0.061765	0.197334	
27000	0.092720	3	0.193534	0.063397	0.808982	0.808982	0.063397	0.193534	
28000	0.092720	3	0.202143	0.064194	0.819507	0.819507	0.064194	0.202143	
29000	0.092720	3	0.199204	0.059196	0.796921	0.796921	0.059196	0.199204	
30000	0.092720	3	0.198003	0.062937	0.852326	0.852326	0.062937	0.198003	
31000	0.092720	3	0.192380	0.061725	0.758180	0.758180	0.061725	0.192380	
32000	0.092720	3	0.198611	0.060178	0.797252	0.797252	0.060178	0.198611	
33000	0.092720	3	0.198575	0.060352	0.794854	0.794854	0.060352	0.198575	
34000	0.092720	3	0.199900	0.062403	0.796369	0.796369	0.062403	0.199900	
35000	0.092720	3	0.199955	0.062970	0.767574	0.767574	0.062970	0.199955	
36000	0.092720	3	0.196066	0.064265	0.769001	0.769001	0.064265	0.196066	
37000	0.092720	3	0.189288	0.062623	0.724868	0.724868	0.062623	0.189288	
