Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
1000	0.092720	2	0.129023	0.266439	0.131232	0.118703	0.230961	0.123641	0.129023	0.266439	0.131232	0.118703	0.230961	0.123641	0.129023	0.266439	0.131232	0.118703	0.230961	0.123641	0.242716	0.138941	0.136262	0.118471	0.121858	0.241753	0.242716	0.138941	0.136262	0.118471	0.121858	0.241753	0.242716	0.138941	0.136262	0.118471	0.121858	0.241753	
2000	0.092720	2	0.135948	0.262478	0.132850	0.113033	0.232446	0.123245	0.135948	0.262478	0.132850	0.113033	0.232446	0.123245	0.135948	0.262478	0.132850	0.113033	0.232446	0.123245	0.248780	0.134911	0.135527	0.129826	0.121629	0.229326	0.248780	0.134911	0.135527	0.129826	0.121629	0.229326	0.248780	0.134911	0.135527	0.129826	0.121629	0.229326	
3000	0.092720	2	0.132183	0.269829	0.130385	0.118991	0.229985	0.118626	0.132183	0.269829	0.130385	0.118991	0.229985	0.118626	0.132183	0.269829	0.130385	0.118991	0.229985	0.118626	0.243914	0.135515	0.137091	0.130027	0.122843	0.230610	0.243914	0.135515	0.137091	0.130027	0.122843	0.230610	0.243914	0.135515	0.137091	0.130027	0.122843	0.230610	
4000	0.092720	2	0.132389	0.253151	0.133290	0.129651	0.224614	0.126906	0.132389	0.253151	0.133290	0.129651	0.224614	0.126906	0.132389	0.253151	0.133290	0.129651	0.224614	0.126906	0.240016	0.128449	0.140233	0.128063	0.123245	0.239995	0.240016	0.128449	0.140233	0.128063	0.123245	0.239995	0.240016	0.128449	0.140233	0.128063	0.123245	0.239995	
5000	0.092720	2	0.132112	0.246868	0.130484	0.134479	0.234387	0.121670	0.132112	0.246868	0.130484	0.134479	0.234387	0.121670	0.132112	0.246868	0.130484	0.134479	0.234387	0.121670	0.237472	0.117738	0.145277	0.134592	0.128973	0.235948	0.237472	0.117738	0.145277	0.134592	0.128973	0.235948	0.237472	0.117738	0.145277	0.134592	0.128973	0.235948	
6000	0.092720	2	0.135758	0.256719	0.130326	0.131488	0.222035	0.123675	0.135758	0.256719	0.130326	0.131488	0.222035	0.123675	0.135758	0.256719	0.130326	0.131488	0.222035	0.123675	0.237839	0.121442	0.127845	0.139084	0.130027	0.243762	0.237839	0.121442	0.127845	0.139084	0.130027	0.243762	0.237839	0.121442	0.127845	0.139084	0.130027	0.243762	
7000	0.092720	2	0.135980	0.256315	0.130245	0.127514	0.228034	0.121912	0.135980	0.256315	0.130245	0.127514	0.228034	0.121912	0.135980	0.256315	0.130245	0.127514	0.228034	0.121912	0.247196	0.119416	0.139511	0.130341	0.115006	0.248529	0.247196	0.119416	0.139511	0.130341	0.115006	0.248529	0.247196	0.119416	0.139511	0.130341	0.115006	0.248529	
8000	0.092720	2	0.139414	0.253844	0.120100	0.126391	0.237422	0.122828	0.139414	0.253844	0.120100	0.126391	0.237422	0.122828	0.139414	0.253844	0.120100	0.126391	0.237422	0.122828	0.245987	0.129223	0.140118	0.126828	0.111520	0.246325	0.245987	0.129223	0.140118	0.126828	0.111520	0.246325	0.245987	0.129223	0.140118	0.126828	0.111520	0.246325	
9000	0.092720	2	0.138974	0.252864	0.128368	0.123562	0.228691	0.127541	0.138974	0.252864	0.128368	0.123562	0.228691	0.127541	0.138974	0.252864	0.128368	0.123562	0.228691	0.127541	0.263390	0.131737	0.134470	0.127447	0.112223	0.230733	0.263390	0.131737	0.134470	0.127447	0.112223	0.230733	0.263390	0.131737	0.134470	0.127447	0.112223	0.230733	
10000	0.092720	2	0.136209	0.255336	0.126011	0.131364	0.225429	0.125651	0.136209	0.255336	0.126011	0.131364	0.225429	0.125651	0.136209	0.255336	0.126011	0.131364	0.225429	0.125651	0.254272	0.118735	0.145869	0.129587	0.110620	0.240918	0.254272	0.118735	0.145869	0.129587	0.110620	0.240918	0.254272	0.118735	0.145869	0.129587	0.110620	0.240918	
