Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1000	71.353907	3	0.088756	0.437039	0.389792	0.084412	0.236230	0.263015	0.248230	0.252525	0.386026	0.102873	0.108727	0.402374	0.088756	0.437039	0.389792	0.084412	0.236230	0.263015	0.248230	0.252525	0.386026	0.102873	0.108727	0.402374	
2000	71.353907	3	0.090147	0.421533	0.394199	0.094121	0.231214	0.259347	0.242296	0.267144	0.386026	0.102873	0.108727	0.402374	0.090147	0.421533	0.394199	0.094121	0.231214	0.259347	0.242296	0.267144	0.386026	0.102873	0.108727	0.402374	
3000	71.353907	3	0.095126	0.403593	0.402963	0.098318	0.230650	0.267746	0.245712	0.255893	0.386026	0.102873	0.108727	0.402374	0.095126	0.403593	0.402963	0.098318	0.230650	0.267746	0.245712	0.255893	0.386026	0.102873	0.108727	0.402374	
4000	71.353907	3	0.095126	0.403593	0.402963	0.098318	0.228275	0.257014	0.257940	0.256770	0.391516	0.102702	0.102960	0.402821	0.095126	0.403593	0.402963	0.098318	0.228275	0.257014	0.257940	0.256770	0.391516	0.102702	0.102960	0.402821	
5000	71.353907	3	0.098451	0.409961	0.394292	0.097296	0.234057	0.260430	0.248764	0.256749	0.391516	0.102702	0.102960	0.402821	0.098451	0.409961	0.394292	0.097296	0.234057	0.260430	0.248764	0.256749	0.391516	0.102702	0.102960	0.402821	
6000	71.353907	3	0.089810	0.411071	0.406037	0.093082	0.226126	0.258671	0.263644	0.251559	0.391516	0.102702	0.102960	0.402821	0.089810	0.411071	0.406037	0.093082	0.226126	0.258671	0.263644	0.251559	0.391516	0.102702	0.102960	0.402821	
7000	71.353907	3	0.089810	0.411071	0.406037	0.093082	0.236387	0.255852	0.262080	0.245681	0.391516	0.102702	0.102960	0.402821	0.089810	0.411071	0.406037	0.093082	0.236387	0.255852	0.262080	0.245681	0.391516	0.102702	0.102960	0.402821	
8000	71.353907	3	0.099272	0.408954	0.395508	0.096266	0.223150	0.264587	0.268545	0.243718	0.391516	0.102702	0.102960	0.402821	0.099272	0.408954	0.395508	0.096266	0.223150	0.264587	0.268545	0.243718	0.391516	0.102702	0.102960	0.402821	
9000	71.353907	3	0.096082	0.409487	0.397644	0.096787	0.230760	0.259610	0.261146	0.248484	0.391516	0.102702	0.102960	0.402821	0.096082	0.409487	0.397644	0.096787	0.230760	0.259610	0.261146	0.248484	0.391516	0.102702	0.102960	0.402821	
10000	71.353907	3	0.091990	0.416821	0.397785	0.093404	0.238824	0.244567	0.258181	0.258428	0.390452	0.099578	0.102395	0.407575	0.091990	0.416821	0.397785	0.093404	0.238824	0.244567	0.258181	0.258428	0.390452	0.099578	0.102395	0.407575	
11000	71.353907	3	0.093196	0.417153	0.384148	0.105502	0.238148	0.261156	0.256382	0.244314	0.390452	0.099578	0.102395	0.407575	0.093196	0.417153	0.384148	0.105502	0.238148	0.261156	0.256382	0.244314	0.390452	0.099578	0.102395	0.407575	
12000	71.353907	3	0.101763	0.393161	0.410494	0.094582	0.229135	0.265933	0.253146	0.251786	0.390452	0.099578	0.102395	0.407575	0.101763	0.393161	0.410494	0.094582	0.229135	0.265933	0.253146	0.251786	0.390452	0.099578	0.102395	0.407575	
13000	71.353907	3	0.095034	0.413968	0.403889	0.087110	0.234739	0.257506	0.266820	0.240934	0.390452	0.099578	0.102395	0.407575	0.095034	0.413968	0.403889	0.087110	0.234739	0.257506	0.266820	0.240934	0.390452	0.099578	0.102395	0.407575	
14000	71.353907	3	0.091923	0.410827	0.398750	0.098500	0.233088	0.264096	0.247597	0.255219	0.387136	0.104797	0.108312	0.399755	0.091923	0.410827	0.398750	0.098500	0.233088	0.264096	0.247597	0.255219	0.387136	0.104797	0.108312	0.399755	
15000	71.353907	3	0.091923	0.410827	0.398750	0.098500	0.228429	0.270465	0.255319	0.245787	0.387136	0.104797	0.108312	0.399755	0.091923	0.410827	0.398750	0.098500	0.228429	0.270465	0.255319	0.245787	0.387136	0.104797	0.108312	0.399755	
16000	71.353907	3	0.093113	0.402114	0.408258	0.096515	0.229819	0.281388	0.253066	0.235727	0.387136	0.104797	0.108312	0.399755	0.093113	0.402114	0.408258	0.096515	0.229819	0.281388	0.253066	0.235727	0.387136	0.104797	0.108312	0.399755	
17000	71.353907	3	0.093113	0.402114	0.408258	0.096515	0.244150	0.259181	0.240299	0.256370	0.387136	0.104797	0.108312	0.399755	0.093113	0.402114	0.408258	0.096515	0.244150	0.259181	0.240299	0.256370	0.387136	0.104797	0.108312	0.399755	
18000	71.353907	3	0.092825	0.402064	0.411953	0.093158	0.245237	0.254965	0.257748	0.242049	0.387136	0.104797	0.108312	0.399755	0.092825	0.402064	0.411953	0.093158	0.245237	0.254965	0.257748	0.242049	0.387136	0.104797	0.108312	0.399755	
19000	71.353907	3	0.101748	0.403358	0.402771	0.092123	0.242640	0.264058	0.240887	0.252415	0.388082	0.103712	0.108051	0.400155	0.101748	0.403358	0.402771	0.092123	0.242640	0.264058	0.240887	0.252415	0.388082	0.103712	0.108051	0.400155	
20000	71.353907	3	0.095428	0.421021	0.391628	0.091923	0.235347	0.273221	0.245235	0.246198	0.388082	0.103712	0.108051	0.400155	0.095428	0.421021	0.391628	0.091923	0.235347	0.273221	0.245235	0.246198	0.388082	0.103712	0.108051	0.400155	
21000	71.353907	3	0.099987	0.413613	0.388093	0.098307	0.245595	0.258344	0.242575	0.253486	0.388082	0.103712	0.108051	0.400155	0.099987	0.413613	0.388093	0.098307	0.245595	0.258344	0.242575	0.253486	0.388082	0.103712	0.108051	0.400155	
22000	71.353907	3	0.099987	0.413613	0.388093	0.098307	0.239382	0.272881	0.243947	0.243791	0.388014	0.102744	0.102131	0.407111	0.099987	0.413613	0.388093	0.098307	0.239382	0.272881	0.243947	0.243791	0.388014	0.102744	0.102131	0.407111	
23000	71.353907	3	0.093396	0.407664	0.400365	0.098575	0.237969	0.267048	0.250098	0.244884	0.388014	0.102744	0.102131	0.407111	0.093396	0.407664	0.400365	0.098575	0.237969	0.267048	0.250098	0.244884	0.388014	0.102744	0.102131	0.407111	
24000	71.353907	3	0.093396	0.407664	0.400365	0.098575	0.255260	0.249105	0.250470	0.245165	0.388014	0.102744	0.102131	0.407111	0.093396	0.407664	0.400365	0.098575	0.255260	0.249105	0.250470	0.245165	0.388014	0.102744	0.102131	0.407111	
25000	71.353907	3	0.100982	0.392299	0.415323	0.091396	0.240133	0.256216	0.246096	0.257555	0.397003	0.099070	0.104483	0.399444	0.100982	0.392299	0.415323	0.091396	0.240133	0.256216	0.246096	0.257555	0.397003	0.099070	0.104483	0.399444	
26000	71.353907	3	0.095214	0.416706	0.391592	0.096488	0.237244	0.256742	0.240816	0.265199	0.397003	0.099070	0.104483	0.399444	0.095214	0.416706	0.391592	0.096488	0.237244	0.256742	0.240816	0.265199	0.397003	0.099070	0.104483	0.399444	
27000	71.353907	3	0.095054	0.398287	0.396720	0.109939	0.248003	0.266095	0.233317	0.252585	0.397003	0.099070	0.104483	0.399444	0.095054	0.398287	0.396720	0.109939	0.248003	0.266095	0.233317	0.252585	0.397003	0.099070	0.104483	0.399444	
28000	71.353907	3	0.104907	0.393490	0.420066	0.081537	0.246831	0.244054	0.260537	0.248578	0.396776	0.102148	0.108996	0.392081	0.104907	0.393490	0.420066	0.081537	0.246831	0.244054	0.260537	0.248578	0.396776	0.102148	0.108996	0.392081	
29000	71.353907	3	0.096614	0.415560	0.387993	0.099833	0.245576	0.256953	0.243930	0.253542	0.396776	0.102148	0.108996	0.392081	0.096614	0.415560	0.387993	0.099833	0.245576	0.256953	0.243930	0.253542	0.396776	0.102148	0.108996	0.392081	
30000	71.353907	3	0.093581	0.416431	0.399991	0.089996	0.248936	0.264298	0.241092	0.245675	0.396776	0.102148	0.108996	0.392081	0.093581	0.416431	0.399991	0.089996	0.248936	0.264298	0.241092	0.245675	0.396776	0.102148	0.108996	0.392081	
31000	71.353907	3	0.093581	0.416431	0.399991	0.089996	0.244859	0.266290	0.242353	0.246498	0.394423	0.100007	0.109281	0.396289	0.093581	0.416431	0.399991	0.089996	0.244859	0.266290	0.242353	0.246498	0.394423	0.100007	0.109281	0.396289	
32000	71.353907	3	0.093581	0.416431	0.399991	0.089996	0.242128	0.265771	0.242198	0.249903	0.394164	0.102117	0.104507	0.399211	0.093581	0.416431	0.399991	0.089996	0.242128	0.265771	0.242198	0.249903	0.394164	0.102117	0.104507	0.399211	
33000	71.353907	3	0.097215	0.400700	0.403158	0.098927	0.248988	0.248096	0.241382	0.261534	0.394164	0.102117	0.104507	0.399211	0.097215	0.400700	0.403158	0.098927	0.248988	0.248096	0.241382	0.261534	0.394164	0.102117	0.104507	0.399211	
34000	71.353907	3	0.097074	0.405880	0.398967	0.098079	0.223148	0.261451	0.254598	0.260803	0.394164	0.102117	0.104507	0.399211	0.097074	0.405880	0.398967	0.098079	0.223148	0.261451	0.254598	0.260803	0.394164	0.102117	0.104507	0.399211	
35000	71.353907	3	0.091576	0.406766	0.409235	0.092423	0.259903	0.237928	0.257617	0.244551	0.394164	0.102117	0.104507	0.399211	0.091576	0.406766	0.409235	0.092423	0.259903	0.237928	0.257617	0.244551	0.394164	0.102117	0.104507	0.399211	
36000	71.353907	3	0.101263	0.405101	0.395323	0.098313	0.246102	0.264658	0.243921	0.245319	0.394164	0.102117	0.104507	0.399211	0.101263	0.405101	0.395323	0.098313	0.246102	0.264658	0.243921	0.245319	0.394164	0.102117	0.104507	0.399211	
