Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1000	71.353907	5	9.509879	9.895016	18.484725	8.853308	11.527212	18.484725	
2000	71.353907	4	9.935030	11.673311	17.836589	9.117742	17.836589	17.836589	
3000	71.353907	4	9.967925	10.904577	19.148418	9.078303	19.148418	19.148418	
4000	71.353907	4	9.307269	10.643787	18.287245	8.416213	18.287245	18.287245	
5000	71.353907	4	10.292579	10.254341	18.845989	8.153820	18.845989	18.845989	
6000	71.353907	4	9.210406	9.719033	18.667826	9.211886	18.667826	18.667826	
7000	71.353907	4	9.724736	10.659080	18.696428	8.850427	18.696428	18.696428	
8000	71.353907	4	10.086587	11.761882	17.984580	9.100294	17.984580	17.984580	
9000	71.353907	4	9.869019	10.658816	17.478168	8.019145	17.478168	17.478168	
10000	71.353907	4	9.098197	9.685642	17.335842	9.090580	17.335842	17.335842	
11000	71.353907	5	9.199824	10.590650	16.946101	7.666572	11.746593	16.946101	
12000	71.353907	4	10.127004	10.821124	17.689294	7.881607	17.689294	17.689294	
13000	71.353907	4	9.918839	10.607934	17.988802	9.000213	17.988802	17.988802	
14000	71.353907	4	9.487696	10.528777	17.855310	8.680097	17.855310	17.855310	
15000	71.353907	4	10.913102	11.298613	17.165845	8.783572	17.165845	17.165845	
16000	71.353907	4	9.359881	11.057774	17.672377	8.203451	17.672377	17.672377	
17000	71.353907	4	10.303368	9.858767	18.312537	9.459984	18.312537	18.312537	
18000	71.353907	4	9.770477	10.429111	17.813861	8.396472	17.813861	17.813861	
19000	71.353907	4	10.350621	11.633405	17.359926	9.327315	17.359926	17.359926	
20000	71.353907	4	10.936353	10.375533	18.433767	7.872011	18.433767	18.433767	
21000	71.353907	4	10.991227	9.658193	17.487014	8.639274	17.487014	17.487014	
22000	71.353907	4	9.769130	10.553235	17.172000	7.779415	17.172000	17.172000	
23000	71.353907	4	9.785265	11.623104	17.744746	8.716807	17.744746	17.744746	
24000	71.353907	4	10.882943	10.438251	17.779401	8.100425	17.779401	17.779401	
25000	71.353907	4	9.739895	10.348581	17.593034	8.043333	17.593034	17.593034	
26000	71.353907	4	10.612438	9.705652	17.019221	8.334087	17.019221	17.019221	
27000	71.353907	4	11.074923	11.189294	17.200746	8.527010	17.200746	17.200746	
28000	71.353907	3	10.357913	10.357913	17.971525	7.992576	17.971525	17.971525	
29000	71.353907	4	11.260711	10.666140	16.942287	7.999727	16.942287	16.942287	
30000	71.353907	4	11.168223	11.007866	17.802591	8.538678	17.802591	17.802591	
31000	71.353907	4	10.235614	10.793631	17.115787	7.960846	17.115787	17.115787	
32000	71.353907	4	9.903459	10.987044	17.329580	8.419207	17.329580	17.329580	
33000	71.353907	4	10.366435	10.724471	18.077336	8.017049	18.077336	18.077336	
34000	71.353907	4	9.745620	11.435432	17.641541	8.653840	17.641541	17.641541	
35000	71.353907	4	11.331301	10.583169	17.619528	8.086834	17.619528	17.619528	
36000	71.353907	5	9.805505	10.720271	17.440770	8.650438	14.051784	17.440770	
37000	71.353907	4	10.459586	10.267774	17.657328	8.616822	17.657328	17.657328	
38000	71.353907	3	10.302078	10.302078	18.035174	8.594658	18.035174	18.035174	
39000	71.353907	4	10.340872	9.831110	17.754811	8.796739	17.754811	17.754811	
40000	71.353907	5	9.849880	10.857948	17.612388	7.966025	13.682527	17.612388	
41000	71.353907	4	10.413471	11.062304	17.953356	7.911512	17.953356	17.953356	
42000	71.353907	4	10.770245	10.285094	17.890182	8.487377	17.890182	17.890182	
43000	71.353907	4	10.290935	9.861681	16.966885	9.727648	16.966885	16.966885	
44000	71.353907	3	10.198972	10.198972	18.154454	8.797814	18.154454	18.154454	
45000	71.353907	4	10.993107	10.645843	17.115860	9.044124	17.115860	17.115860	
46000	71.353907	4	11.353113	10.893319	17.329437	8.092447	17.329437	17.329437	
47000	71.353907	4	10.031328	11.761743	17.279302	9.777702	17.279302	17.279302	
48000	71.353907	4	10.372085	10.208657	17.731401	7.985720	17.731401	17.731401	
49000	71.353907	4	10.782608	10.594512	17.250771	8.336573	17.250771	17.250771	
50000	71.353907	4	11.264462	10.630090	17.080227	7.227895	17.080227	17.080227	
51000	71.353907	4	11.115472	11.088584	16.805277	8.049725	16.805277	16.805277	
52000	71.353907	4	9.972698	11.154888	16.843582	8.218028	16.843582	16.843582	
53000	71.353907	4	11.031152	10.583062	16.586219	7.827071	16.586219	16.586219	
54000	71.353907	4	10.809882	10.343884	17.673395	10.099192	17.673395	17.673395	
55000	71.353907	4	11.251197	9.786846	16.839544	7.938603	16.839544	16.839544	
56000	71.353907	4	11.515461	10.335982	17.867875	8.680670	17.867875	17.867875	
57000	71.353907	4	10.481454	10.733133	17.520861	8.865664	17.520861	17.520861	
58000	71.353907	4	10.195505	11.113824	16.449375	9.235919	16.449375	16.449375	
59000	71.353907	4	10.581013	11.290819	17.387153	7.643190	17.387153	17.387153	
60000	71.353907	4	10.336445	11.299717	17.647114	8.846510	17.647114	17.647114	
61000	71.353907	4	11.229156	10.625897	16.953374	7.713999	16.953374	16.953374	
62000	71.353907	3	9.840060	9.802556	17.443353	9.802556	17.443353	17.443353	
63000	71.353907	4	10.274686	11.043236	17.143251	7.761841	17.143251	17.143251	
64000	71.353907	4	10.787746	9.455289	16.653890	9.385215	16.653890	16.653890	
65000	71.353907	4	10.184466	10.549674	16.701320	8.125916	16.701320	16.701320	
66000	71.353907	4	9.010540	10.046372	16.091832	8.901091	16.091832	16.091832	
67000	71.353907	4	9.203339	9.665053	17.062209	8.435332	17.062209	17.062209	
68000	71.353907	4	9.296054	9.496575	16.236050	8.477069	16.236050	16.236050	
69000	71.353907	4	9.848682	10.971828	16.520173	8.345357	16.520173	16.520173	
70000	71.353907	4	10.193997	10.144541	16.643575	9.871459	16.643575	16.643575	
71000	71.353907	4	10.186010	10.211501	16.972340	7.535939	16.972340	16.972340	
72000	71.353907	4	10.157151	10.010097	16.645995	8.288266	16.645995	16.645995	
73000	71.353907	4	9.708439	10.325328	16.634316	7.545584	16.634316	16.634316	
74000	71.353907	4	9.652184	9.782908	16.446562	8.702902	16.446562	16.446562	
75000	71.353907	4	9.556493	9.135290	16.625827	7.708557	16.625827	16.625827	
76000	71.353907	4	10.441973	10.336791	16.220660	8.491446	16.220660	16.220660	
77000	71.353907	4	10.373780	11.006554	16.549182	8.190732	16.549182	16.549182	
78000	71.353907	4	9.514392	9.613062	17.352555	7.540265	17.352555	17.352555	
79000	71.353907	4	9.451839	9.507183	15.621126	8.424498	15.621126	15.621126	
80000	71.353907	4	9.480088	9.546178	16.699415	7.562486	16.699415	16.699415	
81000	71.353907	4	9.906487	10.554498	16.354947	8.080187	16.354947	16.354947	
82000	71.353907	4	9.779233	9.705789	16.209722	8.811862	16.209722	16.209722	
83000	71.353907	4	9.324132	9.298654	16.372137	8.755854	16.372137	16.372137	
84000	71.353907	4	9.540197	9.706616	16.618616	8.392162	16.618616	16.618616	
85000	71.353907	4	10.431456	9.289947	16.550868	6.790739	16.550868	16.550868	
86000	71.353907	4	9.669076	10.665289	15.843380	9.039846	15.843380	15.843380	
87000	71.353907	4	9.930222	9.949541	15.889952	8.511786	15.889952	15.889952	
88000	71.353907	4	9.613927	10.856751	16.147199	7.767977	16.147199	16.147199	
89000	71.353907	4	10.272469	9.830454	16.523757	8.544911	16.523757	16.523757	
90000	71.353907	4	9.752463	10.064157	16.229671	8.129791	16.229671	16.229671	
91000	71.353907	4	9.547857	10.077356	16.219806	9.175431	16.219806	16.219806	
92000	71.353907	3	9.377941	9.945793	16.200150	9.377941	16.200150	16.200150	
93000	71.353907	4	10.096960	9.972676	15.818667	8.165145	15.818667	15.818667	
94000	71.353907	4	9.039183	10.730582	16.136463	9.072794	16.136463	16.136463	
95000	71.353907	4	9.581344	10.460108	15.745065	8.855090	15.745065	15.745065	
96000	71.353907	4	10.122468	9.912636	15.405590	8.877325	15.405590	15.405590	
97000	71.353907	4	9.474503	11.071794	15.921008	9.096905	15.921008	15.921008	
98000	71.353907	4	9.433110	10.309536	16.446661	8.934040	16.446661	16.446661	
99000	71.353907	4	9.187697	10.237110	16.614693	7.540146	16.614693	16.614693	
100000	71.353907	4	9.016720	9.908894	16.764414	7.818995	16.764414	16.764414	
101000	71.353907	4	9.108013	10.294296	15.218773	8.287180	15.218773	15.218773	
102000	71.353907	4	10.031660	10.948823	15.713149	9.625116	15.713149	15.713149	
103000	71.353907	4	9.293543	9.805553	15.343498	8.899008	15.343498	15.343498	
104000	71.353907	4	9.216821	10.280552	16.124400	7.058584	16.124400	16.124400	
105000	71.353907	4	9.953717	9.438165	15.824501	8.363785	15.824501	15.824501	
106000	71.353907	4	9.349559	9.691287	15.897405	7.652733	15.897405	15.897405	
107000	71.353907	4	9.439876	9.846264	15.727626	9.304173	15.727626	15.727626	
108000	71.353907	4	10.084783	10.287567	15.693799	7.687809	15.693799	15.693799	
109000	71.353907	4	8.631291	10.888528	15.596331	7.477697	15.596331	15.596331	
110000	71.353907	4	9.061413	10.226899	15.993607	7.928671	15.993607	15.993607	
111000	71.353907	4	9.802775	9.962722	16.006082	8.133024	16.006082	16.006082	
112000	71.353907	4	9.699424	10.424158	15.977604	9.485742	15.977604	15.977604	
113000	71.353907	4	9.465025	9.231702	15.869690	9.077139	15.869690	15.869690	
114000	71.353907	4	9.124122	10.343612	15.741581	7.343729	15.741581	15.741581	
115000	71.353907	4	9.295678	10.278060	15.592096	7.093865	15.592096	15.592096	
116000	71.353907	4	9.293317	9.262938	15.730180	8.224087	15.730180	15.730180	
117000	71.353907	4	9.680337	10.110308	15.220795	8.864961	15.220795	15.220795	
118000	71.353907	4	9.740549	9.955433	15.799021	8.547564	15.799021	15.799021	
119000	71.353907	4	9.861914	10.003863	15.400833	8.112451	15.400833	15.400833	
120000	71.353907	4	9.839333	10.256054	15.527467	8.065842	15.527467	15.527467	
121000	71.353907	4	9.565241	9.837384	15.414330	8.718327	15.414330	15.414330	
122000	71.353907	4	9.251532	10.208184	15.826436	7.875896	15.826436	15.826436	
123000	71.353907	4	10.289202	9.889149	15.144178	7.625456	15.144178	15.144178	
124000	71.353907	4	9.702269	9.045741	15.653535	8.645624	15.653535	15.653535	
125000	71.353907	4	8.741013	10.232117	15.987427	8.372955	15.987427	15.987427	
126000	71.353907	4	9.815170	10.897614	15.251598	7.887042	15.251598	15.251598	
127000	71.353907	4	10.199542	10.188669	15.910149	8.805350	15.910149	15.910149	
128000	71.353907	4	9.635004	10.917066	15.337339	8.443667	15.337339	15.337339	
129000	71.353907	4	9.437050	10.362320	16.083193	8.376389	16.083193	16.083193	
130000	71.353907	4	9.739962	9.615194	16.116226	7.916106	16.116226	16.116226	
131000	71.353907	4	10.131378	10.522871	16.285008	8.261246	16.285008	16.285008	
132000	71.353907	4	9.982493	9.783407	15.897548	8.656933	15.897548	15.897548	
133000	71.353907	4	10.095006	9.554126	15.495060	8.212189	15.495060	15.495060	
134000	71.353907	4	9.303701	9.983511	15.318608	7.587858	15.318608	15.318608	
135000	71.353907	4	9.022581	9.502553	15.459592	8.447331	15.459592	15.459592	
136000	71.353907	4	9.689190	10.030650	15.496738	7.551353	15.496738	15.496738	
137000	71.353907	4	9.572929	10.427118	16.488110	9.097314	16.488110	16.488110	
138000	71.353907	4	9.672138	10.384350	15.476446	7.717244	15.476446	15.476446	
139000	71.353907	4	9.854490	10.150190	15.689674	7.371239	15.689674	15.689674	
140000	71.353907	4	9.566673	9.967335	16.556082	7.965431	16.556082	16.556082	
141000	71.353907	4	9.662175	10.713889	16.041933	8.772238	16.041933	16.041933	
142000	71.353907	4	9.377141	9.884512	16.306148	7.226039	16.306148	16.306148	
143000	71.353907	4	8.865400	9.486042	15.840965	7.207503	15.840965	15.840965	
144000	71.353907	4	9.245709	10.233101	15.764300	8.464886	15.764300	15.764300	
145000	71.353907	4	9.581234	10.416596	15.889497	7.781310	15.889497	15.889497	
146000	71.353907	4	8.840367	10.740976	15.734981	7.651618	15.734981	15.734981	
147000	71.353907	3	9.146119	9.880558	15.568205	9.146119	15.568205	15.568205	
148000	71.353907	4	10.070772	9.637360	15.742052	8.345689	15.742052	15.742052	
149000	71.353907	4	9.529899	10.755727	16.178727	8.859230	16.178727	16.178727	
150000	71.353907	4	10.378884	9.825328	16.370843	7.831361	16.370843	16.370843	
151000	71.353907	4	9.119908	10.942344	15.680433	8.790526	15.680433	15.680433	
152000	71.353907	4	9.468917	9.358097	15.742554	7.408616	15.742554	15.742554	
153000	71.353907	4	9.216823	9.590191	15.754863	8.324974	15.754863	15.754863	
154000	71.353907	4	9.196109	10.354007	15.908772	8.603741	15.908772	15.908772	
155000	71.353907	4	9.499052	10.695788	15.488005	7.517626	15.488005	15.488005	
156000	71.353907	3	9.559664	9.559664	14.947886	8.335901	14.947886	14.947886	
157000	71.353907	4	9.029610	9.850531	15.385767	8.638972	15.385767	15.385767	
158000	71.353907	4	9.232071	10.035227	15.343695	7.429065	15.343695	15.343695	
159000	71.353907	4	8.944189	10.017955	15.403277	8.131223	15.403277	15.403277	
160000	71.353907	4	8.622863	10.120018	16.233918	8.182855	16.233918	16.233918	
161000	71.353907	4	9.228798	9.634472	15.348148	8.842537	15.348148	15.348148	
162000	71.353907	5	9.771153	10.097814	15.065203	7.810709	11.267716	15.065203	
163000	71.353907	5	9.244174	10.291610	15.743767	8.482616	12.596957	15.743767	
164000	71.353907	4	9.516385	10.105672	15.423213	7.972260	15.423213	15.423213	
165000	71.353907	5	9.767825	9.787929	15.886783	7.948751	13.841318	13.841318	
166000	71.353907	3	8.033485	9.720132	15.792980	8.033485	15.792980	15.792980	
167000	71.353907	3	9.562507	9.562507	15.751616	7.539948	15.751616	15.751616	
168000	71.353907	4	10.171139	10.139053	15.450917	9.365689	15.450917	15.450917	
169000	71.353907	5	9.285861	9.551077	15.196905	8.804777	11.831284	15.196905	
170000	71.353907	5	9.670057	9.562473	15.198767	8.204941	11.311305	15.198767	
171000	71.353907	5	9.629404	9.385040	15.835398	8.047263	11.499620	15.835398	
172000	71.353907	4	9.285050	10.548784	15.257963	8.108929	15.257963	15.257963	
173000	71.353907	4	9.980036	10.307518	15.839876	8.465843	15.839876	15.839876	
174000	71.353907	4	9.163250	9.959969	15.204228	8.865768	15.204228	15.204228	
175000	71.353907	4	9.044718	9.289853	14.778831	8.358473	14.778831	14.778831	
176000	71.353907	4	8.907362	9.970893	15.469797	8.857059	15.469797	15.469797	
177000	71.353907	4	9.222478	9.619756	15.084155	7.904325	15.084155	15.084155	
178000	71.353907	4	9.736084	8.791478	15.043948	8.048386	15.043948	15.043948	
179000	71.353907	4	9.169724	9.833685	15.114167	9.169724	11.407552	15.114167	
180000	71.353907	3	9.506571	9.506571	14.817420	8.273596	14.817420	14.817420	
181000	71.353907	4	8.632986	9.483168	15.077010	8.715542	15.077010	15.077010	
182000	71.353907	4	8.988877	9.593158	14.724971	7.419273	14.724971	14.724971	
183000	71.353907	4	8.934637	8.478538	15.049460	6.735263	15.049460	15.049460	
184000	71.353907	5	8.844796	9.463186	15.415824	8.815408	11.271739	15.415824	
185000	71.353907	4	9.089056	9.917297	14.955211	7.640294	14.955211	14.955211	
186000	71.353907	4	9.408824	8.953098	14.623288	8.578402	14.623288	14.623288	
187000	71.353907	5	8.758364	9.492767	14.516914	8.071896	10.712239	14.516914	
188000	71.353907	5	8.601775	9.667047	14.281266	8.622085	10.922794	14.281266	
189000	71.353907	3	8.128259	10.032555	14.601903	8.128259	14.601903	14.601903	
190000	71.353907	5	8.478655	9.113646	14.397418	9.013405	10.838156	14.397418	
191000	71.353907	3	8.246944	9.725878	14.748519	8.246944	14.748519	14.748519	
192000	71.353907	4	8.860344	8.956496	14.406795	8.860344	10.729671	14.406795	
193000	71.353907	5	9.091751	10.483897	14.611216	7.981511	11.980135	14.611216	
194000	71.353907	4	8.578658	10.208126	13.325090	8.436650	10.208126	13.325090	
195000	71.353907	5	8.411513	9.738432	14.917453	7.607104	10.710449	14.917453	
196000	71.353907	5	9.066323	9.377960	14.721382	8.414202	10.323749	14.721382	
197000	71.353907	5	9.423072	9.831766	14.544439	7.358880	9.978970	14.544439	
198000	71.353907	5	8.614945	9.480928	15.176467	8.478436	10.818993	15.176467	
199000	71.353907	5	9.657051	9.977303	15.236505	8.593571	10.904930	15.236505	
200000	71.353907	5	9.307834	8.881296	14.445513	8.585279	12.089730	14.445513	
201000	71.353907	5	8.964003	9.502290	13.113078	9.005855	10.980741	13.113078	
202000	71.353907	4	9.137195	8.827526	15.263363	8.006640	15.263363	15.263363	
203000	71.353907	5	8.403898	8.793303	15.299159	7.679237	11.249492	15.299159	
204000	71.353907	5	8.406531	9.999087	15.286393	7.262278	10.988122	15.286393	
205000	71.353907	5	9.353268	9.154675	14.708181	8.892763	10.633068	14.708181	
206000	71.353907	5	8.972696	9.271287	14.641772	7.427476	13.459407	13.459407	
207000	71.353907	4	7.649060	10.127296	14.505181	7.649060	10.953474	14.505181	
208000	71.353907	4	8.616741	9.380245	14.069321	8.616741	10.942906	14.069321	
209000	71.353907	4	8.767658	9.950568	14.450725	8.767658	10.742055	14.450725	
210000	71.353907	4	8.387062	9.689310	14.213731	8.387062	11.489621	14.213731	
211000	71.353907	5	8.684290	10.469928	14.592545	7.170254	11.951793	14.592545	
212000	71.353907	4	8.025294	9.969485	14.494613	8.025294	11.384452	14.494613	
213000	71.353907	5	9.078270	8.905141	12.957526	7.568642	10.031385	12.957526	
214000	71.353907	5	8.294098	8.680467	14.027740	7.446581	11.037264	14.027740	
215000	71.353907	5	9.126266	9.552372	15.026173	8.433708	11.382655	15.026173	
216000	71.353907	3	7.934030	9.148392	13.032431	7.934030	13.032431	13.032431	
217000	71.353907	5	8.594773	9.004495	14.494822	7.529460	10.180287	14.494822	
218000	71.353907	5	8.793125	9.952354	14.362890	7.953517	10.569523	14.362890	
219000	71.353907	3	8.385328	8.933596	12.078526	8.385328	12.078526	12.078526	
220000	71.353907	5	8.383849	9.693717	12.504333	7.897953	11.112025	12.504333	
221000	71.353907	4	7.672157	8.805642	14.262339	7.672157	10.633848	14.262339	
222000	71.353907	5	9.277850	9.669852	14.367275	8.849444	10.523590	14.367275	
223000	71.353907	5	8.846307	9.200373	14.571592	9.116238	11.190599	14.571592	
224000	71.353907	5	9.166936	9.377794	14.261480	8.341499	12.189318	14.261480	
225000	71.353907	5	8.735432	9.812519	14.521988	8.230033	10.398896	14.521988	
226000	71.353907	5	8.599547	8.750389	14.490476	7.618702	10.874482	14.490476	
227000	71.353907	4	8.811068	9.187051	15.309306	8.811068	11.210279	15.309306	
228000	71.353907	4	8.309919	9.271189	15.234293	8.309919	11.118957	15.234293	
229000	71.353907	5	9.482034	8.382834	14.391547	6.980855	11.275921	14.391547	
230000	71.353907	5	9.230062	8.915913	12.849680	8.805431	10.763616	12.849680	
231000	71.353907	4	8.653613	8.653613	14.968118	8.313128	11.870517	14.968118	
232000	71.353907	4	8.651094	8.603148	13.379648	8.603148	10.857990	13.379648	
233000	71.353907	5	9.534396	9.430250	14.522976	9.104473	11.239583	14.522976	
234000	71.353907	5	8.714397	8.649161	14.454876	7.639263	10.173876	14.454876	
235000	71.353907	5	8.649416	9.531995	14.734804	8.392419	10.891916	14.734804	
236000	71.353907	5	9.446747	9.677228	13.983530	8.324912	11.463632	13.983530	
237000	71.353907	5	8.715200	9.106658	14.889444	8.257536	9.873914	14.889444	
238000	71.353907	5	9.175589	10.057756	14.359212	7.822387	10.592685	14.359212	
239000	71.353907	4	8.352566	10.146611	15.223994	8.352566	11.334714	15.223994	
240000	71.353907	4	8.323036	8.904368	14.252628	8.323036	10.606424	14.252628	
241000	71.353907	4	8.136051	9.289522	14.290115	8.136051	10.807001	14.290115	
242000	71.353907	3	9.894239	8.144959	14.620046	8.144959	14.620046	14.620046	
243000	71.353907	4	8.925001	9.412904	14.833847	8.570789	14.833847	14.833847	
244000	71.353907	5	8.842074	8.692241	13.409326	7.370062	10.558180	13.409326	
245000	71.353907	5	8.628106	9.683048	15.200262	8.492576	10.797134	15.200262	
246000	71.353907	5	8.873678	9.323864	14.276923	8.260522	10.909048	14.276923	
247000	71.353907	5	9.434970	9.683398	13.243720	8.147915	12.533083	12.533083	
248000	71.353907	4	8.594413	10.108837	14.899675	8.069033	14.899675	14.899675	
249000	71.353907	4	8.987358	9.453246	13.680155	8.377045	13.680155	13.680155	
250000	71.353907	4	8.414833	8.943668	12.616421	8.414833	9.979770	12.616421	
251000	71.353907	5	8.476191	9.334658	14.860730	7.511924	10.643351	14.860730	
252000	71.353907	5	9.565887	9.447951	14.028446	8.596077	11.361371	14.028446	
253000	71.353907	4	8.383834	9.380464	14.910530	8.383834	10.963489	14.910530	
254000	71.353907	4	8.266378	9.036658	14.658500	8.266378	11.409026	14.658500	
255000	71.353907	5	8.361586	9.658959	13.943576	7.926029	10.701988	13.943576	
256000	71.353907	4	8.877386	9.502031	14.278645	8.711925	14.278645	14.278645	
257000	71.353907	5	8.771951	9.682726	13.247844	8.597509	11.899671	13.247844	
258000	71.353907	5	9.364411	9.606028	12.203090	8.344662	11.049771	12.203090	
259000	71.353907	5	9.290078	9.846044	14.828384	9.236012	9.617281	14.828384	
260000	71.353907	4	8.052147	9.685266	14.773968	8.052147	11.283831	14.773968	
261000	71.353907	4	8.709549	8.964645	14.608917	8.459555	14.608917	14.608917	
262000	71.353907	5	8.675944	10.002363	12.755841	7.598070	11.129178	12.755841	
263000	71.353907	5	8.894699	9.743032	14.884234	8.828814	11.335505	14.884234	
264000	71.353907	5	8.891407	9.430065	14.644684	7.521941	11.484016	14.644684	
265000	71.353907	5	8.824530	9.545359	13.980685	7.655630	10.474356	13.980685	
266000	71.353907	4	8.109206	9.960513	14.805427	8.109206	10.337543	14.805427	
267000	71.353907	4	8.941687	8.941687	14.181302	7.999914	11.268765	14.181302	
268000	71.353907	5	9.191375	9.128351	14.620481	8.317998	11.516658	14.620481	
269000	71.353907	5	8.906490	8.532727	13.820857	7.961036	10.939142	13.820857	
270000	71.353907	5	8.979586	9.782425	14.945365	8.503233	10.150683	14.945365	
271000	71.353907	5	9.100257	8.972729	14.929967	7.947480	10.946312	14.929967	
272000	71.353907	5	9.098436	8.522313	13.873075	8.194083	10.962226	13.873075	
273000	71.353907	5	8.162861	9.476387	14.582342	8.162861	10.986231	13.290594	
274000	71.353907	5	8.569104	9.400918	14.457264	7.699942	10.300328	14.457264	
275000	71.353907	4	8.268838	10.336137	14.449452	8.268838	11.490450	14.449452	
276000	71.353907	5	8.762398	8.890651	14.435035	8.081416	12.349118	14.435035	
277000	71.353907	4	8.533580	9.276959	14.783514	8.533580	10.881243	14.783514	
278000	71.353907	5	9.073287	10.152156	14.375940	8.052545	10.830036	14.375940	
279000	71.353907	5	8.793638	10.069887	14.516656	7.477016	10.915177	14.516656	
280000	71.353907	5	8.800271	9.423015	14.597971	8.186211	10.782506	14.597971	
281000	71.353907	4	8.609592	9.087662	12.563318	8.609592	10.212496	12.563318	
282000	71.353907	5	8.955118	8.553602	14.464484	8.243410	11.496951	14.464484	
283000	71.353907	5	8.325309	9.974227	14.604909	7.100727	9.958466	14.604909	
284000	71.353907	5	8.890199	10.336061	14.047685	7.644284	10.932609	14.047685	
285000	71.353907	5	8.744934	9.780871	14.187595	7.032129	11.378903	14.187595	
286000	71.353907	5	8.929542	9.531610	11.793008	8.929542	10.842861	12.119182	
